project,symbol,insider_supply_growth_mean,insider_supply_growth_median,mode_1,mode_2,mode_3,mode_4,mode_5
worldcoin-wld_featurized,WLD,414041.40414041403,0.0,0.0,3150685.0,3150684.0,6301370.0,N/A
the-graph_featurized,GRT,2021895.3130345535,0.0,0.0,1798280.0,6872907.0,2180794.0,2180793.0
space-id_featurized,ID,455996.35202918376,0.0,0.0,60000000.0,35000000.0,N/A,N/A
myria_featurized,MYRIA,1610715.496778569,0.0,0.0,13004791.0,6502396.0,6502395.0,13004792.0
ondo-finance_featurized,ONDO,2393246.1126173097,0.0,0.0,1147561511.0,N/A,N/A,N/A
injective-protocol_featurized,INJ,32991.13737075332,0.0,0.0,3666667.0,2000000.0,5556667.0,3666666.0
heroes-of-mavia_featurized,MAVIA,45599.635202918376,0.0,0.0,5174241.0,2840909.0,2500000.0,2333332.0
coin98_featurized,C98,270270.2702702703,182482.0,0.0,278241.0,689200.0,182482.0,182481.0
cow-protocol_featurized,COW,166775.70019723865,177389.0,177389.0,177388.0,0.0,N/A,N/A
liquity_featurized,LQTY,10333.389337641356,0.0,0.0,657351.0,657350.0,39818837.0,N/A
okb_featurized,OKB,0.0,0.0,0.0,N/A,N/A,N/A,N/A
compound-governance-token_featurized,COMP,3096.745815251085,1524.0,1524.0,1523.0,0.0,2769014.0,N/A
sui_featurized,SUI,755172.4423292273,0.0,0.0,5000000.0,49497592.0,29298179.0,49497591.0
oasis-network_featurized,ROSE,1148197.5967957277,0.0,0.0,150000000.0,140000000.0,120000000.0,759000000.0
stepn_featurized,GMT,290280.0175927283,0.0,0.0,600000.0,561290.0,2012903.0,2060000.0
cartesi_featurized,CTSI,115871.90275829827,0.0,0.0,1675000.0,8412697.0,38566263.0,36891268.0
stargate-finance_featurized,STG,294117.64705882355,478796.0,478796.0,0.0,478797.0,159599.0,797994.0
flow_featurized,FLOW,132134.0964840556,0.0,0.0,205479.0,205480.0,11030479.0,11030480.0
immutable-x_featurized,IMX,178914.78373143965,0.0,0.0,8660594.0,8660593.0,112587719.0,N/A
memecoin-2_featurized,MEME,14208494.208494209,10712329.0,10712329.0,0.0,24286099.0,10712328.0,24286100.0
echelon-prime_featurized,PRIME,28759.11247296323,0.0,0.0,1662037.0,750000.0,912037.0,1662038.0
aptos_featurized,APT,88957.17337715694,0.0,0.0,6766305.0,20298915.0,N/A,N/A
manta-network_featurized,MANTA,184888.30486202365,68447.0,288629.0,0.0,68446.0,68447.0,288628.0
cosmos_featurized,ATOM,7112.328019131128,0.0,0.0,35689662.0,N/A,N/A,N/A
optimism_featurized,OP,806987.5923799583,0.0,0.0,24159191.0,24159192.0,386547057.0,N/A
polkadot_featurized,DOT,51652.89256198347,0.0,0.0,200000000.0,N/A,N/A,N/A
dymension_featurized,DYM,104329.68179447053,0.0,0.0,273973.0,273972.0,136986.0,410959.0
sudoswap_featurized,SUDO,11605.41586073501,16423.0,16423.0,0.0,16424.0,16262.0,16585.0
elrond-erd-2_featurized,EGLD,2162.3064602242393,0.0,0.0,570000.0,585833.0,285000.0,965834.0
jito-governance-token_featurized,JTO,278483.48632010946,247880.0,247880.0,0.0,247879.0,135714286.0,82627.0
ronin_featurized,RON,88809.94671403198,80845.0,0.0,171696.0,173583.0,175511.0,173582.0
altlayer_featurized,ALT,2479072.7623953638,3113797.0,3113798.0,1124370.0,3113797.0,0.0,1124369.0
yield-guild-games_featurized,YGG,183794.77522290003,0.0,0.0,7368827.0,6442901.0,11217592.0,5401235.0
maverick-protocol_featurized,MAV,975118.4834123222,0.0,0.0,2497262.0,2497261.0,2289157.0,38897262.0
arkham_featurized,ARKM,152830.18867924527,136892.0,0.0,324107.0,136893.0,136892.0,324108.0
jupiter-exchange-solana_featurized,JUP,765864.3326039388,0.0,0.0,350000000.0,N/A,N/A,N/A
solana_featurized,SOL,56061.66783461808,0.0,0.0,1302083.0,1302084.0,78500000.0,130250000.0
aleph-zero_featurized,AZERO,38933.81251871818,16427.0,0.0,16427.0,134815.0,16428.0,54705.0
dogecoin_featurized,DOGE,0.0,0.0,0.0,N/A,N/A,N/A,N/A
bonk_featurized,BONK,17587939698.492462,19160583942.0,19160583942.0,19160583941.0,0.0,N/A,N/A
algorand_featurized,ALGO,1041666.6666666666,0.0,0.0,2000000000.0,N/A,N/A,N/A
gmx_featurized,GMX,0.0,0.0,0.0,N/A,N/A,N/A,N/A
superfarm_featurized,SUPER,397727.2727272727,195205.0,195205.0,195206.0,0.0,136986.0,58219.0
pyth-network_featurized,PYTH,1459854.01459854,0.0,0.0,462500000.0,150000000.0,N/A,N/A
blur_featurized,BLUR,947775.6286266925,805479.0,1204918.0,402740.0,1600000.0,0.0,805479.0
near_featurized,NEAR,206171.79146141215,165025.0,95825.0,376863.0,165025.0,298189.0,95824.0
metis-token_featurized,METIS,620.6361520558572,0.0,0.0,11250.0,146250.0,117188.0,117187.0
helium_featurized,HNT,17229.68864023352,12329.0,12705.0,5959.0,41120.0,12329.0,2671.0
zetachain_featurized,ZETA,520940.72164948453,0.0,0.0,22458333.0,22458334.0,44916667.0,44916666.0
