Date,Symbol,Project,insider_tokens_unlocked,insider_unlock_usd_value,insider_owned_float_percentage,supply_increase_percentage,Price_date,Price_date_diff
2021-10-16,FLOW,flow,204900000.0,3608289000.0,20.787924933639307,1532.6200217293444,2021-10-16,0
2019-06-19,ALGO,algorand,2000000000.0,3200000000.0,80.0,inf,2019-06-21,2
2024-03-16,ARB,arbitrum,1111750000.0,2090090000.0,41.41146638359759,70.79102193696247,2024-03-16,0
2023-01-02,BONK,bonk,19160583941.61,1219935218.978367,0.03308159812475316,0.033092545667719124,2023-01-02,0
2024-05-15,AEVO,aevo-exchange,388009200.0,1214468796.0,40.860471901101924,678.356962295082,2024-04-03,-42
2020-08-18,DOT,polkadot,200000000.0,588000000.0,19.550080342798548,4398.795180207367,2020-08-19,1
2024-12-07,JTO,jito-governance-token,135714286.0,534714286.84,45.50680610025323,83.75412419868005,2024-04-06,-245
2023-12-01,DYDX,dydx,150000000.0,484500000.0,43.53477670718441,77.10015859040021,2023-12-01,0
2024-06-25,ALT,altlayer,500180000.0,265095400.0,23.547485932344145,31.079144050452808,2024-04-03,-83
2024-01-31,JUP,jupiter-exchange-solana,350000000.0,234500000.0,25.925925925925924,inf,2024-01-31,0
2020-04-17,COMP,compound-governance-token,2769014.0,217589120.12,78.13214056152148,inf,2020-06-16,60
2023-11-12,APT,aptos,20298915.01,156098656.42690003,9.695507587137387,13.463125559740357,2023-11-12,0
2021-10-03,JOE,joe,53395200.0,150040512.0,30.0,44.045870918117615,2021-10-03,0
2021-09-25,AKT,akash-network,28255394.0,138733984.54,29.465397379355423,42.037665391726435,2021-09-25,0
2017-04-06,ATOM,cosmos,35689662.0,98146570.5,16.788888644169482,inf,2019-02-24,689
2021-11-10,AZERO,aleph-zero,66500000.0,81795000.0,43.4640522875817,inf,2022-01-28,79
2021-04-21,INJ,injective-protocol,5556666.67,81238466.7154,21.146771543683016,35.53988995262381,2021-04-21,0
2021-05-04,AGIX,singularitynet,180000000.0,75600000.0,17.733990147783253,inf,2021-05-04,0
2022-05-05,GAL,galxe,3928000.0,67011679.99999999,11.171362482572842,inf,2022-05-05,0
2022-11-04,IMX,immutable-x,112587719.0,66426754.20999999,15.75155437757079,25.32060397328343,2022-11-04,0
2024-03-22,ID,space-id,60000000.0,64800000.00000001,10.566480781078063,16.038940513206917,2024-03-22,0
2020-12-20,FXS,frax-share,12000000.0,62160000.0,70.58823529411765,inf,2021-01-01,12
2023-06-14,BLUR,blur,196000000.0,58800000.0,27.64633253276782,38.55633284321976,2023-06-14,0
2020-09-10,AVAX,avalanche-2,10800000.0,57024000.0,26.686434395848778,inf,2020-09-22,12
2020-10-16,FIL,filecoin,580508.51,35434239.4504,67.87298717159719,inf,2020-10-16,0
2022-03-11,GLMR,moonbeam,12000000.0,30359999.999999996,7.297942149382868,7.98315984568415,2022-03-11,0
2023-11-07,HFT,hashflow,110800000.0,29916000.000000004,28.576855835864006,70.55014970162622,2023-11-07,0
2020-12-17,GRT,the-graph,140000000.0,16800000.0,11.36455881159185,inf,2020-12-17,0
2022-09-13,GEL,gelato,65206950.0,14997598.5,22.302158273381295,28.703703703703702,2022-09-13,0
2018-07-14,FTM,fantom,853125000.0,8531250.0,57.52212389380531,inf,2018-10-30,108
2019-07-04,EGLD,elrond-erd-2,285000.0,5013150.0,3.800844633830115,inf,2020-09-03,427
2022-06-09,HOP,hop-protocol,28000000.0,3640000.0,4.040404040404041,inf,2022-06-10,1
2023-02-01,ACA,acala,27433333.0,3566333.29,10.992477214648034,14.734642354669223,2023-02-01,0
2023-02-02,GMT,stepn,2207142.86,1280142.8587999998,0.23165632744408077,0.38680725359582097,2023-02-02,0
2025-02-07,DYM,dymension,136986.3,724657.5269999999,0.07170473957535689,0.18624206077287211,2024-04-04,-309
2023-05-24,LBR,lybra-finance,500000.0,705000.0,6.251167796283943,14.733143586250838,2023-05-24,0
2024-07-19,ARKM,arkham,324107.15,700071.4440000001,0.1513148533619183,0.23310676504374814,2024-04-04,-106
2022-02-02,COW,cow-protocol,177388.7,274952.48500000004,0.2094609707203502,0.3314024367416543,2022-03-28,54
2021-11-10,KUJI,kujira,76677.58,267604.7542,0.5015003781453775,135.22516199999998,2021-11-26,16
2022-07-24,C98,coin98,373316.6,182925.134,0.20117451586878152,0.30731570810810943,2022-07-24,0
2022-01-06,BEAM,beam-2,15873015.87,158730.1587,0.20472382304536105,0.8241867401820505,2023-12-02,695
2022-09-28,AXL,axelar,134638.1,115788.766,0.4773459537036324,1.540015655679871,2022-09-28,0
2020-04-21,CTSI,cartesi,1675000.0,83750.0,0.7196820498840888,inf,2020-04-24,3
2022-01-02,EUL,euler,16910.61,69502.60710000001,0.44704224572895224,0.6113563227317743,2022-06-24,173
2020-06-22,BAL,balancer,3844.84,58441.568,100.0,inf,2020-06-23,1
2024-10-27,EDU,edu-coin,26027.4,23164.386000000002,0.006798078499544993,0.0869298892340949,2024-04-04,-206
2019-05-02,FTT,ftx-token,7720.35,12738.5775,100.0,inf,2019-07-30,89
2019-08-02,HNT,helium,41120.22,4934.4264,35.00000085116278,inf,2020-04-18,260
