Date,Symbol,Available Supply,Unlocked Supply,Team/Investor/VC,Community Incentives
Mar 13 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Mar 11 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Mar 09 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Mar 07 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Mar 04 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Mar 02 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Feb 28 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Feb 26 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Feb 24 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Feb 22 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Feb 20 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Feb 17 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Feb 15 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Feb 13 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Feb 11 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Feb 09 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Feb 07 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Feb 05 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Feb 03 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Jan 31 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Jan 29 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Jan 27 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Jan 25 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Jan 23 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Jan 21 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Jan 19 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Jan 16 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Jan 14 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Jan 12 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Jan 10 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Jan 08 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Jan 06 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Jan 04 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Jan 01 2026,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Dec 30 2025,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Dec 28 2025,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Dec 26 2025,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Dec 24 2025,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Dec 22 2025,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Dec 20 2025,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Dec 18 2025,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Dec 15 2025,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Dec 13 2025,1INCH,1388063436.77,1388063436.77,1290563436.77,97500000.00
Dec 11 2025,1INCH,1388048436.77,1388048436.77,1290548436.77,97500000.00
Dec 09 2025,1INCH,1388048436.77,1388048436.77,1290548436.77,97500000.00
Dec 07 2025,1INCH,1388048436.77,1388048436.77,1290548436.77,97500000.00
Dec 05 2025,1INCH,1388048436.77,1388048436.77,1290548436.77,97500000.00
Dec 03 2025,1INCH,1388048436.77,1388048436.77,1290548436.77,97500000.00
Nov 30 2025,1INCH,1388048436.77,1388048436.77,1290548436.77,97500000.00
Nov 28 2025,1INCH,1388048436.77,1388048436.77,1290548436.77,97500000.00
Nov 26 2025,1INCH,1388048436.77,1388048436.77,1290548436.77,97500000.00
Nov 24 2025,1INCH,1388048436.77,1388048436.77,1290548436.77,97500000.00
Nov 22 2025,1INCH,1388048436.77,1388048436.77,1290548436.77,97500000.00
Nov 20 2025,1INCH,1388048436.77,1388048436.77,1290548436.77,97500000.00
Nov 18 2025,1INCH,1388048436.77,1388048436.77,1290548436.77,97500000.00
Nov 15 2025,1INCH,1388048436.77,1388048436.77,1290548436.77,97500000.00
Nov 13 2025,1INCH,1388027007.77,1388027007.77,1290527007.77,97500000.00
Nov 11 2025,1INCH,1388027007.77,1388027007.77,1290527007.77,97500000.00
Nov 09 2025,1INCH,1388027007.77,1388027007.77,1290527007.77,97500000.00
Nov 07 2025,1INCH,1388012007.77,1388012007.77,1290512007.77,97500000.00
Nov 05 2025,1INCH,1388012007.77,1388012007.77,1290512007.77,97500000.00
Nov 03 2025,1INCH,1388012007.77,1388012007.77,1290512007.77,97500000.00
