Date,Symbol,Available Supply,Unlocked Supply,AAVE Ecosystem Reserve,LEND to AAVE Migrator
Dec 11 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Dec 08 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Dec 05 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Dec 02 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Nov 29 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Nov 26 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Nov 23 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Nov 20 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Nov 17 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Nov 14 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Nov 12 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Nov 09 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Nov 06 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Nov 03 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Oct 31 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Oct 28 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Oct 25 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Oct 22 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Oct 19 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Oct 16 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Oct 13 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Oct 10 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Oct 07 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Oct 04 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Oct 01 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Sep 28 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Sep 25 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Sep 22 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Sep 19 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Sep 16 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Sep 14 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Sep 11 2027,AAVE,16000000.00,16000000.00,3000000.00,13000000.00
Sep 08 2027,AAVE,15995931.23,15995931.23,2995931.23,13000000.00
Sep 05 2027,AAVE,15992259.20,15992259.20,2992259.20,13000000.00
Sep 02 2027,AAVE,15988587.17,15988587.17,2988587.17,13000000.00
Aug 30 2027,AAVE,15984915.14,15984915.14,2984915.14,13000000.00
Aug 27 2027,AAVE,15981243.10,15981243.10,2981243.10,13000000.00
Aug 24 2027,AAVE,15977571.07,15977571.07,2977571.07,13000000.00
Aug 21 2027,AAVE,15973899.04,15973899.04,2973899.04,13000000.00
Aug 18 2027,AAVE,15970227.01,15970227.01,2970227.01,13000000.00
Aug 15 2027,AAVE,15966554.98,15966554.98,2966554.98,13000000.00
Aug 12 2027,AAVE,15962882.95,15962882.95,2962882.95,13000000.00
