Date,Symbol,Available Supply,Unlocked Supply,Crowdloan Participants,Strategic Partners,Acala Team,Ecosystem Development,Reserve
Apr 25 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Apr 22 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Apr 20 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Apr 17 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Apr 14 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Apr 11 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Apr 09 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Apr 06 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Apr 03 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Mar 31 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Mar 29 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Mar 26 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Mar 23 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Mar 21 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Mar 18 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Mar 15 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Mar 12 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Mar 10 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Mar 07 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Mar 04 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Mar 01 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Feb 28 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Feb 25 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Feb 22 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Feb 20 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Feb 17 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Feb 14 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Feb 11 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Feb 09 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Feb 06 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Feb 03 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Feb 01 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Jan 29 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Jan 26 2028,ACA,1000000000.00,1000000000.00,340000000.00,291300000.00,202500000.00,50000000.00,116200000.00
Jan 23 2028,ACA,995342466.00,995342466.00,335342466.00,291300000.00,202500000.00,50000000.00,116200000.00
Jan 21 2028,ACA,995342466.00,995342466.00,335342466.00,291300000.00,202500000.00,50000000.00,116200000.00
Jan 18 2028,ACA,995342466.00,995342466.00,335342466.00,291300000.00,202500000.00,50000000.00,116200000.00
Jan 15 2028,ACA,995342466.00,995342466.00,335342466.00,291300000.00,202500000.00,50000000.00,116200000.00
Jan 12 2028,ACA,995342466.00,995342466.00,335342466.00,291300000.00,202500000.00,50000000.00,116200000.00
Jan 10 2028,ACA,995342466.00,995342466.00,335342466.00,291300000.00,202500000.00,50000000.00,116200000.00
Jan 07 2028,ACA,995342466.00,995342466.00,335342466.00,291300000.00,202500000.00,50000000.00,116200000.00
Jan 04 2028,ACA,995342466.00,995342466.00,335342466.00,291300000.00,202500000.00,50000000.00,116200000.00
Jan 02 2028,ACA,995342466.00,995342466.00,335342466.00,291300000.00,202500000.00,50000000.00,116200000.00
Dec 30 2027,ACA,995342466.00,995342466.00,335342466.00,291300000.00,202500000.00,50000000.00,116200000.00
Dec 27 2027,ACA,995342466.00,995342466.00,335342466.00,291300000.00,202500000.00,50000000.00,116200000.00
Dec 24 2027,ACA,990684932.00,990684932.00,330684932.00,291300000.00,202500000.00,50000000.00,116200000.00
Dec 22 2027,ACA,990684932.00,990684932.00,330684932.00,291300000.00,202500000.00,50000000.00,116200000.00
Dec 19 2027,ACA,990684932.00,990684932.00,330684932.00,291300000.00,202500000.00,50000000.00,116200000.00
Dec 16 2027,ACA,990684932.00,990684932.00,330684932.00,291300000.00,202500000.00,50000000.00,116200000.00
Dec 13 2027,ACA,990684932.00,990684932.00,330684932.00,291300000.00,202500000.00,50000000.00,116200000.00
Dec 11 2027,ACA,990684932.00,990684932.00,330684932.00,291300000.00,202500000.00,50000000.00,116200000.00
Dec 08 2027,ACA,990684932.00,990684932.00,330684932.00,291300000.00,202500000.00,50000000.00,116200000.00
Dec 05 2027,ACA,990684932.00,990684932.00,330684932.00,291300000.00,202500000.00,50000000.00,116200000.00
Dec 03 2027,ACA,990684932.00,990684932.00,330684932.00,291300000.00,202500000.00,50000000.00,116200000.00
Nov 30 2027,ACA,990684932.00,990684932.00,330684932.00,291300000.00,202500000.00,50000000.00,116200000.00
Nov 27 2027,ACA,990684932.00,990684932.00,330684932.00,291300000.00,202500000.00,50000000.00,116200000.00
Nov 24 2027,ACA,986027397.00,986027397.00,326027397.00,291300000.00,202500000.00,50000000.00,116200000.00
Nov 22 2027,ACA,986027397.00,986027397.00,326027397.00,291300000.00,202500000.00,50000000.00,116200000.00
Nov 19 2027,ACA,986027397.00,986027397.00,326027397.00,291300000.00,202500000.00,50000000.00,116200000.00
Nov 16 2027,ACA,986027397.00,986027397.00,326027397.00,291300000.00,202500000.00,50000000.00,116200000.00
Nov 13 2027,ACA,986027397.00,986027397.00,326027397.00,291300000.00,202500000.00,50000000.00,116200000.00
Nov 11 2027,ACA,986027397.00,986027397.00,326027397.00,291300000.00,202500000.00,50000000.00,116200000.00
Nov 08 2027,ACA,986027397.00,986027397.00,326027397.00,291300000.00,202500000.00,50000000.00,116200000.00
Nov 05 2027,ACA,986027397.00,986027397.00,326027397.00,291300000.00,202500000.00,50000000.00,116200000.00
Nov 03 2027,ACA,986027397.00,986027397.00,326027397.00,291300000.00,202500000.00,50000000.00,116200000.00
Oct 31 2027,ACA,986027397.00,986027397.00,326027397.00,291300000.00,202500000.00,50000000.00,116200000.00
Oct 28 2027,ACA,986027397.00,986027397.00,326027397.00,291300000.00,202500000.00,50000000.00,116200000.00
Oct 25 2027,ACA,986027397.00,986027397.00,326027397.00,291300000.00,202500000.00,50000000.00,116200000.00
Oct 23 2027,ACA,981369863.00,981369863.00,321369863.00,291300000.00,202500000.00,50000000.00,116200000.00
Oct 20 2027,ACA,981369863.00,981369863.00,321369863.00,291300000.00,202500000.00,50000000.00,116200000.00
Oct 17 2027,ACA,981369863.00,981369863.00,321369863.00,291300000.00,202500000.00,50000000.00,116200000.00
Oct 15 2027,ACA,981369863.00,981369863.00,321369863.00,291300000.00,202500000.00,50000000.00,116200000.00
