Date,Symbol,Available Supply,Unlocked Supply,Mining,Vendors & Marketing,Testnets,Ecosystem,Team & Advisors,Investors,Foundation,Public Sale
Jan 01 2031,AKT,344134861.00,344134861.00,244134861.00,4000000.00,5000000.00,8000000.00,27000000.00,34510788.00,19689212.00,1800000.00
Dec 28 2030,AKT,344134861.00,344134861.00,244134861.00,4000000.00,5000000.00,8000000.00,27000000.00,34510788.00,19689212.00,1800000.00
Dec 24 2030,AKT,344134861.00,344134861.00,244134861.00,4000000.00,5000000.00,8000000.00,27000000.00,34510788.00,19689212.00,1800000.00
Dec 19 2030,AKT,344134861.00,344134861.00,244134861.00,4000000.00,5000000.00,8000000.00,27000000.00,34510788.00,19689212.00,1800000.00
Dec 15 2030,AKT,344134861.00,344134861.00,244134861.00,4000000.00,5000000.00,8000000.00,27000000.00,34510788.00,19689212.00,1800000.00
Dec 11 2030,AKT,344134861.00,344134861.00,244134861.00,4000000.00,5000000.00,8000000.00,27000000.00,34510788.00,19689212.00,1800000.00
Dec 07 2030,AKT,344134861.00,344134861.00,244134861.00,4000000.00,5000000.00,8000000.00,27000000.00,34510788.00,19689212.00,1800000.00
Dec 03 2030,AKT,344134861.00,344134861.00,244134861.00,4000000.00,5000000.00,8000000.00,27000000.00,34510788.00,19689212.00,1800000.00
Nov 28 2030,AKT,344134861.00,344134861.00,244134861.00,4000000.00,5000000.00,8000000.00,27000000.00,34510788.00,19689212.00,1800000.00
Nov 24 2030,AKT,344134861.00,344134861.00,244134861.00,4000000.00,5000000.00,8000000.00,27000000.00,34510788.00,19689212.00,1800000.00
Nov 20 2030,AKT,344134861.00,344134861.00,244134861.00,4000000.00,5000000.00,8000000.00,27000000.00,34510788.00,19689212.00,1800000.00
Nov 16 2030,AKT,344134861.00,344134861.00,244134861.00,4000000.00,5000000.00,8000000.00,27000000.00,34510788.00,19689212.00,1800000.00
Nov 11 2030,AKT,344134861.00,344134861.00,244134861.00,4000000.00,5000000.00,8000000.00,27000000.00,34510788.00,19689212.00,1800000.00
Nov 07 2030,AKT,344134861.00,344134861.00,244134861.00,4000000.00,5000000.00,8000000.00,27000000.00,34510788.00,19689212.00,1800000.00
Nov 03 2030,AKT,344134861.00,344134861.00,244134861.00,4000000.00,5000000.00,8000000.00,27000000.00,34510788.00,19689212.00,1800000.00
Oct 30 2030,AKT,344134861.00,344134861.00,244134861.00,4000000.00,5000000.00,8000000.00,27000000.00,34510788.00,19689212.00,1800000.00
Oct 26 2030,AKT,344134861.00,344134861.00,244134861.00,4000000.00,5000000.00,8000000.00,27000000.00,34510788.00,19689212.00,1800000.00
Oct 21 2030,AKT,344134861.00,344134861.00,244134861.00,4000000.00,5000000.00,8000000.00,27000000.00,34510788.00,19689212.00,1800000.00
Oct 17 2030,AKT,344134861.00,344134861.00,244134861.00,4000000.00,5000000.00,8000000.00,27000000.00,34510788.00,19689212.00,1800000.00
Oct 13 2030,AKT,344134861.00,344134861.00,244134861.00,4000000.00,5000000.00,8000000.00,27000000.00,34510788.00,19689212.00,1800000.00
Oct 09 2030,AKT,344134861.00,344134861.00,244134861.00,4000000.00,5000000.00,8000000.00,27000000.00,34510788.00,19689212.00,1800000.00
Oct 05 2030,AKT,344134861.00,344134861.00,244134861.00,4000000.00,5000000.00,8000000.00,27000000.00,34510788.00,19689212.00,1800000.00
Sep 30 2030,AKT,344111596.10,344111596.10,244111596.10,4000000.00,5000000.00,8000000.00,27000000.00,34510788.00,19689212.00,1800000.00
Sep 26 2030,AKT,344018536.50,344018536.50,244018536.50,4000000.00,5000000.00,8000000.00,27000000.00,34510788.00,19689212.00,1800000.00
Sep 22 2030,AKT,343925476.90,343925476.90,243925476.90,4000000.00,5000000.00,8000000.00,27000000.00,34510788.00,19689212.00,1800000.00
Sep 18 2030,AKT,343832417.30,343832417.30,243832417.30,4000000.00,5000000.00,8000000.00,27000000.00,34510788.00,19689212.00,1800000.00
Sep 14 2030,AKT,343739357.70,343739357.70,243739357.70,4000000.00,5000000.00,8000000.00,27000000.00,34510788.00,19689212.00,1800000.00
Sep 09 2030,AKT,343623033.20,343623033.20,243623033.20,4000000.00,5000000.00,8000000.00,27000000.00,34510788.00,19689212.00,1800000.00
Sep 05 2030,AKT,343529973.60,343529973.60,243529973.60,4000000.00,5000000.00,8000000.00,27000000.00,34510788.00,19689212.00,1800000.00
