Date,Symbol,Available Supply,Unlocked Supply,Annual Inflation,Public Presale,Team,Foundation,Pre-Seed,Seed,Early Community,Public
Dec 31 2030,AZERO,560465780.29,560465780.29,260465780.29,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 27 2030,AZERO,560137116.84,560137116.84,260137116.84,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 24 2030,AZERO,559890619.26,559890619.26,259890619.26,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 20 2030,AZERO,559561955.82,559561955.82,259561955.82,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 16 2030,AZERO,559233292.37,559233292.37,259233292.37,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 12 2030,AZERO,558904628.93,558904628.93,258904628.93,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 09 2030,AZERO,558658131.34,558658131.34,258658131.34,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 05 2030,AZERO,558329467.90,558329467.90,258329467.90,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 01 2030,AZERO,558000804.45,558000804.45,258000804.45,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Nov 27 2030,AZERO,557672141.01,557672141.01,257672141.01,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Nov 24 2030,AZERO,557425643.42,557425643.42,257425643.42,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Nov 20 2030,AZERO,557096979.98,557096979.98,257096979.98,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Nov 16 2030,AZERO,556768316.53,556768316.53,256768316.53,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Nov 12 2030,AZERO,556439653.09,556439653.09,256439653.09,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Nov 09 2030,AZERO,556193155.50,556193155.50,256193155.50,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Nov 05 2030,AZERO,555864492.06,555864492.06,255864492.06,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Nov 01 2030,AZERO,555535828.61,555535828.61,255535828.61,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Oct 28 2030,AZERO,555207165.17,555207165.17,255207165.17,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Oct 25 2030,AZERO,554960667.58,554960667.58,254960667.58,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Oct 21 2030,AZERO,554632004.14,554632004.14,254632004.14,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Oct 17 2030,AZERO,554303340.69,554303340.69,254303340.69,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Oct 13 2030,AZERO,553974677.25,553974677.25,253974677.25,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Oct 10 2030,AZERO,553728179.66,553728179.66,253728179.66,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Oct 06 2030,AZERO,553399516.22,553399516.22,253399516.22,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Oct 02 2030,AZERO,553070852.77,553070852.77,253070852.77,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Sep 28 2030,AZERO,552742189.33,552742189.33,252742189.33,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Sep 25 2030,AZERO,552495691.74,552495691.74,252495691.74,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Sep 21 2030,AZERO,552167028.30,552167028.30,252167028.30,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Sep 17 2030,AZERO,551838364.85,551838364.85,251838364.85,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Sep 13 2030,AZERO,551509701.41,551509701.41,251509701.41,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Sep 10 2030,AZERO,551263203.83,551263203.83,251263203.83,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Sep 06 2030,AZERO,550934540.38,550934540.38,250934540.38,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Sep 02 2030,AZERO,550605876.93,550605876.93,250605876.93,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Aug 29 2030,AZERO,550277213.49,550277213.49,250277213.49,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Aug 26 2030,AZERO,550030715.91,550030715.91,250030715.91,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Aug 22 2030,AZERO,549702052.46,549702052.46,249702052.46,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
