Date,Symbol,Available Supply,Unlocked Supply,Liquidity Mining,Founder advisors investor,Initial Liquidity Mining,Options,Ecosystem,Fundraising
Nov 06 2047,BAL,100588484.36,100588484.36,60153484.36,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Oct 26 2047,BAL,100585498.73,100585498.73,60150498.73,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Oct 15 2047,BAL,100582513.10,100582513.10,60147513.10,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Oct 03 2047,BAL,100579256.05,100579256.05,60144256.05,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Sep 22 2047,BAL,100576270.42,100576270.42,60141270.42,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Sep 11 2047,BAL,100573284.79,100573284.79,60138284.79,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Aug 31 2047,BAL,100570299.16,100570299.16,60135299.16,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Aug 19 2047,BAL,100567042.11,100567042.11,60132042.11,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Aug 08 2047,BAL,100564056.49,100564056.49,60129056.49,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 28 2047,BAL,100561070.86,100561070.86,60126070.86,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 17 2047,BAL,100558085.23,100558085.23,60123085.23,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 06 2047,BAL,100555099.60,100555099.60,60120099.60,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 24 2047,BAL,100551842.55,100551842.55,60116842.55,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 13 2047,BAL,100548856.92,100548856.92,60113856.92,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 02 2047,BAL,100545871.30,100545871.30,60110871.30,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 22 2047,BAL,100542885.67,100542885.67,60107885.67,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 10 2047,BAL,100539628.62,100539628.62,60104628.62,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Apr 29 2047,BAL,100536642.99,100536642.99,60101642.99,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Apr 18 2047,BAL,100533657.36,100533657.36,60098657.36,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Apr 07 2047,BAL,100530671.73,100530671.73,60095671.73,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Mar 27 2047,BAL,100527686.10,100527686.10,60092686.10,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Mar 15 2047,BAL,100524063.38,100524063.38,60089063.38,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Mar 04 2047,BAL,100520503.12,100520503.12,60085503.12,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Feb 21 2047,BAL,100516942.85,100516942.85,60081942.85,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Feb 10 2047,BAL,100513382.59,100513382.59,60078382.59,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jan 29 2047,BAL,100509498.67,100509498.67,60074498.67,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jan 18 2047,BAL,100505938.40,100505938.40,60070938.40,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jan 07 2047,BAL,100502378.14,100502378.14,60067378.14,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Dec 27 2046,BAL,100498817.88,100498817.88,60063817.88,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Dec 16 2046,BAL,100495257.61,100495257.61,60060257.61,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Dec 04 2046,BAL,100491373.69,100491373.69,60056373.69,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Nov 23 2046,BAL,100487813.43,100487813.43,60052813.43,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
