Date,Symbol,Available Supply,Unlocked Supply,Marketing (TBD),BONK DAO (TBD),Early Contributor,Initial Liquidity,Solana Developer,Solana Artist and Collectors,Solana Market Participants and Defi Users,Solana NFT Projects
Apr 01 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Mar 31 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Mar 29 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Mar 28 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Mar 27 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Mar 25 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Mar 24 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Mar 23 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Mar 21 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Mar 20 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Mar 19 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Mar 17 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Mar 16 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Mar 15 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Mar 13 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Mar 12 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Mar 11 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Mar 09 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Mar 08 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Mar 07 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Mar 05 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Mar 04 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Mar 03 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Mar 01 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
