Date,Symbol,Available Supply,Unlocked Supply,Initial Core Contributors,Early Backers: Series A&B,Early Backers: Seed,R&D & Ecosystem,Public Allocation
Oct 30 2027,TIA,1000000000.00,1000000000.00,176000000.00,197000000.00,159000000.00,268000000.00,200000000.00
Oct 28 2027,TIA,999525799.09,999525799.09,176000000.00,197000000.00,159000000.00,267525799.09,200000000.00
Oct 27 2027,TIA,999342237.44,999342237.44,176000000.00,197000000.00,159000000.00,267342237.44,200000000.00
Oct 25 2027,TIA,998975114.16,998975114.16,176000000.00,197000000.00,159000000.00,266975114.16,200000000.00
Oct 23 2027,TIA,998607990.87,998607990.87,176000000.00,197000000.00,159000000.00,266607990.87,200000000.00
Oct 22 2027,TIA,998424429.22,998424429.22,176000000.00,197000000.00,159000000.00,266424429.22,200000000.00
Oct 20 2027,TIA,998057305.94,998057305.94,176000000.00,197000000.00,159000000.00,266057305.94,200000000.00
Oct 19 2027,TIA,997873744.29,997873744.29,176000000.00,197000000.00,159000000.00,265873744.29,200000000.00
Oct 17 2027,TIA,997506621.00,997506621.00,176000000.00,197000000.00,159000000.00,265506621.00,200000000.00
Oct 15 2027,TIA,997139497.72,997139497.72,176000000.00,197000000.00,159000000.00,265139497.72,200000000.00
Oct 14 2027,TIA,996955936.07,996955936.07,176000000.00,197000000.00,159000000.00,264955936.07,200000000.00
Oct 12 2027,TIA,996588812.79,996588812.79,176000000.00,197000000.00,159000000.00,264588812.79,200000000.00
Oct 10 2027,TIA,996221689.50,996221689.50,176000000.00,197000000.00,159000000.00,264221689.50,200000000.00
Oct 09 2027,TIA,996038127.85,996038127.85,176000000.00,197000000.00,159000000.00,264038127.85,200000000.00
Oct 07 2027,TIA,995671004.57,995671004.57,176000000.00,197000000.00,159000000.00,263671004.57,200000000.00
Oct 05 2027,TIA,995303881.28,995303881.28,176000000.00,197000000.00,159000000.00,263303881.28,200000000.00
Oct 04 2027,TIA,995120319.63,995120319.63,176000000.00,197000000.00,159000000.00,263120319.63,200000000.00
Oct 02 2027,TIA,994753196.35,994753196.35,176000000.00,197000000.00,159000000.00,262753196.35,200000000.00
Oct 01 2027,TIA,994569634.70,994569634.70,176000000.00,197000000.00,159000000.00,262569634.70,200000000.00
Sep 29 2027,TIA,994202511.42,994202511.42,176000000.00,197000000.00,159000000.00,262202511.42,200000000.00
Sep 27 2027,TIA,993835388.13,993835388.13,176000000.00,197000000.00,159000000.00,261835388.13,200000000.00
Sep 26 2027,TIA,993651826.48,993651826.48,176000000.00,197000000.00,159000000.00,261651826.48,200000000.00
Sep 24 2027,TIA,993284703.20,993284703.20,176000000.00,197000000.00,159000000.00,261284703.20,200000000.00
Sep 22 2027,TIA,992917579.91,992917579.91,176000000.00,197000000.00,159000000.00,260917579.91,200000000.00
Sep 21 2027,TIA,992734018.26,992734018.26,176000000.00,197000000.00,159000000.00,260734018.26,200000000.00
Sep 19 2027,TIA,992366894.98,992366894.98,176000000.00,197000000.00,159000000.00,260366894.98,200000000.00
Sep 17 2027,TIA,991999771.69,991999771.69,176000000.00,197000000.00,159000000.00,259999771.69,200000000.00
Sep 16 2027,TIA,991816210.05,991816210.05,176000000.00,197000000.00,159000000.00,259816210.05,200000000.00
Sep 14 2027,TIA,991449086.76,991449086.76,176000000.00,197000000.00,159000000.00,259449086.76,200000000.00
Sep 12 2027,TIA,991081963.47,991081963.47,176000000.00,197000000.00,159000000.00,259081963.47,200000000.00
Sep 11 2027,TIA,990898401.83,990898401.83,176000000.00,197000000.00,159000000.00,258898401.83,200000000.00
Sep 09 2027,TIA,990531278.54,990531278.54,176000000.00,197000000.00,159000000.00,258531278.54,200000000.00
Sep 08 2027,TIA,990347716.89,990347716.89,176000000.00,197000000.00,159000000.00,258347716.89,200000000.00
Sep 06 2027,TIA,989980593.61,989980593.61,176000000.00,197000000.00,159000000.00,257980593.61,200000000.00
