Date,Symbol,Available Supply,Unlocked Supply,Users,Founders & Team,Future team members,Community,Shareholders of Compound Inc.
Sep 15 2024,COMP,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Sep 13 2024,COMP,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Sep 11 2024,COMP,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Sep 10 2024,COMP,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Sep 08 2024,COMP,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Sep 06 2024,COMP,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Sep 04 2024,COMP,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Sep 02 2024,COMP,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Sep 01 2024,COMP,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Aug 30 2024,COMP,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Aug 28 2024,COMP,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Aug 26 2024,COMP,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Aug 24 2024,COMP,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Aug 22 2024,COMP,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Aug 21 2024,COMP,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Aug 19 2024,COMP,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Aug 17 2024,COMP,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Aug 15 2024,COMP,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Aug 13 2024,COMP,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Aug 12 2024,COMP,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Aug 10 2024,COMP,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Aug 08 2024,COMP,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Aug 06 2024,COMP,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Aug 04 2024,COMP,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Aug 03 2024,COMP,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Aug 01 2024,COMP,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Jul 30 2024,COMP,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
