Date,Symbol,Available Supply,Unlocked Supply,Block Rewards,Interchain Foundation,Seed Contributors,Public Fund Raisers,All in Bits Inc (Tendermint Inc.),Strategic and Early Adopters
Dec 31 2030,ATOM,746827992.79,746827992.79,510629034.79,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 25 2030,ATOM,745699057.33,745699057.33,509500099.33,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 20 2030,ATOM,744758277.79,744758277.79,508559319.79,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 14 2030,ATOM,743629342.33,743629342.33,507430384.33,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 08 2030,ATOM,742500406.88,742500406.88,506301448.88,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 03 2030,ATOM,741559627.34,741559627.34,505360669.34,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Nov 27 2030,ATOM,740430691.88,740430691.88,504231733.88,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Nov 22 2030,ATOM,739489912.34,739489912.34,503290954.34,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Nov 16 2030,ATOM,738360976.88,738360976.88,502162018.88,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Nov 10 2030,ATOM,737232041.43,737232041.43,501033083.43,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Nov 05 2030,ATOM,736291261.88,736291261.88,500092303.88,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Oct 30 2030,ATOM,735162326.43,735162326.43,498963368.43,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Oct 24 2030,ATOM,734033390.97,734033390.97,497834432.97,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Oct 19 2030,ATOM,733092611.43,733092611.43,496893653.43,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Oct 13 2030,ATOM,731963675.97,731963675.97,495764717.97,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Oct 08 2030,ATOM,731022896.43,731022896.43,494823938.43,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Oct 02 2030,ATOM,729893960.97,729893960.97,493695002.97,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Sep 26 2030,ATOM,728765025.52,728765025.52,492566067.52,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Sep 21 2030,ATOM,727824245.97,727824245.97,491625287.97,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Sep 15 2030,ATOM,726695310.52,726695310.52,490496352.52,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Sep 09 2030,ATOM,725566375.07,725566375.07,489367417.07,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Sep 04 2030,ATOM,724625595.52,724625595.52,488426637.52,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Aug 29 2030,ATOM,723496660.07,723496660.07,487297702.07,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Aug 23 2030,ATOM,722367724.61,722367724.61,486168766.61,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Aug 18 2030,ATOM,721426945.07,721426945.07,485227987.07,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Aug 12 2030,ATOM,720298009.61,720298009.61,484099051.61,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Aug 07 2030,ATOM,719357230.07,719357230.07,483158272.07,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Aug 01 2030,ATOM,718228294.61,718228294.61,482029336.61,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Jul 26 2030,ATOM,717099359.16,717099359.16,480900401.16,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Jul 21 2030,ATOM,716158579.61,716158579.61,479959621.61,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Jul 15 2030,ATOM,715029644.16,715029644.16,478830686.16,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Jul 09 2030,ATOM,713900708.70,713900708.70,477701750.70,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Jul 04 2030,ATOM,712959929.16,712959929.16,476760971.16,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Jun 28 2030,ATOM,711830993.71,711830993.71,475632035.71,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Jun 23 2030,ATOM,710890214.16,710890214.16,474691256.16,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Jun 17 2030,ATOM,709761278.71,709761278.71,473562320.71,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Jun 11 2030,ATOM,708632343.25,708632343.25,472433385.25,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
