Date,Symbol,Available Supply,Unlocked Supply,Network Inflation,Team,Protocol Treausury,Private Sale,MKT / Grants / Accerlerator Pool,Advisors,Community Fund,Ecosystem Rewards,IEO
Oct 04 2029,EGLD,31415926.00,31415926.00,11415926.00,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Sep 30 2029,EGLD,31415926.00,31415926.00,11415926.00,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Sep 26 2029,EGLD,31415926.00,31415926.00,11415926.00,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Sep 21 2029,EGLD,31415926.00,31415926.00,11415926.00,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Sep 17 2029,EGLD,31415926.00,31415926.00,11415926.00,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Sep 13 2029,EGLD,31415926.00,31415926.00,11415926.00,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Sep 09 2029,EGLD,31415926.00,31415926.00,11415926.00,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Sep 05 2029,EGLD,31415926.00,31415926.00,11415926.00,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Aug 31 2029,EGLD,31415926.00,31415926.00,11415926.00,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Aug 27 2029,EGLD,31415926.00,31415926.00,11415926.00,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Aug 23 2029,EGLD,31415926.00,31415926.00,11415926.00,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Aug 19 2029,EGLD,31415926.00,31415926.00,11415926.00,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Aug 15 2029,EGLD,31415926.00,31415926.00,11415926.00,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Aug 10 2029,EGLD,31415926.00,31415926.00,11415926.00,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Aug 06 2029,EGLD,31415926.00,31415926.00,11415926.00,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Aug 02 2029,EGLD,31415926.00,31415926.00,11415926.00,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Jul 29 2029,EGLD,31415926.00,31415926.00,11415926.00,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Jul 25 2029,EGLD,31415926.00,31415926.00,11415926.00,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Jul 20 2029,EGLD,31415926.00,31415926.00,11415926.00,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Jul 16 2029,EGLD,31415926.00,31415926.00,11415926.00,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Jul 12 2029,EGLD,31415926.00,31415926.00,11415926.00,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Jul 08 2029,EGLD,31415926.00,31415926.00,11415926.00,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Jul 04 2029,EGLD,31415926.00,31415926.00,11415926.00,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Jun 29 2029,EGLD,31414362.10,31414362.10,11414362.10,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Jun 25 2029,EGLD,31413110.97,31413110.97,11413110.97,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Jun 21 2029,EGLD,31411859.85,31411859.85,11411859.85,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Jun 17 2029,EGLD,31410608.73,31410608.73,11410608.73,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Jun 13 2029,EGLD,31409357.60,31409357.60,11409357.60,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Jun 08 2029,EGLD,31407793.70,31407793.70,11407793.70,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Jun 04 2029,EGLD,31406542.58,31406542.58,11406542.58,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
May 31 2029,EGLD,31405291.45,31405291.45,11405291.45,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
May 27 2029,EGLD,31404040.33,31404040.33,11404040.33,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
May 22 2029,EGLD,31402476.42,31402476.42,11402476.42,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
May 18 2029,EGLD,31401225.30,31401225.30,11401225.30,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
May 14 2029,EGLD,31399974.18,31399974.18,11399974.18,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
May 10 2029,EGLD,31398723.05,31398723.05,11398723.05,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
May 06 2029,EGLD,31397471.93,31397471.93,11397471.93,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
May 01 2029,EGLD,31395908.03,31395908.03,11395908.03,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Apr 27 2029,EGLD,31394656.90,31394656.90,11394656.90,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Apr 23 2029,EGLD,31393405.78,31393405.78,11393405.78,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Apr 19 2029,EGLD,31392154.66,31392154.66,11392154.66,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Apr 15 2029,EGLD,31390903.53,31390903.53,11390903.53,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Apr 10 2029,EGLD,31389339.63,31389339.63,11389339.63,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Apr 06 2029,EGLD,31388088.51,31388088.51,11388088.51,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Apr 02 2029,EGLD,31386837.38,31386837.38,11386837.38,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Mar 29 2029,EGLD,31385586.26,31385586.26,11385586.26,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Mar 25 2029,EGLD,31384335.14,31384335.14,11384335.14,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Mar 20 2029,EGLD,31382771.23,31382771.23,11382771.23,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Mar 16 2029,EGLD,31381520.11,31381520.11,11381520.11,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Mar 12 2029,EGLD,31380268.99,31380268.99,11380268.99,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Mar 08 2029,EGLD,31379017.86,31379017.86,11379017.86,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Mar 04 2029,EGLD,31377766.74,31377766.74,11377766.74,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Feb 27 2029,EGLD,31376202.84,31376202.84,11376202.84,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Feb 23 2029,EGLD,31374951.71,31374951.71,11374951.71,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Feb 19 2029,EGLD,31373700.59,31373700.59,11373700.59,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Feb 15 2029,EGLD,31372449.47,31372449.47,11372449.47,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Feb 11 2029,EGLD,31371198.34,31371198.34,11371198.34,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Feb 06 2029,EGLD,31369634.44,31369634.44,11369634.44,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Feb 02 2029,EGLD,31368383.32,31368383.32,11368383.32,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Jan 29 2029,EGLD,31367132.19,31367132.19,11367132.19,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Jan 25 2029,EGLD,31365881.07,31365881.07,11365881.07,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Jan 21 2029,EGLD,31364629.95,31364629.95,11364629.95,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Jan 16 2029,EGLD,31363066.04,31363066.04,11363066.04,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Jan 12 2029,EGLD,31361814.92,31361814.92,11361814.92,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Jan 08 2029,EGLD,31360563.79,31360563.79,11360563.79,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Jan 04 2029,EGLD,31359312.67,31359312.67,11359312.67,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Dec 31 2028,EGLD,31358061.55,31358061.55,11358061.55,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Dec 26 2028,EGLD,31356497.64,31356497.64,11356497.64,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Dec 22 2028,EGLD,31355246.52,31355246.52,11355246.52,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Dec 18 2028,EGLD,31353995.40,31353995.40,11353995.40,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Dec 14 2028,EGLD,31352744.27,31352744.27,11352744.27,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Dec 10 2028,EGLD,31351493.15,31351493.15,11351493.15,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
Dec 05 2028,EGLD,31349929.25,31349929.25,11349929.25,3800000.00,3400000.00,3800000.00,1700000.00,500000.00,400000.00,1400000.00,5000000.00
