Date,Symbol,Available Supply,Unlocked Supply,Block Rewards,Team and Founders,Advisor/Contributor,Market Development,Token Sale
Jun 29 2024,FTM,3175000000.00,3175000000.00,1075000000.00,315000000.00,315000000.00,630000000.00,840000000.00
Jun 27 2024,FTM,3175000000.00,3175000000.00,1075000000.00,315000000.00,315000000.00,630000000.00,840000000.00
Jun 24 2024,FTM,3175000000.00,3175000000.00,1075000000.00,315000000.00,315000000.00,630000000.00,840000000.00
Jun 22 2024,FTM,3175000000.00,3175000000.00,1075000000.00,315000000.00,315000000.00,630000000.00,840000000.00
Jun 19 2024,FTM,3175000000.00,3175000000.00,1075000000.00,315000000.00,315000000.00,630000000.00,840000000.00
Jun 17 2024,FTM,3175000000.00,3175000000.00,1075000000.00,315000000.00,315000000.00,630000000.00,840000000.00
Jun 14 2024,FTM,3175000000.00,3175000000.00,1075000000.00,315000000.00,315000000.00,630000000.00,840000000.00
Jun 12 2024,FTM,3175000000.00,3175000000.00,1075000000.00,315000000.00,315000000.00,630000000.00,840000000.00
Jun 09 2024,FTM,3175000000.00,3175000000.00,1075000000.00,315000000.00,315000000.00,630000000.00,840000000.00
Jun 07 2024,FTM,3175000000.00,3175000000.00,1075000000.00,315000000.00,315000000.00,630000000.00,840000000.00
Jun 05 2024,FTM,3175000000.00,3175000000.00,1075000000.00,315000000.00,315000000.00,630000000.00,840000000.00
Jun 02 2024,FTM,3175000000.00,3175000000.00,1075000000.00,315000000.00,315000000.00,630000000.00,840000000.00
May 31 2024,FTM,3175000000.00,3175000000.00,1075000000.00,315000000.00,315000000.00,630000000.00,840000000.00
May 28 2024,FTM,3175000000.00,3175000000.00,1075000000.00,315000000.00,315000000.00,630000000.00,840000000.00
May 26 2024,FTM,3175000000.00,3175000000.00,1075000000.00,315000000.00,315000000.00,630000000.00,840000000.00
May 23 2024,FTM,3175000000.00,3175000000.00,1075000000.00,315000000.00,315000000.00,630000000.00,840000000.00
May 21 2024,FTM,3175000000.00,3175000000.00,1075000000.00,315000000.00,315000000.00,630000000.00,840000000.00
May 18 2024,FTM,3175000000.00,3175000000.00,1075000000.00,315000000.00,315000000.00,630000000.00,840000000.00
May 16 2024,FTM,3175000000.00,3175000000.00,1075000000.00,315000000.00,315000000.00,630000000.00,840000000.00
May 14 2024,FTM,3175000000.00,3175000000.00,1075000000.00,315000000.00,315000000.00,630000000.00,840000000.00
May 11 2024,FTM,3175000000.00,3175000000.00,1075000000.00,315000000.00,315000000.00,630000000.00,840000000.00
May 09 2024,FTM,3175000000.00,3175000000.00,1075000000.00,315000000.00,315000000.00,630000000.00,840000000.00
May 06 2024,FTM,3175000000.00,3175000000.00,1075000000.00,315000000.00,315000000.00,630000000.00,840000000.00
May 04 2024,FTM,3175000000.00,3175000000.00,1075000000.00,315000000.00,315000000.00,630000000.00,840000000.00
May 01 2024,FTM,3175000000.00,3175000000.00,1075000000.00,315000000.00,315000000.00,630000000.00,840000000.00
Apr 29 2024,FTM,3175000000.00,3175000000.00,1075000000.00,315000000.00,315000000.00,630000000.00,840000000.00
Apr 26 2024,FTM,3175000000.00,3175000000.00,1075000000.00,315000000.00,315000000.00,630000000.00,840000000.00
Apr 24 2024,FTM,3175000000.00,3175000000.00,1075000000.00,315000000.00,315000000.00,630000000.00,840000000.00
