Date,Symbol,Available Supply,Unlocked Supply,Mining Reserve (TBD),Simple Minting,Baseline Minting,Protocol Labs Team and Contributors,Filecoin Foundation,Protocol Labs,Fundraising 36 months,Fundraising 24 months,Fundraising 12 months,Fundraising 6 months
Mar 01 2048,FIL,1995190324.05,1695190324.05,300000000.00,325190324.05,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Feb 19 2048,FIL,1995135098.13,1695135098.13,300000000.00,325135098.13,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Feb 08 2048,FIL,1995079872.20,1695079872.20,300000000.00,325079872.20,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 27 2048,FIL,1995019625.74,1695019625.74,300000000.00,325019625.74,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 16 2048,FIL,1994964399.82,1694964399.82,300000000.00,324964399.82,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 05 2048,FIL,1994909173.89,1694909173.89,300000000.00,324909173.89,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 25 2047,FIL,1994853947.97,1694853947.97,300000000.00,324853947.97,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 13 2047,FIL,1994793701.51,1694793701.51,300000000.00,324793701.51,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 02 2047,FIL,1994738475.58,1694738475.58,300000000.00,324738475.58,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Nov 21 2047,FIL,1994683249.66,1694683249.66,300000000.00,324683249.66,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Nov 10 2047,FIL,1994628023.73,1694628023.73,300000000.00,324628023.73,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Oct 30 2047,FIL,1994572797.81,1694572797.81,300000000.00,324572797.81,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Oct 18 2047,FIL,1994512551.35,1694512551.35,300000000.00,324512551.35,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Oct 07 2047,FIL,1994457325.42,1694457325.42,300000000.00,324457325.42,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
