Date,Symbol,Available Supply,Unlocked Supply,Staking Reward,Dapper Labs,Development Team,Community,Pre Launch Backers,Ecosystem Development
Dec 25 2030,FLOW,1955038144.28,1955038144.28,715038144.25,250000000.03,225000000.00,115000000.00,250000000.00,400000000.00
Dec 21 2030,FLOW,1954258317.31,1954258317.31,714258317.28,250000000.03,225000000.00,115000000.00,250000000.00,400000000.00
Dec 17 2030,FLOW,1953478490.35,1953478490.35,713478490.32,250000000.03,225000000.00,115000000.00,250000000.00,400000000.00
Dec 13 2030,FLOW,1952698663.39,1952698663.39,712698663.36,250000000.03,225000000.00,115000000.00,250000000.00,400000000.00
Dec 09 2030,FLOW,1951918836.43,1951918836.43,711918836.40,250000000.03,225000000.00,115000000.00,250000000.00,400000000.00
Dec 04 2030,FLOW,1950944052.72,1950944052.72,710944052.69,250000000.03,225000000.00,115000000.00,250000000.00,400000000.00
Nov 30 2030,FLOW,1950164225.76,1950164225.76,710164225.73,250000000.03,225000000.00,115000000.00,250000000.00,400000000.00
Nov 26 2030,FLOW,1949384398.80,1949384398.80,709384398.77,250000000.03,225000000.00,115000000.00,250000000.00,400000000.00
Nov 22 2030,FLOW,1948604571.84,1948604571.84,708604571.81,250000000.03,225000000.00,115000000.00,250000000.00,400000000.00
Nov 18 2030,FLOW,1947824744.87,1947824744.87,707824744.84,250000000.03,225000000.00,115000000.00,250000000.00,400000000.00
Nov 14 2030,FLOW,1947044917.91,1947044917.91,707044917.88,250000000.03,225000000.00,115000000.00,250000000.00,400000000.00
Nov 10 2030,FLOW,1946265090.95,1946265090.95,706265090.92,250000000.03,225000000.00,115000000.00,250000000.00,400000000.00
Nov 06 2030,FLOW,1945485263.99,1945485263.99,705485263.96,250000000.03,225000000.00,115000000.00,250000000.00,400000000.00
Nov 01 2030,FLOW,1944510480.28,1944510480.28,704510480.25,250000000.03,225000000.00,115000000.00,250000000.00,400000000.00
Oct 28 2030,FLOW,1943730653.32,1943730653.32,703730653.29,250000000.03,225000000.00,115000000.00,250000000.00,400000000.00
Oct 24 2030,FLOW,1942950826.36,1942950826.36,702950826.33,250000000.03,225000000.00,115000000.00,250000000.00,400000000.00
Oct 20 2030,FLOW,1942170999.39,1942170999.39,702170999.36,250000000.03,225000000.00,115000000.00,250000000.00,400000000.00
Oct 16 2030,FLOW,1941391172.43,1941391172.43,701391172.40,250000000.03,225000000.00,115000000.00,250000000.00,400000000.00
