Date,Symbol,Available Supply,Unlocked Supply,Founder’s Node Operators,Gala Games Conservatorship.
Oct 21 2030,GALA,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Oct 17 2030,GALA,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Oct 13 2030,GALA,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Oct 10 2030,GALA,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Oct 06 2030,GALA,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Oct 02 2030,GALA,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Sep 28 2030,GALA,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Sep 24 2030,GALA,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Sep 21 2030,GALA,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Sep 17 2030,GALA,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Sep 13 2030,GALA,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Sep 09 2030,GALA,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Sep 05 2030,GALA,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Sep 02 2030,GALA,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Aug 29 2030,GALA,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Aug 25 2030,GALA,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Aug 21 2030,GALA,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Aug 18 2030,GALA,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Aug 14 2030,GALA,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Aug 10 2030,GALA,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Aug 06 2030,GALA,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Aug 02 2030,GALA,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Jul 30 2030,GALA,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Jul 26 2030,GALA,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Jul 22 2030,GALA,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Jul 18 2030,GALA,12479932428.49,12479932428.49,6239966214.25,6239966214.25
Jul 14 2030,GALA,12479664877.15,12479664877.15,6239832438.58,6239832438.58
Jul 11 2030,GALA,12479464213.64,12479464213.64,6239732106.82,6239732106.82
Jul 07 2030,GALA,12479196662.30,12479196662.30,6239598331.15,6239598331.15
Jul 03 2030,GALA,12478929110.96,12478929110.96,6239464555.48,6239464555.48
Jun 29 2030,GALA,12478661559.62,12478661559.62,6239330779.81,6239330779.81
Jun 25 2030,GALA,12478394008.27,12478394008.27,6239197004.14,6239197004.14
Jun 22 2030,GALA,12478193344.77,12478193344.77,6239096672.38,6239096672.38
Jun 18 2030,GALA,12477925793.43,12477925793.43,6238962896.71,6238962896.71
Jun 14 2030,GALA,12477658242.08,12477658242.08,6238829121.04,6238829121.04
Jun 10 2030,GALA,12477390690.74,12477390690.74,6238695345.37,6238695345.37
Jun 06 2030,GALA,12477123139.40,12477123139.40,6238561569.70,6238561569.70
Jun 03 2030,GALA,12476922475.89,12476922475.89,6238461237.95,6238461237.95
May 30 2030,GALA,12476654924.55,12476654924.55,6238327462.27,6238327462.27
May 26 2030,GALA,12476387373.21,12476387373.21,6238193686.60,6238193686.60
May 22 2030,GALA,12476119821.86,12476119821.86,6238059910.93,6238059910.93
May 19 2030,GALA,12475919158.36,12475919158.36,6237959579.18,6237959579.18
May 15 2030,GALA,12475651607.01,12475651607.01,6237825803.51,6237825803.51
May 11 2030,GALA,12475384055.67,12475384055.67,6237692027.84,6237692027.84
May 07 2030,GALA,12475116504.33,12475116504.33,6237558252.16,6237558252.16
May 03 2030,GALA,12474848952.99,12474848952.99,6237424476.49,6237424476.49
Apr 30 2030,GALA,12474648289.48,12474648289.48,6237324144.74,6237324144.74
Apr 26 2030,GALA,12474380738.14,12474380738.14,6237190369.07,6237190369.07
Apr 22 2030,GALA,12474113186.80,12474113186.80,6237056593.40,6237056593.40
Apr 18 2030,GALA,12473845635.45,12473845635.45,6236922817.73,6236922817.73
Apr 14 2030,GALA,12473578084.11,12473578084.11,6236789042.06,6236789042.06
Apr 11 2030,GALA,12473377420.60,12473377420.60,6236688710.30,6236688710.30
Apr 07 2030,GALA,12473109869.26,12473109869.26,6236554934.63,6236554934.63
Apr 03 2030,GALA,12472842317.92,12472842317.92,6236421158.96,6236421158.96
Mar 30 2030,GALA,12472574766.58,12472574766.58,6236287383.29,6236287383.29
Mar 26 2030,GALA,12472307215.23,12472307215.23,6236153607.62,6236153607.62
Mar 23 2030,GALA,12472106551.73,12472106551.73,6236053275.86,6236053275.86
Mar 19 2030,GALA,12471839000.38,12471839000.38,6235919500.19,6235919500.19
Mar 15 2030,GALA,12471571449.04,12471571449.04,6235785724.52,6235785724.52
Mar 11 2030,GALA,12471303897.70,12471303897.70,6235651948.85,6235651948.85
Mar 07 2030,GALA,12471036346.36,12471036346.36,6235518173.18,6235518173.18
