Date,Symbol,Available Supply,Unlocked Supply,Team,Community,Foundation,Strategic Sale 2,Seed Sale,Advisors and Partners,Strategic Sale 1,Marketing,Coinlist Public Sale,Early Adopters Rewards,Launch Pool,Ecosystem
Dec 05 2028,GAL,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Dec 02 2028,GAL,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 30 2028,GAL,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 27 2028,GAL,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 24 2028,GAL,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 21 2028,GAL,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 19 2028,GAL,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 16 2028,GAL,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 13 2028,GAL,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 11 2028,GAL,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 08 2028,GAL,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 05 2028,GAL,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 03 2028,GAL,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Oct 31 2028,GAL,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Oct 28 2028,GAL,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Oct 25 2028,GAL,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Oct 23 2028,GAL,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Oct 20 2028,GAL,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Oct 17 2028,GAL,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
