Date,Symbol,Available Supply,Unlocked Supply,Future Hires,Core Team,Early Investors,Community Rewards,Ecosystem Development
Jan 07 2030,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Jan 04 2030,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Jan 01 2030,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Dec 29 2029,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Dec 26 2029,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Dec 23 2029,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Dec 20 2029,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Dec 17 2029,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Dec 14 2029,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Dec 12 2029,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Dec 09 2029,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Dec 06 2029,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Dec 03 2029,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Nov 30 2029,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Nov 27 2029,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Nov 24 2029,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Nov 21 2029,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Nov 18 2029,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Nov 15 2029,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Nov 12 2029,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Nov 09 2029,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Nov 06 2029,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Nov 03 2029,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Oct 31 2029,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Oct 28 2029,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Oct 26 2029,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Oct 23 2029,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Oct 20 2029,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Oct 17 2029,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Oct 14 2029,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Oct 11 2029,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Oct 08 2029,HFT,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Oct 05 2029,HFT,967595477.00,967595477.00,24583333.00,193200000.00,250000000.00,142212144.00,357600000.00
