Date,Symbol,Available Supply,Unlocked Supply,Consensus,Founders and Investors,Data Transfer,Proof of Coverage
Nov 01 2030,HNT,217375000.00,217375000.00,13042500.00,70831250.00,78337500.00,55163750.00
Oct 27 2030,HNT,217375000.00,217375000.00,13042500.00,70831250.00,78337500.00,55163750.00
Oct 23 2030,HNT,217375000.00,217375000.00,13042500.00,70831250.00,78337500.00,55163750.00
Oct 18 2030,HNT,217375000.00,217375000.00,13042500.00,70831250.00,78337500.00,55163750.00
Oct 14 2030,HNT,217375000.00,217375000.00,13042500.00,70831250.00,78337500.00,55163750.00
Oct 09 2030,HNT,217375000.00,217375000.00,13042500.00,70831250.00,78337500.00,55163750.00
Oct 04 2030,HNT,217375000.00,217375000.00,13042500.00,70831250.00,78337500.00,55163750.00
Sep 30 2030,HNT,217375000.00,217375000.00,13042500.00,70831250.00,78337500.00,55163750.00
Sep 25 2030,HNT,217375000.00,217375000.00,13042500.00,70831250.00,78337500.00,55163750.00
Sep 20 2030,HNT,217375000.00,217375000.00,13042500.00,70831250.00,78337500.00,55163750.00
Sep 16 2030,HNT,217375000.00,217375000.00,13042500.00,70831250.00,78337500.00,55163750.00
Sep 11 2030,HNT,217375000.00,217375000.00,13042500.00,70831250.00,78337500.00,55163750.00
Sep 07 2030,HNT,217375000.00,217375000.00,13042500.00,70831250.00,78337500.00,55163750.00
Sep 02 2030,HNT,217375000.00,217375000.00,13042500.00,70831250.00,78337500.00,55163750.00
Aug 28 2030,HNT,217375000.00,217375000.00,13042500.00,70831250.00,78337500.00,55163750.00
Aug 24 2030,HNT,217375000.00,217375000.00,13042500.00,70831250.00,78337500.00,55163750.00
Aug 19 2030,HNT,217375000.00,217375000.00,13042500.00,70831250.00,78337500.00,55163750.00
Aug 15 2030,HNT,217375000.00,217375000.00,13042500.00,70831250.00,78337500.00,55163750.00
Aug 10 2030,HNT,217375000.00,217375000.00,13042500.00,70831250.00,78337500.00,55163750.00
Aug 05 2030,HNT,217375000.00,217375000.00,13042500.00,70831250.00,78337500.00,55163750.00
Aug 01 2030,HNT,217375000.00,217375000.00,13042500.00,70831250.00,78337500.00,55163750.00
Jul 27 2030,HNT,217349315.07,217349315.07,13040958.90,70824828.77,78323373.29,55160154.11
Jul 23 2030,HNT,217328767.12,217328767.12,13039726.03,70819691.78,78312071.92,55157277.40
Jul 18 2030,HNT,217303082.19,217303082.19,13038184.93,70813270.55,78297945.21,55153681.51
Jul 13 2030,HNT,217277397.26,217277397.26,13036643.84,70806849.32,78283818.49,55150085.62
Jul 09 2030,HNT,217256849.32,217256849.32,13035410.96,70801712.33,78272517.12,55147208.90
