Date,Symbol,Available Supply,Unlocked Supply,Ecosystem Development,Project Development,Private Sales,Public Sales 2,Public Sales 1,Foundation Reserve
Jan 31 2026,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 29 2026,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 28 2026,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 26 2026,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 24 2026,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 22 2026,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 21 2026,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 19 2026,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 17 2026,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 15 2026,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 14 2026,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 12 2026,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 10 2026,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 08 2026,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 07 2026,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 05 2026,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 03 2026,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 01 2026,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 31 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 29 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 27 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 26 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 24 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 22 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 20 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 19 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 17 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 15 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 13 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 12 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 10 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 08 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 06 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 05 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 03 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 01 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Nov 29 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Nov 28 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Nov 26 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Nov 24 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Nov 23 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Nov 21 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Nov 19 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Nov 17 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Nov 16 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Nov 14 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Nov 12 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Nov 10 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Nov 09 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Nov 07 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Nov 05 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Nov 03 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Nov 02 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Oct 31 2025,IMX,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Oct 29 2025,IMX,1975482779.00,1975482779.00,1026503608.00,483440171.00,277139000.00,49600000.00,58800000.00,80000000.00
Oct 27 2025,IMX,1975482779.00,1975482779.00,1026503608.00,483440171.00,277139000.00,49600000.00,58800000.00,80000000.00
Oct 26 2025,IMX,1975482779.00,1975482779.00,1026503608.00,483440171.00,277139000.00,49600000.00,58800000.00,80000000.00
Oct 24 2025,IMX,1975482779.00,1975482779.00,1026503608.00,483440171.00,277139000.00,49600000.00,58800000.00,80000000.00
Oct 22 2025,IMX,1975482779.00,1975482779.00,1026503608.00,483440171.00,277139000.00,49600000.00,58800000.00,80000000.00
Oct 20 2025,IMX,1975482779.00,1975482779.00,1026503608.00,483440171.00,277139000.00,49600000.00,58800000.00,80000000.00
Oct 19 2025,IMX,1975482779.00,1975482779.00,1026503608.00,483440171.00,277139000.00,49600000.00,58800000.00,80000000.00
Oct 17 2025,IMX,1975482779.00,1975482779.00,1026503608.00,483440171.00,277139000.00,49600000.00,58800000.00,80000000.00
Oct 15 2025,IMX,1975482779.00,1975482779.00,1026503608.00,483440171.00,277139000.00,49600000.00,58800000.00,80000000.00
Oct 14 2025,IMX,1975482779.00,1975482779.00,1026503608.00,483440171.00,277139000.00,49600000.00,58800000.00,80000000.00
Oct 12 2025,IMX,1975482779.00,1975482779.00,1026503608.00,483440171.00,277139000.00,49600000.00,58800000.00,80000000.00
Oct 10 2025,IMX,1975482779.00,1975482779.00,1026503608.00,483440171.00,277139000.00,49600000.00,58800000.00,80000000.00
Oct 08 2025,IMX,1975482779.00,1975482779.00,1026503608.00,483440171.00,277139000.00,49600000.00,58800000.00,80000000.00
Oct 07 2025,IMX,1975482779.00,1975482779.00,1026503608.00,483440171.00,277139000.00,49600000.00,58800000.00,80000000.00
Oct 05 2025,IMX,1975482779.00,1975482779.00,1026503608.00,483440171.00,277139000.00,49600000.00,58800000.00,80000000.00
