Date,Symbol,Available Supply,Unlocked Supply,Mining,Platform,Investor/Strategic and Contributor
Apr 18 2031,KDA,516004712.00,516004712.00,226004712.00,197400000.00,92600000.00
Apr 13 2031,KDA,516004712.00,516004712.00,226004712.00,197400000.00,92600000.00
Apr 09 2031,KDA,516004712.00,516004712.00,226004712.00,197400000.00,92600000.00
Apr 04 2031,KDA,516004712.00,516004712.00,226004712.00,197400000.00,92600000.00
Mar 30 2031,KDA,516004712.00,516004712.00,226004712.00,197400000.00,92600000.00
Mar 25 2031,KDA,516004712.00,516004712.00,226004712.00,197400000.00,92600000.00
Mar 21 2031,KDA,516004712.00,516004712.00,226004712.00,197400000.00,92600000.00
Mar 16 2031,KDA,516004712.00,516004712.00,226004712.00,197400000.00,92600000.00
Mar 11 2031,KDA,516004712.00,516004712.00,226004712.00,197400000.00,92600000.00
Mar 07 2031,KDA,516004712.00,516004712.00,226004712.00,197400000.00,92600000.00
Mar 02 2031,KDA,516004712.00,516004712.00,226004712.00,197400000.00,92600000.00
Feb 25 2031,KDA,516004712.00,516004712.00,226004712.00,197400000.00,92600000.00
Feb 20 2031,KDA,516004712.00,516004712.00,226004712.00,197400000.00,92600000.00
Feb 16 2031,KDA,516004712.00,516004712.00,226004712.00,197400000.00,92600000.00
Feb 11 2031,KDA,516004712.00,516004712.00,226004712.00,197400000.00,92600000.00
Feb 06 2031,KDA,516004712.00,516004712.00,226004712.00,197400000.00,92600000.00
Feb 02 2031,KDA,516004712.00,516004712.00,226004712.00,197400000.00,92600000.00
Jan 28 2031,KDA,516004712.00,516004712.00,226004712.00,197400000.00,92600000.00
Jan 23 2031,KDA,516004712.00,516004712.00,226004712.00,197400000.00,92600000.00
Jan 18 2031,KDA,516004712.00,516004712.00,226004712.00,197400000.00,92600000.00
Jan 14 2031,KDA,515805708.50,515805708.50,225805708.50,197400000.00,92600000.00
Jan 09 2031,KDA,515584593.50,515584593.50,225584593.50,197400000.00,92600000.00
Jan 04 2031,KDA,515363478.50,515363478.50,225363478.50,197400000.00,92600000.00
Dec 31 2030,KDA,515186586.50,515186586.50,225186586.50,197400000.00,92600000.00
Dec 26 2030,KDA,514965471.50,514965471.50,224965471.50,197400000.00,92600000.00
Dec 21 2030,KDA,514744356.50,514744356.50,224744356.50,197400000.00,92600000.00
Dec 16 2030,KDA,514519225.75,514519225.75,224519225.75,197400000.00,92600000.00
Dec 12 2030,KDA,514335908.55,514335908.55,224335908.55,197400000.00,92600000.00
Dec 07 2030,KDA,514106762.05,514106762.05,224106762.05,197400000.00,92600000.00
Dec 02 2030,KDA,513877615.55,513877615.55,223877615.55,197400000.00,92600000.00
Nov 28 2030,KDA,513694298.35,513694298.35,223694298.35,197400000.00,92600000.00
Nov 23 2030,KDA,513465151.85,513465151.85,223465151.85,197400000.00,92600000.00
Nov 18 2030,KDA,513258920.00,513258920.00,223258920.00,197400000.00,92600000.00
Nov 13 2030,KDA,513014284.44,513014284.44,223014284.44,197400000.00,92600000.00
Nov 09 2030,KDA,512836367.66,512836367.66,222836367.66,197400000.00,92600000.00
Nov 04 2030,KDA,512613971.69,512613971.69,222613971.69,197400000.00,92600000.00
Oct 30 2030,KDA,512391575.73,512391575.73,222391575.73,197400000.00,92600000.00
Oct 26 2030,KDA,512213658.95,512213658.95,222213658.95,197400000.00,92600000.00
Oct 21 2030,KDA,511991262.98,511991262.98,221991262.98,197400000.00,92600000.00
Oct 16 2030,KDA,511764828.08,511764828.08,221764828.08,197400000.00,92600000.00
Oct 11 2030,KDA,511534354.25,511534354.25,221534354.25,197400000.00,92600000.00
Oct 07 2030,KDA,511349975.18,511349975.18,221349975.18,197400000.00,92600000.00
Oct 02 2030,KDA,511119501.35,511119501.35,221119501.35,197400000.00,92600000.00
Sep 27 2030,KDA,510889027.52,510889027.52,220889027.52,197400000.00,92600000.00
Sep 23 2030,KDA,510704648.45,510704648.45,220704648.45,197400000.00,92600000.00
Sep 18 2030,KDA,510497222.00,510497222.00,220497222.00,197400000.00,92600000.00
Sep 13 2030,KDA,510251169.21,510251169.21,220251169.21,197400000.00,92600000.00
Sep 08 2030,KDA,510027484.85,510027484.85,220027484.85,197400000.00,92600000.00
Sep 04 2030,KDA,509848537.37,509848537.37,219848537.37,197400000.00,92600000.00
Aug 30 2030,KDA,509624853.02,509624853.02,219624853.02,197400000.00,92600000.00
Aug 25 2030,KDA,509401168.66,509401168.66,219401168.66,197400000.00,92600000.00
Aug 21 2030,KDA,509222221.18,509222221.18,219222221.18,197400000.00,92600000.00
Aug 16 2030,KDA,508998213.35,508998213.35,218998213.35,197400000.00,92600000.00
Aug 11 2030,KDA,508773882.06,508773882.06,218773882.06,197400000.00,92600000.00
Aug 06 2030,KDA,508549550.77,508549550.77,218549550.77,197400000.00,92600000.00
Aug 02 2030,KDA,508370085.74,508370085.74,218370085.74,197400000.00,92600000.00
Jul 28 2030,KDA,508145754.45,508145754.45,218145754.45,197400000.00,92600000.00
Jul 23 2030,KDA,507921423.16,507921423.16,217921423.16,197400000.00,92600000.00
Jul 19 2030,KDA,507741958.13,507741958.13,217741958.13,197400000.00,92600000.00
Jul 14 2030,KDA,507510293.45,507510293.45,217510293.45,197400000.00,92600000.00
Jul 09 2030,KDA,507277813.95,507277813.95,217277813.95,197400000.00,92600000.00
Jul 04 2030,KDA,507045334.45,507045334.45,217045334.45,197400000.00,92600000.00
Jun 30 2030,KDA,506859350.85,506859350.85,216859350.85,197400000.00,92600000.00
Jun 25 2030,KDA,506626871.35,506626871.35,216626871.35,197400000.00,92600000.00
Jun 20 2030,KDA,506394391.85,506394391.85,216394391.85,197400000.00,92600000.00
Jun 16 2030,KDA,506211832.52,506211832.52,216211832.52,197400000.00,92600000.00
Jun 11 2030,KDA,505986201.55,505986201.55,215986201.55,197400000.00,92600000.00
Jun 06 2030,KDA,505760570.58,505760570.58,215760570.58,197400000.00,92600000.00
Jun 01 2030,KDA,505534939.61,505534939.61,215534939.61,197400000.00,92600000.00
May 28 2030,KDA,505354434.84,505354434.84,215354434.84,197400000.00,92600000.00
May 23 2030,KDA,505128803.87,505128803.87,215128803.87,197400000.00,92600000.00
May 18 2030,KDA,504925736.00,504925736.00,214925736.00,197400000.00,92600000.00
May 14 2030,KDA,504715292.45,504715292.45,214715292.45,197400000.00,92600000.00
May 09 2030,KDA,504481466.28,504481466.28,214481466.28,197400000.00,92600000.00
