Date,Symbol,Available Supply,Unlocked Supply,Investors,Team and Validators,DAO Treasury
Jul 10 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Jul 09 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Jul 07 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Jul 06 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Jul 04 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Jul 03 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Jul 01 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Jun 30 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Jun 28 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Jun 27 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Jun 25 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Jun 24 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Jun 22 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Jun 21 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Jun 20 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Jun 18 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Jun 17 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Jun 15 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Jun 14 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Jun 12 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Jun 11 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Jun 09 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Jun 08 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Jun 06 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Jun 05 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Jun 03 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Jun 02 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Jun 01 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
May 30 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
May 29 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
May 27 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
May 26 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
May 24 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
May 23 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
May 21 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
May 20 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
May 18 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
May 17 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
May 16 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
May 14 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
May 13 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
May 11 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
May 10 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
May 08 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
May 07 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
May 05 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
May 04 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
May 02 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
May 01 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Apr 29 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Apr 28 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Apr 27 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Apr 25 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Apr 24 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Apr 22 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Apr 21 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Apr 19 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Apr 18 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Apr 16 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Apr 15 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Apr 13 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Apr 12 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Apr 10 2024,LDO,999999999.81,999999999.81,346117314.81,400400000.00,253482685.00
Apr 09 2024,LDO,999998258.47,999998258.47,346115573.47,400400000.00,253482685.00
Apr 08 2024,LDO,999997369.28,999997369.28,346114684.28,400400000.00,253482685.00
Apr 06 2024,LDO,999995590.90,999995590.90,346112905.90,400400000.00,253482685.00
Apr 05 2024,LDO,999994701.70,999994701.70,346112016.70,400400000.00,253482685.00
Apr 03 2024,LDO,999992923.32,999992923.32,346110238.32,400400000.00,253482685.00
Apr 02 2024,LDO,999992034.12,999992034.12,346109349.12,400400000.00,253482685.00
Mar 31 2024,LDO,999990255.74,999990255.74,346107570.74,400400000.00,253482685.00
Mar 30 2024,LDO,0,999989366.55,346106681.55,400400000.00,253482685.00
Mar 28 2024,LDO,0,999987588.16,346104903.16,400400000.00,253482685.00
Mar 27 2024,LDO,0,999986698.97,346104013.97,400400000.00,253482685.00
Mar 25 2024,LDO,0,999984920.58,346102235.58,400400000.00,253482685.00
Mar 24 2024,LDO,0,999984031.39,346101346.39,400400000.00,253482685.00
Mar 22 2024,LDO,0,999982253.00,346099568.00,400400000.00,253482685.00
Mar 21 2024,LDO,0,999981363.81,346098678.81,400400000.00,253482685.00
Mar 20 2024,LDO,0,999980474.62,346097789.62,400400000.00,253482685.00
Mar 18 2024,LDO,0,999978696.23,346096011.23,400400000.00,253482685.00
Mar 17 2024,LDO,0,999977807.04,346095122.04,400400000.00,253482685.00
Mar 15 2024,LDO,0,999976028.65,346093343.65,400400000.00,253482685.00
Mar 14 2024,LDO,0,999975139.46,346092454.46,400400000.00,253482685.00
Mar 12 2024,LDO,0,999973361.07,346090676.07,400400000.00,253482685.00
Mar 11 2024,LDO,0,999972471.88,346089786.88,400400000.00,253482685.00
Mar 09 2024,LDO,0,999970693.49,346088008.49,400400000.00,253482685.00
Mar 08 2024,LDO,0,999969804.30,346087119.30,400400000.00,253482685.00
Mar 06 2024,LDO,0,999968025.92,346085340.92,400400000.00,253482685.00
Mar 05 2024,LDO,0,999967136.72,346084451.72,400400000.00,253482685.00
Mar 04 2024,LDO,0,999966247.53,346083562.53,400400000.00,253482685.00
Mar 02 2024,LDO,0,999964469.14,346081784.14,400400000.00,253482685.00
Mar 01 2024,LDO,0,999963579.95,346080894.95,400400000.00,253482685.00
Feb 28 2024,LDO,0,999961801.57,346079116.57,400400000.00,253482685.00
Feb 27 2024,LDO,0,999960912.37,346078227.37,400400000.00,253482685.00
Feb 25 2024,LDO,0,999959133.99,346076448.99,400400000.00,253482685.00
Feb 24 2024,LDO,0,999958244.79,346075559.79,400400000.00,253482685.00
Feb 22 2024,LDO,0,999956466.41,346073781.41,400400000.00,253482685.00
Feb 21 2024,LDO,0,999955577.22,346072892.22,400400000.00,253482685.00
Feb 19 2024,LDO,0,999953798.83,346071113.83,400400000.00,253482685.00
Feb 18 2024,LDO,0,999952909.64,346070224.64,400400000.00,253482685.00
Feb 16 2024,LDO,0,999951131.25,346068446.25,400400000.00,253482685.00
Feb 15 2024,LDO,0,999950242.06,346067557.06,400400000.00,253482685.00
Feb 14 2024,LDO,0,999949352.87,346066667.87,400400000.00,253482685.00
Feb 12 2024,LDO,0,999947574.48,346064889.48,400400000.00,253482685.00
Feb 11 2024,LDO,0,999946685.29,346064000.29,400400000.00,253482685.00
Feb 09 2024,LDO,0,999944906.90,346062221.90,400400000.00,253482685.00
Feb 08 2024,LDO,0,999944017.71,346061332.71,400400000.00,253482685.00
Feb 06 2024,LDO,0,999942239.32,346059554.32,400400000.00,253482685.00
Feb 05 2024,LDO,0,999941350.13,346058665.13,400400000.00,253482685.00
Feb 03 2024,LDO,0,999939571.74,346056886.74,400400000.00,253482685.00
Feb 02 2024,LDO,0,999938682.55,346055997.55,400400000.00,253482685.00
Jan 31 2024,LDO,0,999936904.16,346054219.16,400400000.00,253482685.00
Jan 30 2024,LDO,0,999936014.97,346053329.97,400400000.00,253482685.00
