Date,Symbol,Available Supply,Unlocked Supply,Team Token,Treasury Token,Strategic Sale,Liquidity Management,Airdrop,Volume Reward,Staking Reward
Jun 29 2024,LOOKS,1000000000.00,1000000000.00,100000000.00,100000000.00,33000000.00,17000000.00,120000000.00,441000000.00,189000000.00
Jun 28 2024,LOOKS,1000000000.00,1000000000.00,100000000.00,100000000.00,33000000.00,17000000.00,120000000.00,441000000.00,189000000.00
Jun 27 2024,LOOKS,1000000000.00,1000000000.00,100000000.00,100000000.00,33000000.00,17000000.00,120000000.00,441000000.00,189000000.00
Jun 26 2024,LOOKS,1000000000.00,1000000000.00,100000000.00,100000000.00,33000000.00,17000000.00,120000000.00,441000000.00,189000000.00
Jun 25 2024,LOOKS,1000000000.00,1000000000.00,100000000.00,100000000.00,33000000.00,17000000.00,120000000.00,441000000.00,189000000.00
Jun 24 2024,LOOKS,1000000000.00,1000000000.00,100000000.00,100000000.00,33000000.00,17000000.00,120000000.00,441000000.00,189000000.00
Jun 23 2024,LOOKS,1000000000.00,1000000000.00,100000000.00,100000000.00,33000000.00,17000000.00,120000000.00,441000000.00,189000000.00
Jun 22 2024,LOOKS,1000000000.00,1000000000.00,100000000.00,100000000.00,33000000.00,17000000.00,120000000.00,441000000.00,189000000.00
Jun 21 2024,LOOKS,1000000000.00,1000000000.00,100000000.00,100000000.00,33000000.00,17000000.00,120000000.00,441000000.00,189000000.00
Jun 20 2024,LOOKS,1000000000.00,1000000000.00,100000000.00,100000000.00,33000000.00,17000000.00,120000000.00,441000000.00,189000000.00
Jun 19 2024,LOOKS,1000000000.00,1000000000.00,100000000.00,100000000.00,33000000.00,17000000.00,120000000.00,441000000.00,189000000.00
Jun 18 2024,LOOKS,1000000000.00,1000000000.00,100000000.00,100000000.00,33000000.00,17000000.00,120000000.00,441000000.00,189000000.00
Jun 17 2024,LOOKS,1000000000.00,1000000000.00,100000000.00,100000000.00,33000000.00,17000000.00,120000000.00,441000000.00,189000000.00
Jun 16 2024,LOOKS,1000000000.00,1000000000.00,100000000.00,100000000.00,33000000.00,17000000.00,120000000.00,441000000.00,189000000.00
Jun 15 2024,LOOKS,1000000000.00,1000000000.00,100000000.00,100000000.00,33000000.00,17000000.00,120000000.00,441000000.00,189000000.00
Jun 14 2024,LOOKS,1000000000.00,1000000000.00,100000000.00,100000000.00,33000000.00,17000000.00,120000000.00,441000000.00,189000000.00
Jun 13 2024,LOOKS,1000000000.00,1000000000.00,100000000.00,100000000.00,33000000.00,17000000.00,120000000.00,441000000.00,189000000.00
