Date,Symbol,Available Supply,Unlocked Supply,Transaction Mining,MetisLab Foundation,Founding Team,Advisors,Community Development,Airdrop,Liquidity Reserve,Strategic Round,Community Star,Private Round,Seed Investors,Angel Investors,Liquidity IDO
Dec 13 2031,METIS,10000000.00,10000000.00,4770000.00,400000.00,700000.00,150000.00,900000.00,600000.00,600000.00,150000.00,300000.00,700000.00,600000.00,100000.00,30000.00
Dec 09 2031,METIS,10000000.00,10000000.00,4770000.00,400000.00,700000.00,150000.00,900000.00,600000.00,600000.00,150000.00,300000.00,700000.00,600000.00,100000.00,30000.00
Dec 04 2031,METIS,10000000.00,10000000.00,4770000.00,400000.00,700000.00,150000.00,900000.00,600000.00,600000.00,150000.00,300000.00,700000.00,600000.00,100000.00,30000.00
Nov 30 2031,METIS,10000000.00,10000000.00,4770000.00,400000.00,700000.00,150000.00,900000.00,600000.00,600000.00,150000.00,300000.00,700000.00,600000.00,100000.00,30000.00
Nov 26 2031,METIS,10000000.00,10000000.00,4770000.00,400000.00,700000.00,150000.00,900000.00,600000.00,600000.00,150000.00,300000.00,700000.00,600000.00,100000.00,30000.00
Nov 21 2031,METIS,10000000.00,10000000.00,4770000.00,400000.00,700000.00,150000.00,900000.00,600000.00,600000.00,150000.00,300000.00,700000.00,600000.00,100000.00,30000.00
Nov 17 2031,METIS,10000000.00,10000000.00,4770000.00,400000.00,700000.00,150000.00,900000.00,600000.00,600000.00,150000.00,300000.00,700000.00,600000.00,100000.00,30000.00
Nov 13 2031,METIS,10000000.00,10000000.00,4770000.00,400000.00,700000.00,150000.00,900000.00,600000.00,600000.00,150000.00,300000.00,700000.00,600000.00,100000.00,30000.00
Nov 08 2031,METIS,10000000.00,10000000.00,4770000.00,400000.00,700000.00,150000.00,900000.00,600000.00,600000.00,150000.00,300000.00,700000.00,600000.00,100000.00,30000.00
Nov 04 2031,METIS,10000000.00,10000000.00,4770000.00,400000.00,700000.00,150000.00,900000.00,600000.00,600000.00,150000.00,300000.00,700000.00,600000.00,100000.00,30000.00
Oct 31 2031,METIS,10000000.00,10000000.00,4770000.00,400000.00,700000.00,150000.00,900000.00,600000.00,600000.00,150000.00,300000.00,700000.00,600000.00,100000.00,30000.00
Oct 26 2031,METIS,10000000.00,10000000.00,4770000.00,400000.00,700000.00,150000.00,900000.00,600000.00,600000.00,150000.00,300000.00,700000.00,600000.00,100000.00,30000.00
Oct 22 2031,METIS,10000000.00,10000000.00,4770000.00,400000.00,700000.00,150000.00,900000.00,600000.00,600000.00,150000.00,300000.00,700000.00,600000.00,100000.00,30000.00
Oct 18 2031,METIS,10000000.00,10000000.00,4770000.00,400000.00,700000.00,150000.00,900000.00,600000.00,600000.00,150000.00,300000.00,700000.00,600000.00,100000.00,30000.00
Oct 13 2031,METIS,10000000.00,10000000.00,4770000.00,400000.00,700000.00,150000.00,900000.00,600000.00,600000.00,150000.00,300000.00,700000.00,600000.00,100000.00,30000.00
Oct 09 2031,METIS,10000000.00,10000000.00,4770000.00,400000.00,700000.00,150000.00,900000.00,600000.00,600000.00,150000.00,300000.00,700000.00,600000.00,100000.00,30000.00
Oct 05 2031,METIS,10000000.00,10000000.00,4770000.00,400000.00,700000.00,150000.00,900000.00,600000.00,600000.00,150000.00,300000.00,700000.00,600000.00,100000.00,30000.00
Sep 30 2031,METIS,10000000.00,10000000.00,4770000.00,400000.00,700000.00,150000.00,900000.00,600000.00,600000.00,150000.00,300000.00,700000.00,600000.00,100000.00,30000.00
Sep 26 2031,METIS,10000000.00,10000000.00,4770000.00,400000.00,700000.00,150000.00,900000.00,600000.00,600000.00,150000.00,300000.00,700000.00,600000.00,100000.00,30000.00
Sep 22 2031,METIS,10000000.00,10000000.00,4770000.00,400000.00,700000.00,150000.00,900000.00,600000.00,600000.00,150000.00,300000.00,700000.00,600000.00,100000.00,30000.00
