Date,Symbol,Available Supply,Unlocked Supply,Community,Mina Foundation,O(1) Labs,Backers,Core Contributors
May 30 2028,MINA,987200000.00,987200000.00,423000000.00,48000000.00,75000000.00,205200000.00,236000000.00
May 27 2028,MINA,987019178.08,987019178.08,422819178.08,48000000.00,75000000.00,205200000.00,236000000.00
May 24 2028,MINA,986838356.16,986838356.16,422638356.16,48000000.00,75000000.00,205200000.00,236000000.00
May 21 2028,MINA,986657534.25,986657534.25,422457534.25,48000000.00,75000000.00,205200000.00,236000000.00
May 18 2028,MINA,986476712.33,986476712.33,422276712.33,48000000.00,75000000.00,205200000.00,236000000.00
May 15 2028,MINA,986295890.41,986295890.41,422095890.41,48000000.00,75000000.00,205200000.00,236000000.00
May 12 2028,MINA,986115068.49,986115068.49,421915068.49,48000000.00,75000000.00,205200000.00,236000000.00
May 09 2028,MINA,985934246.58,985934246.58,421734246.58,48000000.00,75000000.00,205200000.00,236000000.00
May 06 2028,MINA,985753424.66,985753424.66,421553424.66,48000000.00,75000000.00,205200000.00,236000000.00
May 03 2028,MINA,985572602.74,985572602.74,421372602.74,48000000.00,75000000.00,205200000.00,236000000.00
May 01 2028,MINA,985452054.79,985452054.79,421252054.79,48000000.00,75000000.00,205200000.00,236000000.00
Apr 28 2028,MINA,985271232.88,985271232.88,421071232.88,48000000.00,75000000.00,205200000.00,236000000.00
Apr 25 2028,MINA,985090410.96,985090410.96,420890410.96,48000000.00,75000000.00,205200000.00,236000000.00
Apr 22 2028,MINA,984909589.04,984909589.04,420709589.04,48000000.00,75000000.00,205200000.00,236000000.00
Apr 19 2028,MINA,984728767.12,984728767.12,420528767.12,48000000.00,75000000.00,205200000.00,236000000.00
Apr 16 2028,MINA,984547945.21,984547945.21,420347945.21,48000000.00,75000000.00,205200000.00,236000000.00
Apr 13 2028,MINA,984367123.29,984367123.29,420167123.29,48000000.00,75000000.00,205200000.00,236000000.00
Apr 10 2028,MINA,984186301.37,984186301.37,419986301.37,48000000.00,75000000.00,205200000.00,236000000.00
Apr 07 2028,MINA,984005479.45,984005479.45,419805479.45,48000000.00,75000000.00,205200000.00,236000000.00
Apr 04 2028,MINA,983824657.53,983824657.53,419624657.53,48000000.00,75000000.00,205200000.00,236000000.00
Apr 01 2028,MINA,983643835.62,983643835.62,419443835.62,48000000.00,75000000.00,205200000.00,236000000.00
Mar 29 2028,MINA,983463013.70,983463013.70,419263013.70,48000000.00,75000000.00,205200000.00,236000000.00
Mar 26 2028,MINA,983282191.78,983282191.78,419082191.78,48000000.00,75000000.00,205200000.00,236000000.00
Mar 23 2028,MINA,983101369.86,983101369.86,418901369.86,48000000.00,75000000.00,205200000.00,236000000.00
