Date,Symbol,Available Supply,Unlocked Supply,Epoch Rewards,Community Grants,Core Contributors,Operation Grants,Small and Large Backers,Foundation Endowment,Community Sale,Early Ecosystem
Oct 13 2025,NEAR,1283075863.00,1283075863.00,283400000.00,172000000.00,140000000.00,114000000.00,236675863.00,100000000.00,120000000.00,117000000.00
Oct 11 2025,NEAR,1282228494.68,1282228494.68,283057534.25,171811610.08,139808350.44,113875136.91,236675863.00,100000000.00,120000000.00,117000000.00
Oct 09 2025,NEAR,1281381126.36,1281381126.36,282715068.49,171623220.15,139616700.89,113750273.82,236675863.00,100000000.00,120000000.00,117000000.00
Oct 07 2025,NEAR,1280533758.04,1280533758.04,282372602.74,171434830.23,139425051.33,113625410.73,236675863.00,100000000.00,120000000.00,117000000.00
Oct 05 2025,NEAR,1279686389.72,1279686389.72,282030136.99,171246440.31,139233401.78,113500547.65,236675863.00,100000000.00,120000000.00,117000000.00
Oct 03 2025,NEAR,1278839021.40,1278839021.40,281687671.23,171058050.38,139041752.22,113375684.56,236675863.00,100000000.00,120000000.00,117000000.00
Oct 01 2025,NEAR,1277991653.08,1277991653.08,281345205.48,170869660.46,138850102.67,113250821.47,236675863.00,100000000.00,120000000.00,117000000.00
Sep 29 2025,NEAR,1277144284.76,1277144284.76,281002739.73,170681270.54,138658453.11,113125958.38,236675863.00,100000000.00,120000000.00,117000000.00
Sep 27 2025,NEAR,1276296916.44,1276296916.44,280660273.97,170492880.61,138466803.56,113001095.29,236675863.00,100000000.00,120000000.00,117000000.00
Sep 25 2025,NEAR,1275449548.11,1275449548.11,280317808.22,170304490.69,138275154.00,112876232.20,236675863.00,100000000.00,120000000.00,117000000.00
Sep 23 2025,NEAR,1274602179.79,1274602179.79,279975342.47,170116100.77,138083504.45,112751369.11,236675863.00,100000000.00,120000000.00,117000000.00
Sep 20 2025,NEAR,1273331127.31,1273331127.31,279461643.84,169833515.88,137796030.12,112564074.48,236675863.00,100000000.00,120000000.00,117000000.00
Sep 18 2025,NEAR,1272483758.99,1272483758.99,279119178.08,169645125.96,137604380.56,112439211.39,236675863.00,100000000.00,120000000.00,117000000.00
Sep 16 2025,NEAR,1271636390.67,1271636390.67,278776712.33,169456736.04,137412731.01,112314348.30,236675863.00,100000000.00,120000000.00,117000000.00
Sep 14 2025,NEAR,1270789022.35,1270789022.35,278434246.58,169268346.11,137221081.45,112189485.21,236675863.00,100000000.00,120000000.00,117000000.00
Sep 12 2025,NEAR,1269941654.03,1269941654.03,278091780.82,169079956.19,137029431.90,112064622.12,236675863.00,100000000.00,120000000.00,117000000.00
Sep 10 2025,NEAR,1269094285.71,1269094285.71,277749315.07,168891566.27,136837782.34,111939759.04,236675863.00,100000000.00,120000000.00,117000000.00
Sep 08 2025,NEAR,1268246917.39,1268246917.39,277406849.32,168703176.34,136646132.79,111814895.95,236675863.00,100000000.00,120000000.00,117000000.00
Sep 06 2025,NEAR,1267399549.07,1267399549.07,277064383.56,168514786.42,136454483.23,111690032.86,236675863.00,100000000.00,120000000.00,117000000.00
Sep 04 2025,NEAR,1266552180.75,1266552180.75,276721917.81,168326396.50,136262833.68,111565169.77,236675863.00,100000000.00,120000000.00,117000000.00
Sep 02 2025,NEAR,1265704812.43,1265704812.43,276379452.05,168138006.57,136071184.12,111440306.68,236675863.00,100000000.00,120000000.00,117000000.00
Aug 31 2025,NEAR,1264857444.11,1264857444.11,276036986.30,167949616.65,135879534.57,111315443.59,236675863.00,100000000.00,120000000.00,117000000.00
Aug 29 2025,NEAR,1264010075.79,1264010075.79,275694520.55,167761226.73,135687885.01,111190580.50,236675863.00,100000000.00,120000000.00,117000000.00
Aug 27 2025,NEAR,1263162707.47,1263162707.47,275352054.79,167572836.80,135496235.46,111065717.42,236675863.00,100000000.00,120000000.00,117000000.00
Aug 25 2025,NEAR,1262315339.15,1262315339.15,275009589.04,167384446.88,135304585.90,110940854.33,236675863.00,100000000.00,120000000.00,117000000.00
Aug 23 2025,NEAR,1261467970.83,1261467970.83,274667123.29,167196056.96,135112936.34,110815991.24,236675863.00,100000000.00,120000000.00,117000000.00
Aug 21 2025,NEAR,1260620602.50,1260620602.50,274324657.53,167007667.03,134921286.79,110691128.15,236675863.00,100000000.00,120000000.00,117000000.00
Aug 19 2025,NEAR,1259773234.18,1259773234.18,273982191.78,166819277.11,134729637.23,110566265.06,236675863.00,100000000.00,120000000.00,117000000.00
Aug 17 2025,NEAR,1258925865.86,1258925865.86,273639726.03,166630887.19,134537987.68,110441401.97,236675863.00,100000000.00,120000000.00,117000000.00
Aug 15 2025,NEAR,1258078497.54,1258078497.54,273297260.27,166442497.26,134346338.12,110316538.88,236675863.00,100000000.00,120000000.00,117000000.00
Aug 13 2025,NEAR,1257231129.22,1257231129.22,272954794.52,166254107.34,134154688.57,110191675.79,236675863.00,100000000.00,120000000.00,117000000.00
Aug 10 2025,NEAR,1255960076.74,1255960076.74,272441095.89,165971522.45,133867214.24,110004381.16,236675863.00,100000000.00,120000000.00,117000000.00
Aug 08 2025,NEAR,1255112708.42,1255112708.42,272098630.14,165783132.53,133675564.68,109879518.07,236675863.00,100000000.00,120000000.00,117000000.00
Aug 06 2025,NEAR,1254265340.10,1254265340.10,271756164.38,165594742.61,133483915.13,109754654.98,236675863.00,100000000.00,120000000.00,117000000.00
Aug 04 2025,NEAR,1253417971.78,1253417971.78,271413698.63,165406352.68,133292265.57,109629791.89,236675863.00,100000000.00,120000000.00,117000000.00
Aug 02 2025,NEAR,1252570603.46,1252570603.46,271071232.88,165217962.76,133100616.02,109504928.81,236675863.00,100000000.00,120000000.00,117000000.00
Jul 31 2025,NEAR,1251723235.14,1251723235.14,270728767.12,165029572.84,132908966.46,109380065.72,236675863.00,100000000.00,120000000.00,117000000.00
Jul 29 2025,NEAR,1250875866.82,1250875866.82,270386301.37,164841182.91,132717316.91,109255202.63,236675863.00,100000000.00,120000000.00,117000000.00
Jul 27 2025,NEAR,1250028498.50,1250028498.50,270043835.62,164652792.99,132525667.35,109130339.54,236675863.00,100000000.00,120000000.00,117000000.00
Jul 25 2025,NEAR,1249181130.18,1249181130.18,269701369.86,164464403.07,132334017.80,109005476.45,236675863.00,100000000.00,120000000.00,117000000.00
Jul 23 2025,NEAR,1248333761.86,1248333761.86,269358904.11,164276013.14,132142368.24,108880613.36,236675863.00,100000000.00,120000000.00,117000000.00
Jul 21 2025,NEAR,1247486393.54,1247486393.54,269016438.36,164087623.22,131950718.69,108755750.27,236675863.00,100000000.00,120000000.00,117000000.00
Jul 19 2025,NEAR,1246639025.22,1246639025.22,268673972.60,163899233.30,131759069.13,108630887.19,236675863.00,100000000.00,120000000.00,117000000.00
Jul 17 2025,NEAR,1245791656.89,1245791656.89,268331506.85,163710843.37,131567419.58,108506024.10,236675863.00,100000000.00,120000000.00,117000000.00
Jul 15 2025,NEAR,1244944288.57,1244944288.57,267989041.10,163522453.45,131375770.02,108381161.01,236675863.00,100000000.00,120000000.00,117000000.00
Jul 13 2025,NEAR,1244096920.25,1244096920.25,267646575.34,163334063.53,131184120.47,108256297.92,236675863.00,100000000.00,120000000.00,117000000.00
Jul 11 2025,NEAR,1243249551.93,1243249551.93,267304109.59,163145673.60,130992470.91,108131434.83,236675863.00,100000000.00,120000000.00,117000000.00
Jul 09 2025,NEAR,1242402183.61,1242402183.61,266961643.84,162957283.68,130800821.36,108006571.74,236675863.00,100000000.00,120000000.00,117000000.00
Jul 07 2025,NEAR,1241554815.29,1241554815.29,266619178.08,162768893.76,130609171.80,107881708.65,236675863.00,100000000.00,120000000.00,117000000.00
Jul 05 2025,NEAR,1240707446.97,1240707446.97,266276712.33,162580503.83,130417522.25,107756845.56,236675863.00,100000000.00,120000000.00,117000000.00
Jul 03 2025,NEAR,1239860078.65,1239860078.65,265934246.58,162392113.91,130225872.69,107631982.48,236675863.00,100000000.00,120000000.00,117000000.00
Jun 30 2025,NEAR,1238589026.17,1238589026.17,265420547.95,162109529.03,129938398.36,107444687.84,236675863.00,100000000.00,120000000.00,117000000.00
Jun 28 2025,NEAR,1237741657.85,1237741657.85,265078082.19,161921139.10,129746748.80,107319824.75,236675863.00,100000000.00,120000000.00,117000000.00
Jun 26 2025,NEAR,1236894289.53,1236894289.53,264735616.44,161732749.18,129555099.25,107194961.66,236675863.00,100000000.00,120000000.00,117000000.00
Jun 24 2025,NEAR,1236046921.21,1236046921.21,264393150.68,161544359.26,129363449.69,107070098.58,236675863.00,100000000.00,120000000.00,117000000.00
Jun 22 2025,NEAR,1235199552.89,1235199552.89,264050684.93,161355969.33,129171800.14,106945235.49,236675863.00,100000000.00,120000000.00,117000000.00
Jun 20 2025,NEAR,1234352184.57,1234352184.57,263708219.18,161167579.41,128980150.58,106820372.40,236675863.00,100000000.00,120000000.00,117000000.00
Jun 18 2025,NEAR,1233504816.25,1233504816.25,263365753.42,160979189.49,128788501.03,106695509.31,236675863.00,100000000.00,120000000.00,117000000.00
Jun 16 2025,NEAR,1232657447.93,1232657447.93,263023287.67,160790799.56,128596851.47,106570646.22,236675863.00,100000000.00,120000000.00,117000000.00
Jun 14 2025,NEAR,1231810079.61,1231810079.61,262680821.92,160602409.64,128405201.92,106445783.13,236675863.00,100000000.00,120000000.00,117000000.00
Jun 12 2025,NEAR,1230962711.28,1230962711.28,262338356.16,160414019.72,128213552.36,106320920.04,236675863.00,100000000.00,120000000.00,117000000.00
Jun 10 2025,NEAR,1230115342.96,1230115342.96,261995890.41,160225629.79,128021902.81,106196056.96,236675863.00,100000000.00,120000000.00,117000000.00
Jun 08 2025,NEAR,1229267974.64,1229267974.64,261653424.66,160037239.87,127830253.25,106071193.87,236675863.00,100000000.00,120000000.00,117000000.00
Jun 06 2025,NEAR,1228420606.32,1228420606.32,261310958.90,159848849.95,127638603.70,105946330.78,236675863.00,100000000.00,120000000.00,117000000.00
Jun 04 2025,NEAR,1227573238.00,1227573238.00,260968493.15,159660460.02,127446954.14,105821467.69,236675863.00,100000000.00,120000000.00,117000000.00
Jun 02 2025,NEAR,1226725869.68,1226725869.68,260626027.40,159472070.10,127255304.59,105696604.60,236675863.00,100000000.00,120000000.00,117000000.00
