Date,Symbol,Available Supply,Unlocked Supply,Mix-Mining,Team,Backers,Coinlist Option 2,Testnet-Reward,Coinlist Option 1,Reserve & Community
Mar 13 2031,NYM,970629994.00,970629994.00,220629994.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Mar 09 2031,NYM,970629994.00,970629994.00,220629994.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Mar 06 2031,NYM,970629994.00,970629994.00,220629994.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Mar 02 2031,NYM,970629994.00,970629994.00,220629994.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Feb 26 2031,NYM,970629994.00,970629994.00,220629994.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Feb 23 2031,NYM,970629994.00,970629994.00,220629994.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Feb 19 2031,NYM,970629994.00,970629994.00,220629994.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Feb 15 2031,NYM,970629994.00,970629994.00,220629994.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Feb 12 2031,NYM,970629994.00,970629994.00,220629994.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Feb 08 2031,NYM,970629994.00,970629994.00,220629994.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Feb 04 2031,NYM,970629994.00,970629994.00,220629994.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Feb 01 2031,NYM,970629994.00,970629994.00,220629994.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Jan 28 2031,NYM,970629994.00,970629994.00,220629994.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Jan 25 2031,NYM,970629994.00,970629994.00,220629994.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Jan 21 2031,NYM,970629994.00,970629994.00,220629994.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Jan 17 2031,NYM,970629994.00,970629994.00,220629994.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Jan 14 2031,NYM,970629994.00,970629994.00,220629994.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Jan 10 2031,NYM,970629994.00,970629994.00,220629994.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Jan 06 2031,NYM,970629994.00,970629994.00,220629994.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Jan 03 2031,NYM,970629994.00,970629994.00,220629994.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Dec 30 2030,NYM,970629994.00,970629994.00,220629994.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Dec 26 2030,NYM,970629994.00,970629994.00,220629994.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Dec 23 2030,NYM,970629994.00,970629994.00,220629994.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Dec 19 2030,NYM,970629994.00,970629994.00,220629994.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Dec 15 2030,NYM,970629994.00,970629994.00,220629994.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Dec 12 2030,NYM,970030606.00,970030606.00,220030606.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Dec 08 2030,NYM,970030606.00,970030606.00,220030606.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Dec 04 2030,NYM,970030606.00,970030606.00,220030606.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Dec 01 2030,NYM,970030606.00,970030606.00,220030606.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Nov 27 2030,NYM,970030606.00,970030606.00,220030606.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Nov 23 2030,NYM,970030606.00,970030606.00,220030606.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Nov 20 2030,NYM,970030606.00,970030606.00,220030606.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Nov 16 2030,NYM,970030606.00,970030606.00,220030606.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Nov 12 2030,NYM,969418986.00,969418986.00,219418986.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Nov 09 2030,NYM,969418986.00,969418986.00,219418986.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
Nov 05 2030,NYM,969418986.00,969418986.00,219418986.00,200000000.00,365000000.00,25000000.00,10000000.00,50000000.00,100000000.00
