Date,Symbol,Available Supply,Unlocked Supply,Partners & Reserve,Foundation,Community,Backers,Core Contributors
Feb 18 2031,ROSE,7650000000.00,7650000000.00,500000000.00,1000000000.00,1850000000.00,2300000000.00,2000000000.00
Feb 14 2031,ROSE,7650000000.00,7650000000.00,500000000.00,1000000000.00,1850000000.00,2300000000.00,2000000000.00
Feb 10 2031,ROSE,7650000000.00,7650000000.00,500000000.00,1000000000.00,1850000000.00,2300000000.00,2000000000.00
Feb 05 2031,ROSE,7650000000.00,7650000000.00,500000000.00,1000000000.00,1850000000.00,2300000000.00,2000000000.00
Feb 01 2031,ROSE,7650000000.00,7650000000.00,500000000.00,1000000000.00,1850000000.00,2300000000.00,2000000000.00
Jan 28 2031,ROSE,7650000000.00,7650000000.00,500000000.00,1000000000.00,1850000000.00,2300000000.00,2000000000.00
Jan 24 2031,ROSE,7650000000.00,7650000000.00,500000000.00,1000000000.00,1850000000.00,2300000000.00,2000000000.00
Jan 20 2031,ROSE,7650000000.00,7650000000.00,500000000.00,1000000000.00,1850000000.00,2300000000.00,2000000000.00
Jan 15 2031,ROSE,7650000000.00,7650000000.00,500000000.00,1000000000.00,1850000000.00,2300000000.00,2000000000.00
Jan 11 2031,ROSE,7650000000.00,7650000000.00,500000000.00,1000000000.00,1850000000.00,2300000000.00,2000000000.00
Jan 07 2031,ROSE,7650000000.00,7650000000.00,500000000.00,1000000000.00,1850000000.00,2300000000.00,2000000000.00
Jan 03 2031,ROSE,7650000000.00,7650000000.00,500000000.00,1000000000.00,1850000000.00,2300000000.00,2000000000.00
Dec 30 2030,ROSE,7650000000.00,7650000000.00,500000000.00,1000000000.00,1850000000.00,2300000000.00,2000000000.00
Dec 25 2030,ROSE,7650000000.00,7650000000.00,500000000.00,1000000000.00,1850000000.00,2300000000.00,2000000000.00
Dec 21 2030,ROSE,7650000000.00,7650000000.00,500000000.00,1000000000.00,1850000000.00,2300000000.00,2000000000.00
Dec 17 2030,ROSE,7650000000.00,7650000000.00,500000000.00,1000000000.00,1850000000.00,2300000000.00,2000000000.00
Dec 13 2030,ROSE,7650000000.00,7650000000.00,500000000.00,1000000000.00,1850000000.00,2300000000.00,2000000000.00
Dec 09 2030,ROSE,7650000000.00,7650000000.00,500000000.00,1000000000.00,1850000000.00,2300000000.00,2000000000.00
Dec 04 2030,ROSE,7650000000.00,7650000000.00,500000000.00,1000000000.00,1850000000.00,2300000000.00,2000000000.00
Nov 30 2030,ROSE,7650000000.00,7650000000.00,500000000.00,1000000000.00,1850000000.00,2300000000.00,2000000000.00
Nov 26 2030,ROSE,7650000000.00,7650000000.00,500000000.00,1000000000.00,1850000000.00,2300000000.00,2000000000.00
Nov 22 2030,ROSE,7650000000.00,7650000000.00,500000000.00,1000000000.00,1850000000.00,2300000000.00,2000000000.00
Nov 18 2030,ROSE,7650000000.00,7650000000.00,500000000.00,1000000000.00,1850000000.00,2300000000.00,2000000000.00
Nov 13 2030,ROSE,7594000000.00,7594000000.00,487500000.00,975000000.00,1831500000.00,2300000000.00,2000000000.00
Nov 09 2030,ROSE,7594000000.00,7594000000.00,487500000.00,975000000.00,1831500000.00,2300000000.00,2000000000.00
Nov 05 2030,ROSE,7594000000.00,7594000000.00,487500000.00,975000000.00,1831500000.00,2300000000.00,2000000000.00
Nov 01 2030,ROSE,7594000000.00,7594000000.00,487500000.00,975000000.00,1831500000.00,2300000000.00,2000000000.00
Oct 28 2030,ROSE,7594000000.00,7594000000.00,487500000.00,975000000.00,1831500000.00,2300000000.00,2000000000.00
Oct 23 2030,ROSE,7594000000.00,7594000000.00,487500000.00,975000000.00,1831500000.00,2300000000.00,2000000000.00
Oct 19 2030,ROSE,7594000000.00,7594000000.00,487500000.00,975000000.00,1831500000.00,2300000000.00,2000000000.00
Oct 15 2030,ROSE,7594000000.00,7594000000.00,487500000.00,975000000.00,1831500000.00,2300000000.00,2000000000.00
Oct 11 2030,ROSE,7594000000.00,7594000000.00,487500000.00,975000000.00,1831500000.00,2300000000.00,2000000000.00
Oct 07 2030,ROSE,7594000000.00,7594000000.00,487500000.00,975000000.00,1831500000.00,2300000000.00,2000000000.00
Oct 02 2030,ROSE,7594000000.00,7594000000.00,487500000.00,975000000.00,1831500000.00,2300000000.00,2000000000.00
Sep 28 2030,ROSE,7594000000.00,7594000000.00,487500000.00,975000000.00,1831500000.00,2300000000.00,2000000000.00
Sep 24 2030,ROSE,7594000000.00,7594000000.00,487500000.00,975000000.00,1831500000.00,2300000000.00,2000000000.00
Sep 20 2030,ROSE,7594000000.00,7594000000.00,487500000.00,975000000.00,1831500000.00,2300000000.00,2000000000.00
Sep 16 2030,ROSE,7594000000.00,7594000000.00,487500000.00,975000000.00,1831500000.00,2300000000.00,2000000000.00
