Date,Symbol,Available Supply,Unlocked Supply,Private Sales,Protocol Development,Ecosystem Growth,Community Access Sale
Apr 18 2029,ONDO,10000000000.00,10000000000.00,1290246044.00,3300000000.00,5210869545.00,198884411.00
Apr 16 2029,ONDO,10000000000.00,10000000000.00,1290246044.00,3300000000.00,5210869545.00,198884411.00
Apr 14 2029,ONDO,10000000000.00,10000000000.00,1290246044.00,3300000000.00,5210869545.00,198884411.00
Apr 12 2029,ONDO,10000000000.00,10000000000.00,1290246044.00,3300000000.00,5210869545.00,198884411.00
Apr 09 2029,ONDO,10000000000.00,10000000000.00,1290246044.00,3300000000.00,5210869545.00,198884411.00
Apr 07 2029,ONDO,10000000000.00,10000000000.00,1290246044.00,3300000000.00,5210869545.00,198884411.00
Apr 05 2029,ONDO,10000000000.00,10000000000.00,1290246044.00,3300000000.00,5210869545.00,198884411.00
Apr 03 2029,ONDO,10000000000.00,10000000000.00,1290246044.00,3300000000.00,5210869545.00,198884411.00
Apr 01 2029,ONDO,10000000000.00,10000000000.00,1290246044.00,3300000000.00,5210869545.00,198884411.00
Mar 30 2029,ONDO,10000000000.00,10000000000.00,1290246044.00,3300000000.00,5210869545.00,198884411.00
Mar 27 2029,ONDO,10000000000.00,10000000000.00,1290246044.00,3300000000.00,5210869545.00,198884411.00
Mar 25 2029,ONDO,10000000000.00,10000000000.00,1290246044.00,3300000000.00,5210869545.00,198884411.00
Mar 23 2029,ONDO,10000000000.00,10000000000.00,1290246044.00,3300000000.00,5210869545.00,198884411.00
Mar 21 2029,ONDO,10000000000.00,10000000000.00,1290246044.00,3300000000.00,5210869545.00,198884411.00
Mar 19 2029,ONDO,10000000000.00,10000000000.00,1290246044.00,3300000000.00,5210869545.00,198884411.00
Mar 17 2029,ONDO,10000000000.00,10000000000.00,1290246044.00,3300000000.00,5210869545.00,198884411.00
Mar 15 2029,ONDO,10000000000.00,10000000000.00,1290246044.00,3300000000.00,5210869545.00,198884411.00
Mar 12 2029,ONDO,10000000000.00,10000000000.00,1290246044.00,3300000000.00,5210869545.00,198884411.00
Mar 10 2029,ONDO,10000000000.00,10000000000.00,1290246044.00,3300000000.00,5210869545.00,198884411.00
Mar 08 2029,ONDO,10000000000.00,10000000000.00,1290246044.00,3300000000.00,5210869545.00,198884411.00
Mar 06 2029,ONDO,10000000000.00,10000000000.00,1290246044.00,3300000000.00,5210869545.00,198884411.00
