Date,Symbol,Available Supply,Unlocked Supply,Community Pool,Staking Rewards,Developer Vesting,Liquidity Mining Incentives,Airdrop,Strategic Reserve
Nov 02 2048,OSMO,998175823.11,998175823.11,92641793.41,323951299.55,224543955.77,257038774.38,50000000.00,50000000.00
Oct 22 2048,OSMO,998160338.03,998160338.03,92641019.16,323943557.01,224540084.50,257035677.36,50000000.00,50000000.00
Oct 11 2048,OSMO,998144852.95,998144852.95,92640244.91,323935814.47,224536213.23,257032580.34,50000000.00,50000000.00
Sep 29 2048,OSMO,998127960.13,998127960.13,92639400.26,323927368.07,224531990.03,257029201.78,50000000.00,50000000.00
Sep 18 2048,OSMO,998112475.05,998112475.05,92638626.01,323919625.53,224528118.76,257026104.76,50000000.00,50000000.00
Sep 07 2048,OSMO,998096989.97,998096989.97,92637851.76,323911882.99,224524247.48,257023007.74,50000000.00,50000000.00
Aug 27 2048,OSMO,998081504.89,998081504.89,92637077.50,323904140.45,224520376.21,257019910.73,50000000.00,50000000.00
Aug 15 2048,OSMO,998064612.07,998064612.07,92636232.86,323895694.04,224516153.01,257016532.16,50000000.00,50000000.00
Aug 04 2048,OSMO,998049126.99,998049126.99,92635458.61,323887951.50,224512281.74,257013435.15,50000000.00,50000000.00
Jul 24 2048,OSMO,998033641.91,998033641.91,92634684.35,323880208.96,224508410.47,257010338.13,50000000.00,50000000.00
Jul 13 2048,OSMO,998018156.83,998018156.83,92633910.10,323872466.42,224504539.20,257007241.11,50000000.00,50000000.00
Jul 02 2048,OSMO,998002671.75,998002671.75,92633135.85,323864723.88,224500667.93,257004144.10,50000000.00,50000000.00
Jun 20 2048,OSMO,997985778.93,997985778.93,92632291.21,323856277.47,224496444.72,257000765.53,50000000.00,50000000.00
Jun 09 2048,OSMO,997970293.85,997970293.85,92631516.95,323848534.93,224492573.45,256997668.52,50000000.00,50000000.00
May 29 2048,OSMO,997954808.77,997954808.77,92630742.70,323840792.39,224488702.18,256994571.50,50000000.00,50000000.00
May 18 2048,OSMO,997939323.69,997939323.69,92629968.44,323833049.85,224484830.91,256991474.48,50000000.00,50000000.00
May 06 2048,OSMO,997922430.87,997922430.87,92629123.80,323824603.45,224480607.71,256988095.92,50000000.00,50000000.00
Apr 25 2048,OSMO,997906945.79,997906945.79,92628349.55,323816860.91,224476736.44,256984998.90,50000000.00,50000000.00
Apr 14 2048,OSMO,997891460.71,997891460.71,92627575.29,323809118.37,224472865.16,256981901.88,50000000.00,50000000.00
Apr 03 2048,OSMO,997875975.63,997875975.63,92626801.04,323801375.83,224468993.89,256978804.87,50000000.00,50000000.00
Mar 23 2048,OSMO,997860490.55,997860490.55,92626026.79,323793633.29,224465122.62,256975707.85,50000000.00,50000000.00
Mar 11 2048,OSMO,997843597.73,997843597.73,92625182.15,323785186.88,224460899.42,256972329.29,50000000.00,50000000.00
Feb 29 2048,OSMO,997828112.65,997828112.65,92624407.89,323777444.34,224457028.15,256969232.27,50000000.00,50000000.00
Feb 18 2048,OSMO,997812627.57,997812627.57,92623633.64,323769701.80,224453156.88,256966135.25,50000000.00,50000000.00
Feb 07 2048,OSMO,997797142.49,997797142.49,92622859.38,323761959.26,224449285.61,256963038.24,50000000.00,50000000.00
Jan 26 2048,OSMO,997780249.67,997780249.67,92622014.74,323753512.85,224445062.40,256959659.67,50000000.00,50000000.00
Jan 15 2048,OSMO,997764764.59,997764764.59,92621240.49,323745770.31,224441191.13,256956562.66,50000000.00,50000000.00
Jan 04 2048,OSMO,997749279.51,997749279.51,92620466.24,323738027.77,224437319.86,256953465.64,50000000.00,50000000.00
Dec 24 2047,OSMO,997733794.43,997733794.43,92619691.98,323730285.23,224433448.59,256950368.62,50000000.00,50000000.00
Dec 13 2047,OSMO,997718309.35,997718309.35,92618917.73,323722542.69,224429577.32,256947271.60,50000000.00,50000000.00
