Date,Symbol,Available Supply,Unlocked Supply,Staking Rewards,Pre-launch distribution,Web3 foundation,Auction Sale
Dec 31 2030,DOT,2747846406.98,2747846406.98,1747846406.98,200000000.00,300000000.00,500000000.00
Dec 27 2030,DOT,2745056470.59,2745056470.59,1745056470.59,200000000.00,300000000.00,500000000.00
Dec 22 2030,DOT,2741569050.11,2741569050.11,1741569050.11,200000000.00,300000000.00,500000000.00
Dec 18 2030,DOT,2738779113.73,2738779113.73,1738779113.73,200000000.00,300000000.00,500000000.00
Dec 14 2030,DOT,2735989177.35,2735989177.35,1735989177.35,200000000.00,300000000.00,500000000.00
Dec 09 2030,DOT,2732501756.87,2732501756.87,1732501756.87,200000000.00,300000000.00,500000000.00
Dec 05 2030,DOT,2729711820.49,2729711820.49,1729711820.49,200000000.00,300000000.00,500000000.00
Dec 01 2030,DOT,2726921884.10,2726921884.10,1726921884.10,200000000.00,300000000.00,500000000.00
Nov 26 2030,DOT,2723434463.62,2723434463.62,1723434463.62,200000000.00,300000000.00,500000000.00
Nov 22 2030,DOT,2720644527.24,2720644527.24,1720644527.24,200000000.00,300000000.00,500000000.00
Nov 18 2030,DOT,2717854590.86,2717854590.86,1717854590.86,200000000.00,300000000.00,500000000.00
Nov 13 2030,DOT,2714367170.38,2714367170.38,1714367170.38,200000000.00,300000000.00,500000000.00
Nov 09 2030,DOT,2711577234.00,2711577234.00,1711577234.00,200000000.00,300000000.00,500000000.00
Nov 05 2030,DOT,2708787297.61,2708787297.61,1708787297.61,200000000.00,300000000.00,500000000.00
Oct 31 2030,DOT,2705299877.13,2705299877.13,1705299877.13,200000000.00,300000000.00,500000000.00
Oct 27 2030,DOT,2702509940.75,2702509940.75,1702509940.75,200000000.00,300000000.00,500000000.00
Oct 22 2030,DOT,2699022520.27,2699022520.27,1699022520.27,200000000.00,300000000.00,500000000.00
Oct 18 2030,DOT,2696232583.89,2696232583.89,1696232583.89,200000000.00,300000000.00,500000000.00
Oct 14 2030,DOT,2693442647.51,2693442647.51,1693442647.51,200000000.00,300000000.00,500000000.00
Oct 09 2030,DOT,2689955227.03,2689955227.03,1689955227.03,200000000.00,300000000.00,500000000.00
Oct 05 2030,DOT,2687165290.64,2687165290.64,1687165290.64,200000000.00,300000000.00,500000000.00
Oct 01 2030,DOT,2684375354.26,2684375354.26,1684375354.26,200000000.00,300000000.00,500000000.00
Sep 26 2030,DOT,2680887933.78,2680887933.78,1680887933.78,200000000.00,300000000.00,500000000.00
Sep 22 2030,DOT,2678097997.40,2678097997.40,1678097997.40,200000000.00,300000000.00,500000000.00
Sep 18 2030,DOT,2675308061.02,2675308061.02,1675308061.02,200000000.00,300000000.00,500000000.00
Sep 13 2030,DOT,2671820640.54,2671820640.54,1671820640.54,200000000.00,300000000.00,500000000.00
Sep 09 2030,DOT,2669030704.15,2669030704.15,1669030704.15,200000000.00,300000000.00,500000000.00
Sep 05 2030,DOT,2666240767.77,2666240767.77,1666240767.77,200000000.00,300000000.00,500000000.00
Aug 31 2030,DOT,2662753347.29,2662753347.29,1662753347.29,200000000.00,300000000.00,500000000.00
Aug 27 2030,DOT,2659963410.91,2659963410.91,1659963410.91,200000000.00,300000000.00,500000000.00
Aug 23 2030,DOT,2657173474.52,2657173474.52,1657173474.52,200000000.00,300000000.00,500000000.00
Aug 18 2030,DOT,2653686054.05,2653686054.05,1653686054.05,200000000.00,300000000.00,500000000.00
Aug 14 2030,DOT,2650896117.66,2650896117.66,1650896117.66,200000000.00,300000000.00,500000000.00
Aug 10 2030,DOT,2648106181.28,2648106181.28,1648106181.28,200000000.00,300000000.00,500000000.00
Aug 05 2030,DOT,2644618760.80,2644618760.80,1644618760.80,200000000.00,300000000.00,500000000.00
Aug 01 2030,DOT,2641828824.42,2641828824.42,1641828824.42,200000000.00,300000000.00,500000000.00
Jul 28 2030,DOT,2639038888.03,2639038888.03,1639038888.03,200000000.00,300000000.00,500000000.00
Jul 23 2030,DOT,2635551467.56,2635551467.56,1635551467.56,200000000.00,300000000.00,500000000.00
Jul 19 2030,DOT,2632761531.17,2632761531.17,1632761531.17,200000000.00,300000000.00,500000000.00
Jul 15 2030,DOT,2629971594.79,2629971594.79,1629971594.79,200000000.00,300000000.00,500000000.00
Jul 10 2030,DOT,2626484174.31,2626484174.31,1626484174.31,200000000.00,300000000.00,500000000.00
Jul 06 2030,DOT,2623694237.93,2623694237.93,1623694237.93,200000000.00,300000000.00,500000000.00
Jul 02 2030,DOT,2620904301.54,2620904301.54,1620904301.54,200000000.00,300000000.00,500000000.00
Jun 27 2030,DOT,2617416881.07,2617416881.07,1617416881.07,200000000.00,300000000.00,500000000.00
Jun 23 2030,DOT,2614626944.68,2614626944.68,1614626944.68,200000000.00,300000000.00,500000000.00
Jun 18 2030,DOT,2611139524.20,2611139524.20,1611139524.20,200000000.00,300000000.00,500000000.00
Jun 14 2030,DOT,2608349587.82,2608349587.82,1608349587.82,200000000.00,300000000.00,500000000.00
Jun 10 2030,DOT,2605559651.44,2605559651.44,1605559651.44,200000000.00,300000000.00,500000000.00
Jun 05 2030,DOT,2602072230.96,2602072230.96,1602072230.96,200000000.00,300000000.00,500000000.00
Jun 01 2030,DOT,2599282294.57,2599282294.57,1599282294.57,200000000.00,300000000.00,500000000.00
May 28 2030,DOT,2596492358.19,2596492358.19,1596492358.19,200000000.00,300000000.00,500000000.00
May 23 2030,DOT,2593158338.40,2593158338.40,1593158338.40,200000000.00,300000000.00,500000000.00
May 19 2030,DOT,2590572936.26,2590572936.26,1590572936.26,200000000.00,300000000.00,500000000.00
May 15 2030,DOT,2587987534.12,2587987534.12,1587987534.12,200000000.00,300000000.00,500000000.00
May 10 2030,DOT,2584755781.45,2584755781.45,1584755781.45,200000000.00,300000000.00,500000000.00
May 06 2030,DOT,2582170379.32,2582170379.32,1582170379.32,200000000.00,300000000.00,500000000.00
May 02 2030,DOT,2579584977.18,2579584977.18,1579584977.18,200000000.00,300000000.00,500000000.00
Apr 27 2030,DOT,2576353224.51,2576353224.51,1576353224.51,200000000.00,300000000.00,500000000.00
Apr 23 2030,DOT,2573767822.37,2573767822.37,1573767822.37,200000000.00,300000000.00,500000000.00
Apr 19 2030,DOT,2571182420.23,2571182420.23,1571182420.23,200000000.00,300000000.00,500000000.00
Apr 14 2030,DOT,2567950667.56,2567950667.56,1567950667.56,200000000.00,300000000.00,500000000.00
Apr 10 2030,DOT,2565365265.42,2565365265.42,1565365265.42,200000000.00,300000000.00,500000000.00
Apr 06 2030,DOT,2562779863.29,2562779863.29,1562779863.29,200000000.00,300000000.00,500000000.00
Apr 01 2030,DOT,2559548110.62,2559548110.62,1559548110.62,200000000.00,300000000.00,500000000.00
Mar 28 2030,DOT,2556962708.48,2556962708.48,1556962708.48,200000000.00,300000000.00,500000000.00
Mar 24 2030,DOT,2554377306.34,2554377306.34,1554377306.34,200000000.00,300000000.00,500000000.00
Mar 19 2030,DOT,2551145553.67,2551145553.67,1551145553.67,200000000.00,300000000.00,500000000.00
Mar 15 2030,DOT,2548560151.53,2548560151.53,1548560151.53,200000000.00,300000000.00,500000000.00
Mar 11 2030,DOT,2545974749.40,2545974749.40,1545974749.40,200000000.00,300000000.00,500000000.00
Mar 06 2030,DOT,2542742996.73,2542742996.73,1542742996.73,200000000.00,300000000.00,500000000.00
Mar 02 2030,DOT,2540157594.59,2540157594.59,1540157594.59,200000000.00,300000000.00,500000000.00
Feb 26 2030,DOT,2537572192.45,2537572192.45,1537572192.45,200000000.00,300000000.00,500000000.00
Feb 21 2030,DOT,2534340439.78,2534340439.78,1534340439.78,200000000.00,300000000.00,500000000.00
Feb 17 2030,DOT,2531755037.64,2531755037.64,1531755037.64,200000000.00,300000000.00,500000000.00
Feb 13 2030,DOT,2529169635.51,2529169635.51,1529169635.51,200000000.00,300000000.00,500000000.00
Feb 08 2030,DOT,2525937882.84,2525937882.84,1525937882.84,200000000.00,300000000.00,500000000.00
Feb 04 2030,DOT,2523352480.70,2523352480.70,1523352480.70,200000000.00,300000000.00,500000000.00
