Date,Symbol,Available Supply,Unlocked Supply,Community Incentives,Staking Rewards,Sky Mavis,Ecosystem Fund
Apr 27 2031,RON,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Apr 23 2031,RON,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Apr 19 2031,RON,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Apr 16 2031,RON,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Apr 12 2031,RON,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Apr 08 2031,RON,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Apr 04 2031,RON,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Mar 31 2031,RON,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Mar 28 2031,RON,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Mar 24 2031,RON,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Mar 20 2031,RON,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Mar 16 2031,RON,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Mar 13 2031,RON,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Mar 09 2031,RON,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Mar 05 2031,RON,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Mar 01 2031,RON,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Feb 25 2031,RON,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Feb 22 2031,RON,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Feb 18 2031,RON,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Feb 14 2031,RON,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
