Date,Symbol,Available Supply,Unlocked Supply,Seed Sale,Team,Marketing,Foundation,Strategic Sale,Advisors,Ecosystem Fund,Community Airdrop,Public Sale
Mar 22 2029,ID,2000000000.00,2000000000.00,400000000.00,300000000.00,260000000.00,240000000.00,160000000.00,140000000.00,200000000.00,200000000.00,100000000.00
Mar 20 2029,ID,2000000000.00,2000000000.00,400000000.00,300000000.00,260000000.00,240000000.00,160000000.00,140000000.00,200000000.00,200000000.00,100000000.00
Mar 17 2029,ID,2000000000.00,2000000000.00,400000000.00,300000000.00,260000000.00,240000000.00,160000000.00,140000000.00,200000000.00,200000000.00,100000000.00
Mar 15 2029,ID,2000000000.00,2000000000.00,400000000.00,300000000.00,260000000.00,240000000.00,160000000.00,140000000.00,200000000.00,200000000.00,100000000.00
Mar 12 2029,ID,2000000000.00,2000000000.00,400000000.00,300000000.00,260000000.00,240000000.00,160000000.00,140000000.00,200000000.00,200000000.00,100000000.00
Mar 10 2029,ID,2000000000.00,2000000000.00,400000000.00,300000000.00,260000000.00,240000000.00,160000000.00,140000000.00,200000000.00,200000000.00,100000000.00
Mar 07 2029,ID,2000000000.00,2000000000.00,400000000.00,300000000.00,260000000.00,240000000.00,160000000.00,140000000.00,200000000.00,200000000.00,100000000.00
Mar 05 2029,ID,2000000000.00,2000000000.00,400000000.00,300000000.00,260000000.00,240000000.00,160000000.00,140000000.00,200000000.00,200000000.00,100000000.00
Mar 02 2029,ID,2000000000.00,2000000000.00,400000000.00,300000000.00,260000000.00,240000000.00,160000000.00,140000000.00,200000000.00,200000000.00,100000000.00
Feb 28 2029,ID,2000000000.00,2000000000.00,400000000.00,300000000.00,260000000.00,240000000.00,160000000.00,140000000.00,200000000.00,200000000.00,100000000.00
Feb 25 2029,ID,2000000000.00,2000000000.00,400000000.00,300000000.00,260000000.00,240000000.00,160000000.00,140000000.00,200000000.00,200000000.00,100000000.00
Feb 23 2029,ID,2000000000.00,2000000000.00,400000000.00,300000000.00,260000000.00,240000000.00,160000000.00,140000000.00,200000000.00,200000000.00,100000000.00
Feb 20 2029,ID,2000000000.00,2000000000.00,400000000.00,300000000.00,260000000.00,240000000.00,160000000.00,140000000.00,200000000.00,200000000.00,100000000.00
Feb 18 2029,ID,2000000000.00,2000000000.00,400000000.00,300000000.00,260000000.00,240000000.00,160000000.00,140000000.00,200000000.00,200000000.00,100000000.00
Feb 16 2029,ID,2000000000.00,2000000000.00,400000000.00,300000000.00,260000000.00,240000000.00,160000000.00,140000000.00,200000000.00,200000000.00,100000000.00
Feb 13 2029,ID,2000000000.00,2000000000.00,400000000.00,300000000.00,260000000.00,240000000.00,160000000.00,140000000.00,200000000.00,200000000.00,100000000.00
Feb 11 2029,ID,2000000000.00,2000000000.00,400000000.00,300000000.00,260000000.00,240000000.00,160000000.00,140000000.00,200000000.00,200000000.00,100000000.00
Feb 08 2029,ID,2000000000.00,2000000000.00,400000000.00,300000000.00,260000000.00,240000000.00,160000000.00,140000000.00,200000000.00,200000000.00,100000000.00
Feb 06 2029,ID,2000000000.00,2000000000.00,400000000.00,300000000.00,260000000.00,240000000.00,160000000.00,140000000.00,200000000.00,200000000.00,100000000.00
Feb 03 2029,ID,2000000000.00,2000000000.00,400000000.00,300000000.00,260000000.00,240000000.00,160000000.00,140000000.00,200000000.00,200000000.00,100000000.00
Feb 01 2029,ID,2000000000.00,2000000000.00,400000000.00,300000000.00,260000000.00,240000000.00,160000000.00,140000000.00,200000000.00,200000000.00,100000000.00
Jan 29 2029,ID,2000000000.00,2000000000.00,400000000.00,300000000.00,260000000.00,240000000.00,160000000.00,140000000.00,200000000.00,200000000.00,100000000.00
Jan 27 2029,ID,2000000000.00,2000000000.00,400000000.00,300000000.00,260000000.00,240000000.00,160000000.00,140000000.00,200000000.00,200000000.00,100000000.00
Jan 24 2029,ID,2000000000.00,2000000000.00,400000000.00,300000000.00,260000000.00,240000000.00,160000000.00,140000000.00,200000000.00,200000000.00,100000000.00
Jan 22 2029,ID,2000000000.00,2000000000.00,400000000.00,300000000.00,260000000.00,240000000.00,160000000.00,140000000.00,200000000.00,200000000.00,100000000.00
Jan 19 2029,ID,2000000000.00,2000000000.00,400000000.00,300000000.00,260000000.00,240000000.00,160000000.00,140000000.00,200000000.00,200000000.00,100000000.00
Jan 17 2029,ID,2000000000.00,2000000000.00,400000000.00,300000000.00,260000000.00,240000000.00,160000000.00,140000000.00,200000000.00,200000000.00,100000000.00
Jan 15 2029,ID,2000000000.00,2000000000.00,400000000.00,300000000.00,260000000.00,240000000.00,160000000.00,140000000.00,200000000.00,200000000.00,100000000.00
Jan 12 2029,ID,2000000000.00,2000000000.00,400000000.00,300000000.00,260000000.00,240000000.00,160000000.00,140000000.00,200000000.00,200000000.00,100000000.00
Jan 10 2029,ID,2000000000.00,2000000000.00,400000000.00,300000000.00,260000000.00,240000000.00,160000000.00,140000000.00,200000000.00,200000000.00,100000000.00
