Date,Symbol,Available Supply,Unlocked Supply,Founders & Advisors,Development,Ecosystem,NFT Drops,Staking,Liquidity,Seed,Private Round 1,Private Round 2,Private Round 3,IDO
Jun 29 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Jun 28 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Jun 26 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Jun 25 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Jun 24 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Jun 22 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Jun 21 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Jun 19 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Jun 18 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Jun 17 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Jun 15 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Jun 14 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Jun 13 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Jun 11 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Jun 10 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Jun 08 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Jun 07 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Jun 06 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Jun 04 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Jun 03 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Jun 02 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
May 31 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
May 30 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
May 28 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
May 27 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
May 26 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
May 24 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
May 23 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
May 22 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
May 20 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
May 19 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
May 17 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
May 16 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
May 15 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
May 13 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
May 12 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
May 11 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
May 09 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
May 08 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
May 06 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
May 05 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
May 04 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
May 02 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
May 01 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Apr 30 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Apr 28 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Apr 27 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Apr 25 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Apr 24 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Apr 23 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Apr 21 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Apr 20 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Apr 19 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Apr 17 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Apr 16 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Apr 15 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Apr 13 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Apr 12 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Apr 10 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Apr 09 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Apr 08 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Apr 06 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Apr 05 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Apr 04 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Apr 02 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Apr 01 2024,SUPER,1000000000.00,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Mar 30 2024,SUPER,0,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Mar 29 2024,SUPER,0,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Mar 28 2024,SUPER,0,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Mar 26 2024,SUPER,0,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Mar 25 2024,SUPER,0,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Mar 24 2024,SUPER,0,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Mar 22 2024,SUPER,0,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Mar 21 2024,SUPER,0,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Mar 19 2024,SUPER,0,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Mar 18 2024,SUPER,0,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Mar 17 2024,SUPER,0,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Mar 15 2024,SUPER,0,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Mar 14 2024,SUPER,0,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Mar 13 2024,SUPER,0,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Mar 11 2024,SUPER,0,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Mar 10 2024,SUPER,0,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Mar 08 2024,SUPER,0,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Mar 07 2024,SUPER,0,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Mar 06 2024,SUPER,0,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Mar 04 2024,SUPER,0,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Mar 03 2024,SUPER,0,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Mar 02 2024,SUPER,0,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Feb 29 2024,SUPER,0,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
Feb 28 2024,SUPER,0,1000000000.00,100000000.00,100000000.00,90000000.00,50000000.00,250000000.00,10000000.00,50000000.00,90000000.00,150000000.00,100000000.00,10000000.00
