Date,Symbol,Available Supply,Unlocked Supply,Post-Attack LUNA holders,Pre-Attack aUST holders,Post-Attack UST holders,Pre-Attack LUNA holders,Community Pool
May 27 2024,LUNA,1000000000.00,1000000000.00,100000000.00,100000000.00,150000000.00,350000000.00,300000000.00
May 26 2024,LUNA,999109090.91,999109090.91,99872727.27,99872727.27,149809090.91,349554545.45,300000000.00
May 25 2024,LUNA,998218181.82,998218181.82,99745454.55,99745454.55,149618181.82,349109090.91,300000000.00
May 25 2024,LUNA,998218181.82,998218181.82,99745454.55,99745454.55,149618181.82,349109090.91,300000000.00
May 24 2024,LUNA,997327272.73,997327272.73,99618181.82,99618181.82,149427272.73,348663636.36,300000000.00
May 23 2024,LUNA,996436363.64,996436363.64,99490909.09,99490909.09,149236363.64,348218181.82,300000000.00
May 22 2024,LUNA,995545454.55,995545454.55,99363636.36,99363636.36,149045454.55,347772727.27,300000000.00
May 21 2024,LUNA,994654545.45,994654545.45,99236363.64,99236363.64,148854545.45,347327272.73,300000000.00
May 20 2024,LUNA,993763636.36,993763636.36,99109090.91,99109090.91,148663636.36,346881818.18,300000000.00
May 20 2024,LUNA,993763636.36,993763636.36,99109090.91,99109090.91,148663636.36,346881818.18,300000000.00
May 19 2024,LUNA,992872727.27,992872727.27,98981818.18,98981818.18,148472727.27,346436363.64,300000000.00
May 18 2024,LUNA,991981818.18,991981818.18,98854545.45,98854545.45,148281818.18,345990909.09,300000000.00
May 17 2024,LUNA,991090909.09,991090909.09,98727272.73,98727272.73,148090909.09,345545454.55,300000000.00
May 16 2024,LUNA,990200000.00,990200000.00,98600000.00,98600000.00,147900000.00,345100000.00,300000000.00
May 16 2024,LUNA,990200000.00,990200000.00,98600000.00,98600000.00,147900000.00,345100000.00,300000000.00
May 15 2024,LUNA,989309090.91,989309090.91,98472727.27,98472727.27,147709090.91,344654545.45,300000000.00
May 14 2024,LUNA,988418181.82,988418181.82,98345454.55,98345454.55,147518181.82,344209090.91,300000000.00
May 13 2024,LUNA,987527272.73,987527272.73,98218181.82,98218181.82,147327272.73,343763636.36,300000000.00
May 12 2024,LUNA,986636363.64,986636363.64,98090909.09,98090909.09,147136363.64,343318181.82,300000000.00
May 11 2024,LUNA,985745454.55,985745454.55,97963636.36,97963636.36,146945454.55,342872727.27,300000000.00
May 11 2024,LUNA,985745454.55,985745454.55,97963636.36,97963636.36,146945454.55,342872727.27,300000000.00
May 10 2024,LUNA,984854545.45,984854545.45,97836363.64,97836363.64,146754545.45,342427272.73,300000000.00
May 09 2024,LUNA,983963636.36,983963636.36,97709090.91,97709090.91,146563636.36,341981818.18,300000000.00
May 08 2024,LUNA,983072727.27,983072727.27,97581818.18,97581818.18,146372727.27,341536363.64,300000000.00
May 07 2024,LUNA,982181818.18,982181818.18,97454545.45,97454545.45,146181818.18,341090909.09,300000000.00
May 07 2024,LUNA,982181818.18,982181818.18,97454545.45,97454545.45,146181818.18,341090909.09,300000000.00
May 06 2024,LUNA,981290909.09,981290909.09,97327272.73,97327272.73,145990909.09,340645454.55,300000000.00
May 05 2024,LUNA,980400000.00,980400000.00,97200000.00,97200000.00,145800000.00,340200000.00,300000000.00
May 04 2024,LUNA,979509090.91,979509090.91,97072727.27,97072727.27,145609090.91,339754545.45,300000000.00
May 03 2024,LUNA,978618181.82,978618181.82,96945454.55,96945454.55,145418181.82,339309090.91,300000000.00
May 02 2024,LUNA,977727272.73,977727272.73,96818181.82,96818181.82,145227272.73,338863636.36,300000000.00
