Date,Symbol,Available Supply,Unlocked Supply,New Issuance,Graph Foundation,Edge & Node,Curator Program Grants,Early Team & Advisors,Testnet Indexer Rewards,Backers,Early Backers,Strategic GRT Sale,Public GRT Sale,Bug Bounties,Educational Programs
Dec 17 2028,GRT,10335000000.00,10335000000.00,300000000.00,2030000000.00,800000000.00,315000000.00,2300000000.00,315000000.00,1700000000.00,1700000000.00,210000000.00,420000000.00,35000000.00,210000000.00
Dec 14 2028,GRT,10332960109.49,10332960109.49,299671532.85,2028288576.64,800000000.00,315000000.00,2300000000.00,315000000.00,1700000000.00,1700000000.00,210000000.00,420000000.00,35000000.00,210000000.00
Dec 10 2028,GRT,10330240255.47,10330240255.47,299233576.64,2026006678.83,800000000.00,315000000.00,2300000000.00,315000000.00,1700000000.00,1700000000.00,210000000.00,420000000.00,35000000.00,210000000.00
Dec 07 2028,GRT,10328200364.96,10328200364.96,298905109.49,2024295255.47,800000000.00,315000000.00,2300000000.00,315000000.00,1700000000.00,1700000000.00,210000000.00,420000000.00,35000000.00,210000000.00
Dec 04 2028,GRT,10326160474.45,10326160474.45,298576642.34,2022583832.12,800000000.00,315000000.00,2300000000.00,315000000.00,1700000000.00,1700000000.00,210000000.00,420000000.00,35000000.00,210000000.00
Dec 01 2028,GRT,10324120583.94,10324120583.94,298248175.18,2020872408.76,800000000.00,315000000.00,2300000000.00,315000000.00,1700000000.00,1700000000.00,210000000.00,420000000.00,35000000.00,210000000.00
Nov 27 2028,GRT,10321400729.93,10321400729.93,297810218.98,2018590510.95,800000000.00,315000000.00,2300000000.00,315000000.00,1700000000.00,1700000000.00,210000000.00,420000000.00,35000000.00,210000000.00
Nov 24 2028,GRT,10319360839.42,10319360839.42,297481751.82,2016879087.59,800000000.00,315000000.00,2300000000.00,315000000.00,1700000000.00,1700000000.00,210000000.00,420000000.00,35000000.00,210000000.00
Nov 21 2028,GRT,10317320948.91,10317320948.91,297153284.67,2015167664.23,800000000.00,315000000.00,2300000000.00,315000000.00,1700000000.00,1700000000.00,210000000.00,420000000.00,35000000.00,210000000.00
Nov 17 2028,GRT,10314601094.89,10314601094.89,296715328.47,2012885766.42,800000000.00,315000000.00,2300000000.00,315000000.00,1700000000.00,1700000000.00,210000000.00,420000000.00,35000000.00,210000000.00
Nov 14 2028,GRT,10312561204.38,10312561204.38,296386861.31,2011174343.07,800000000.00,315000000.00,2300000000.00,315000000.00,1700000000.00,1700000000.00,210000000.00,420000000.00,35000000.00,210000000.00
Nov 11 2028,GRT,10310521313.87,10310521313.87,296058394.16,2009462919.71,800000000.00,315000000.00,2300000000.00,315000000.00,1700000000.00,1700000000.00,210000000.00,420000000.00,35000000.00,210000000.00
