Date,Symbol,Available Supply,Unlocked Supply,Treasury & Ecosystem,Development & Team,Presale,NFT Staking,Staking Reward,Liquidity Management,Airdrop
Jun 29 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jun 28 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jun 27 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jun 26 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jun 25 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jun 24 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jun 23 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jun 22 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jun 21 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jun 20 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jun 19 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jun 18 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jun 17 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jun 16 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jun 15 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Jun 14 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
