Date,Symbol,Price,Available Supply,Unlocked Supply,Annual Inflation,Public Presale,Team,Foundation,Pre-Seed,Seed,Early Community,Public
Dec 31 2030,AZERO,0,560465780.29,560465780.29,260465780.29,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 30 2030,AZERO,0,560383614.43,560383614.43,260383614.43,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 30 2030,AZERO,0,560383614.43,560383614.43,260383614.43,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 29 2030,AZERO,0,560301448.57,560301448.57,260301448.57,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 29 2030,AZERO,0,560301448.57,560301448.57,260301448.57,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 28 2030,AZERO,0,560219282.71,560219282.71,260219282.71,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 27 2030,AZERO,0,560137116.84,560137116.84,260137116.84,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 27 2030,AZERO,0,560137116.84,560137116.84,260137116.84,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 26 2030,AZERO,0,560054950.98,560054950.98,260054950.98,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 25 2030,AZERO,0,559972785.12,559972785.12,259972785.12,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 25 2030,AZERO,0,559972785.12,559972785.12,259972785.12,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 24 2030,AZERO,0,559890619.26,559890619.26,259890619.26,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 24 2030,AZERO,0,559890619.26,559890619.26,259890619.26,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 23 2030,AZERO,0,559808453.40,559808453.40,259808453.40,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 22 2030,AZERO,0,559726287.54,559726287.54,259726287.54,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 22 2030,AZERO,0,559726287.54,559726287.54,259726287.54,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 21 2030,AZERO,0,559644121.68,559644121.68,259644121.68,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 20 2030,AZERO,0,559561955.82,559561955.82,259561955.82,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 20 2030,AZERO,0,559561955.82,559561955.82,259561955.82,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 19 2030,AZERO,0,559479789.95,559479789.95,259479789.95,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 19 2030,AZERO,0,559479789.95,559479789.95,259479789.95,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 18 2030,AZERO,0,559397624.09,559397624.09,259397624.09,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 17 2030,AZERO,0,559315458.23,559315458.23,259315458.23,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 17 2030,AZERO,0,559315458.23,559315458.23,259315458.23,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 16 2030,AZERO,0,559233292.37,559233292.37,259233292.37,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 15 2030,AZERO,0,559151126.51,559151126.51,259151126.51,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 15 2030,AZERO,0,559151126.51,559151126.51,259151126.51,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 14 2030,AZERO,0,559068960.65,559068960.65,259068960.65,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 14 2030,AZERO,0,559068960.65,559068960.65,259068960.65,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 13 2030,AZERO,0,558986794.79,558986794.79,258986794.79,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 12 2030,AZERO,0,558904628.93,558904628.93,258904628.93,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 12 2030,AZERO,0,558904628.93,558904628.93,258904628.93,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 11 2030,AZERO,0,558822463.06,558822463.06,258822463.06,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 10 2030,AZERO,0,558740297.20,558740297.20,258740297.20,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
Dec 10 2030,AZERO,0,558740297.20,558740297.20,258740297.20,55000000.00,30000000.00,70000000.00,50000000.00,50000000.00,15000000.00,30000000.00
