Date,Symbol,Price,Available Supply,Unlocked Supply,Community,Foundation,Core contributors,Investors
Oct 09 2032,APT,0,1000000000.00,1000000000.00,510217359.77,165000000.00,190000000.00,134782640.23
Oct 08 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Oct 08 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Oct 07 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Oct 06 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Oct 06 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Oct 05 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Oct 04 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Oct 04 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Oct 03 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Oct 02 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Oct 01 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Oct 01 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 30 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 29 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 29 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 28 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 27 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 27 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 26 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 25 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 25 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 24 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 23 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 23 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 22 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 21 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 21 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 20 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 19 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 19 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 18 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 17 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 16 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 16 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 15 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 14 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 14 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 13 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 12 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 12 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 11 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 10 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 10 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 09 2032,APT,0,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 08 2032,APT,0,990913044.00,990913044.00,503797070.44,162333333.33,190000000.00,134782640.23
Sep 08 2032,APT,0,990913044.00,990913044.00,503797070.44,162333333.33,190000000.00,134782640.23
Sep 07 2032,APT,0,990913044.00,990913044.00,503797070.44,162333333.33,190000000.00,134782640.23
Sep 06 2032,APT,0,990913044.00,990913044.00,503797070.44,162333333.33,190000000.00,134782640.23
Sep 06 2032,APT,0,990913044.00,990913044.00,503797070.44,162333333.33,190000000.00,134782640.23
Sep 05 2032,APT,0,990913044.00,990913044.00,503797070.44,162333333.33,190000000.00,134782640.23
Sep 04 2032,APT,0,990913044.00,990913044.00,503797070.44,162333333.33,190000000.00,134782640.23
Sep 03 2032,APT,0,990913044.00,990913044.00,503797070.44,162333333.33,190000000.00,134782640.23
Sep 03 2032,APT,0,990913044.00,990913044.00,503797070.44,162333333.33,190000000.00,134782640.23
Sep 02 2032,APT,0,990913044.00,990913044.00,503797070.44,162333333.33,190000000.00,134782640.23
Sep 01 2032,APT,0,990913044.00,990913044.00,503797070.44,162333333.33,190000000.00,134782640.23
Sep 01 2032,APT,0,990913044.00,990913044.00,503797070.44,162333333.33,190000000.00,134782640.23
Aug 31 2032,APT,0,990913044.00,990913044.00,503797070.44,162333333.33,190000000.00,134782640.23
