Date,Symbol,Price,Available Supply,Unlocked Supply,Block Rewards,Interchain Foundation,Seed Contributors,Public Fund Raisers,All in Bits Inc (Tendermint Inc.),Strategic and Early Adopters
Dec 31 2030,ATOM,0,747027647.62,747027647.62,510828689.62,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 30 2030,ATOM,0,746839344.25,746839344.25,510640386.25,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 29 2030,ATOM,0,746651040.88,746651040.88,510452082.88,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 28 2030,ATOM,0,746462737.51,746462737.51,510263779.51,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 27 2030,ATOM,0,746274434.14,746274434.14,510075476.14,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 26 2030,ATOM,0,746086130.77,746086130.77,509887172.77,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 25 2030,ATOM,0,745897827.40,745897827.40,509698869.40,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 24 2030,ATOM,0,745709524.03,745709524.03,509510566.03,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 23 2030,ATOM,0,745521220.66,745521220.66,509322262.66,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 23 2030,ATOM,0,745521220.66,745521220.66,509322262.66,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 22 2030,ATOM,0,745332917.29,745332917.29,509133959.29,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 21 2030,ATOM,0,745144613.92,745144613.92,508945655.92,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 20 2030,ATOM,0,744956310.55,744956310.55,508757352.55,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 19 2030,ATOM,0,744768007.18,744768007.18,508569049.18,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 18 2030,ATOM,0,744579703.81,744579703.81,508380745.81,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 17 2030,ATOM,0,744391400.44,744391400.44,508192442.44,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 16 2030,ATOM,0,744203097.07,744203097.07,508004139.07,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 15 2030,ATOM,0,744014793.70,744014793.70,507815835.70,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 14 2030,ATOM,0,743826490.33,743826490.33,507627532.33,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 13 2030,ATOM,0,743638186.96,743638186.96,507439228.96,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 12 2030,ATOM,0,743449883.59,743449883.59,507250925.59,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 11 2030,ATOM,0,743261580.22,743261580.22,507062622.22,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 10 2030,ATOM,0,743073276.85,743073276.85,506874318.85,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 09 2030,ATOM,0,742884973.48,742884973.48,506686015.48,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 08 2030,ATOM,0,742696670.11,742696670.11,506497712.11,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 08 2030,ATOM,0,742696670.11,742696670.11,506497712.11,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 07 2030,ATOM,0,742508366.74,742508366.74,506309408.74,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 06 2030,ATOM,0,742320063.37,742320063.37,506121105.37,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 05 2030,ATOM,0,742131760.00,742131760.00,505932802.00,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 04 2030,ATOM,0,741943456.63,741943456.63,505744498.63,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 03 2030,ATOM,0,741755153.26,741755153.26,505556195.26,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 02 2030,ATOM,0,741566849.89,741566849.89,505367891.89,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Dec 01 2030,ATOM,0,741378546.52,741378546.52,505179588.52,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Nov 30 2030,ATOM,0,741190243.15,741190243.15,504991285.15,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Nov 29 2030,ATOM,0,741001939.78,741001939.78,504802981.78,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Nov 28 2030,ATOM,0,740813636.41,740813636.41,504614678.41,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Nov 27 2030,ATOM,0,740625333.04,740625333.04,504426375.04,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Nov 26 2030,ATOM,0,740437029.67,740437029.67,504238071.67,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Nov 25 2030,ATOM,0,740248726.30,740248726.30,504049768.30,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Nov 24 2030,ATOM,0,740060422.93,740060422.93,503861464.93,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Nov 23 2030,ATOM,0,739872119.56,739872119.56,503673161.56,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Nov 23 2030,ATOM,0,739872119.56,739872119.56,503673161.56,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Nov 22 2030,ATOM,0,739683816.19,739683816.19,503484858.19,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
Nov 21 2030,ATOM,0,739495512.82,739495512.82,503296554.82,23619896.00,11998907.00,160284613.00,23690755.00,16604787.00
