Date,Symbol,Price,Available Supply,Unlocked Supply,Team,Community,Foundation,Strategic Sale 2,Seed Sale,Advisors and Partners,Strategic Sale 1,Marketing,Coinlist Public Sale,Early Adopters Rewards,Launch Pool,Ecosystem
Dec 05 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Dec 05 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Dec 04 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Dec 04 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Dec 03 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Dec 03 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Dec 02 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Dec 02 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Dec 02 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Dec 01 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Dec 01 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 30 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 30 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 29 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 29 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 28 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 28 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 28 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 27 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 27 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 26 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 26 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 25 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 25 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 25 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 24 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 24 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 23 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 23 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 22 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 22 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 22 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 21 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 21 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 20 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 20 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 19 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 19 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 19 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 18 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 18 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 17 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 17 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 16 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 16 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 15 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 15 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 15 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 14 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 14 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 13 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 13 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 12 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 12 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 12 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 11 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 11 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
Nov 10 2028,GAL,0,200000000.00,200000000.00,30000000.00,40000000.00,20000000.00,6994000.00,21266667.00,12459333.00,13280000.00,30000000.00,10000000.00,4000000.00,3000000.00,9000000.00
