Date,Symbol,Price,Available Supply,Unlocked Supply,Community Growth (TBD),Ecosystem Development,Investors,Core Contributors,Community Growth
Dec 07 2027,JTO,0,1000000000.00,757142857.00,242857143.00,250000000.00,162142857.00,245000000.00,100000000.00
Dec 07 2027,JTO,0,1000000000.00,757142857.00,242857143.00,250000000.00,162142857.00,245000000.00,100000000.00
Dec 06 2027,JTO,0,999301673.92,756444530.92,242857143.00,249714807.21,161978328.48,244751395.23,100000000.00
Dec 06 2027,JTO,0,999301673.92,756444530.92,242857143.00,249714807.21,161978328.48,244751395.23,100000000.00
Dec 06 2027,JTO,0,999301673.92,756444530.92,242857143.00,249714807.21,161978328.48,244751395.23,100000000.00
Dec 06 2027,JTO,0,999301673.92,756444530.92,242857143.00,249714807.21,161978328.48,244751395.23,100000000.00
Dec 05 2027,JTO,0,998882678.27,756025535.27,242857143.00,249543691.54,161879611.37,244602232.37,100000000.00
Dec 05 2027,JTO,0,998882678.27,756025535.27,242857143.00,249543691.54,161879611.37,244602232.37,100000000.00
Dec 05 2027,JTO,0,998882678.27,756025535.27,242857143.00,249543691.54,161879611.37,244602232.37,100000000.00
Dec 05 2027,JTO,0,998882678.27,756025535.27,242857143.00,249543691.54,161879611.37,244602232.37,100000000.00
Dec 04 2027,JTO,0,998463682.63,755606539.63,242857143.00,249372575.86,161780894.25,244453069.51,100000000.00
Dec 04 2027,JTO,0,998463682.63,755606539.63,242857143.00,249372575.86,161780894.25,244453069.51,100000000.00
Dec 04 2027,JTO,0,998463682.63,755606539.63,242857143.00,249372575.86,161780894.25,244453069.51,100000000.00
Dec 04 2027,JTO,0,998463682.63,755606539.63,242857143.00,249372575.86,161780894.25,244453069.51,100000000.00
Dec 03 2027,JTO,0,998044686.98,755187543.98,242857143.00,249201460.19,161682177.14,244303906.65,100000000.00
Dec 03 2027,JTO,0,998044686.98,755187543.98,242857143.00,249201460.19,161682177.14,244303906.65,100000000.00
Dec 03 2027,JTO,0,998044686.98,755187543.98,242857143.00,249201460.19,161682177.14,244303906.65,100000000.00
Dec 03 2027,JTO,0,998044686.98,755187543.98,242857143.00,249201460.19,161682177.14,244303906.65,100000000.00
Dec 02 2027,JTO,0,997625691.33,754768548.33,242857143.00,249030344.51,161583460.03,244154743.79,100000000.00
Dec 02 2027,JTO,0,997625691.33,754768548.33,242857143.00,249030344.51,161583460.03,244154743.79,100000000.00
Dec 02 2027,JTO,0,997625691.33,754768548.33,242857143.00,249030344.51,161583460.03,244154743.79,100000000.00
Dec 01 2027,JTO,0,997206695.68,754349552.68,242857143.00,248859228.84,161484742.92,244005580.93,100000000.00
Dec 01 2027,JTO,0,997206695.68,754349552.68,242857143.00,248859228.84,161484742.92,244005580.93,100000000.00
Dec 01 2027,JTO,0,997206695.68,754349552.68,242857143.00,248859228.84,161484742.92,244005580.93,100000000.00
Dec 01 2027,JTO,0,997206695.68,754349552.68,242857143.00,248859228.84,161484742.92,244005580.93,100000000.00
Nov 30 2027,JTO,0,996787700.03,753930557.03,242857143.00,248688113.16,161386025.81,243856418.06,100000000.00
Nov 30 2027,JTO,0,996787700.03,753930557.03,242857143.00,248688113.16,161386025.81,243856418.06,100000000.00
Nov 30 2027,JTO,0,996787700.03,753930557.03,242857143.00,248688113.16,161386025.81,243856418.06,100000000.00
Nov 30 2027,JTO,0,996787700.03,753930557.03,242857143.00,248688113.16,161386025.81,243856418.06,100000000.00
Nov 29 2027,JTO,0,996368704.39,753511561.39,242857143.00,248516997.49,161287308.69,243707255.20,100000000.00
Nov 29 2027,JTO,0,996368704.39,753511561.39,242857143.00,248516997.49,161287308.69,243707255.20,100000000.00
Nov 29 2027,JTO,0,996368704.39,753511561.39,242857143.00,248516997.49,161287308.69,243707255.20,100000000.00
Nov 29 2027,JTO,0,996368704.39,753511561.39,242857143.00,248516997.49,161287308.69,243707255.20,100000000.00
Nov 28 2027,JTO,0,995949708.74,753092565.74,242857143.00,248345881.82,161188591.58,243558092.34,100000000.00
Nov 28 2027,JTO,0,995949708.74,753092565.74,242857143.00,248345881.82,161188591.58,243558092.34,100000000.00
Nov 28 2027,JTO,0,995949708.74,753092565.74,242857143.00,248345881.82,161188591.58,243558092.34,100000000.00
Nov 28 2027,JTO,0,995949708.74,753092565.74,242857143.00,248345881.82,161188591.58,243558092.34,100000000.00
Nov 27 2027,JTO,0,995530713.09,752673570.09,242857143.00,248174766.14,161089874.47,243408929.48,100000000.00
Nov 27 2027,JTO,0,995530713.09,752673570.09,242857143.00,248174766.14,161089874.47,243408929.48,100000000.00
Nov 27 2027,JTO,0,995530713.09,752673570.09,242857143.00,248174766.14,161089874.47,243408929.48,100000000.00
Nov 26 2027,JTO,0,995111717.44,752254574.44,242857143.00,248003650.47,160991157.36,243259766.62,100000000.00
Nov 26 2027,JTO,0,995111717.44,752254574.44,242857143.00,248003650.47,160991157.36,243259766.62,100000000.00
Nov 26 2027,JTO,0,995111717.44,752254574.44,242857143.00,248003650.47,160991157.36,243259766.62,100000000.00
Nov 26 2027,JTO,0,995111717.44,752254574.44,242857143.00,248003650.47,160991157.36,243259766.62,100000000.00
Nov 25 2027,JTO,0,994692721.80,751835578.80,242857143.00,247832534.79,160892440.24,243110603.76,100000000.00
Nov 25 2027,JTO,0,994692721.80,751835578.80,242857143.00,247832534.79,160892440.24,243110603.76,100000000.00
Nov 25 2027,JTO,0,994692721.80,751835578.80,242857143.00,247832534.79,160892440.24,243110603.76,100000000.00
Nov 25 2027,JTO,0,994692721.80,751835578.80,242857143.00,247832534.79,160892440.24,243110603.76,100000000.00
Nov 24 2027,JTO,0,994273726.15,751416583.15,242857143.00,247661419.12,160793723.13,242961440.90,100000000.00
Nov 24 2027,JTO,0,994273726.15,751416583.15,242857143.00,247661419.12,160793723.13,242961440.90,100000000.00
Nov 24 2027,JTO,0,994273726.15,751416583.15,242857143.00,247661419.12,160793723.13,242961440.90,100000000.00
Nov 24 2027,JTO,0,994273726.15,751416583.15,242857143.00,247661419.12,160793723.13,242961440.90,100000000.00
Nov 23 2027,JTO,0,993854730.50,750997587.50,242857143.00,247490303.45,160695006.02,242812278.04,100000000.00
Nov 23 2027,JTO,0,993854730.50,750997587.50,242857143.00,247490303.45,160695006.02,242812278.04,100000000.00
Nov 23 2027,JTO,0,993854730.50,750997587.50,242857143.00,247490303.45,160695006.02,242812278.04,100000000.00
Nov 23 2027,JTO,0,993854730.50,750997587.50,242857143.00,247490303.45,160695006.02,242812278.04,100000000.00
Nov 22 2027,JTO,0,993435734.85,750578591.85,242857143.00,247319187.77,160596288.91,242663115.17,100000000.00
Nov 22 2027,JTO,0,993435734.85,750578591.85,242857143.00,247319187.77,160596288.91,242663115.17,100000000.00
Nov 22 2027,JTO,0,993435734.85,750578591.85,242857143.00,247319187.77,160596288.91,242663115.17,100000000.00
Nov 21 2027,JTO,0,993016739.20,750159596.20,242857143.00,247148072.10,160497571.79,242513952.31,100000000.00
Nov 21 2027,JTO,0,993016739.20,750159596.20,242857143.00,247148072.10,160497571.79,242513952.31,100000000.00
Nov 21 2027,JTO,0,993016739.20,750159596.20,242857143.00,247148072.10,160497571.79,242513952.31,100000000.00
Nov 21 2027,JTO,0,993016739.20,750159596.20,242857143.00,247148072.10,160497571.79,242513952.31,100000000.00
Nov 20 2027,JTO,0,992597743.56,749740600.56,242857143.00,246976956.42,160398854.68,242364789.45,100000000.00
Nov 20 2027,JTO,0,992597743.56,749740600.56,242857143.00,246976956.42,160398854.68,242364789.45,100000000.00
Nov 20 2027,JTO,0,992597743.56,749740600.56,242857143.00,246976956.42,160398854.68,242364789.45,100000000.00
Nov 20 2027,JTO,0,992597743.56,749740600.56,242857143.00,246976956.42,160398854.68,242364789.45,100000000.00
Nov 19 2027,JTO,0,992178747.91,749321604.91,242857143.00,246805840.75,160300137.57,242215626.59,100000000.00
Nov 19 2027,JTO,0,992178747.91,749321604.91,242857143.00,246805840.75,160300137.57,242215626.59,100000000.00
Nov 19 2027,JTO,0,992178747.91,749321604.91,242857143.00,246805840.75,160300137.57,242215626.59,100000000.00
Nov 19 2027,JTO,0,992178747.91,749321604.91,242857143.00,246805840.75,160300137.57,242215626.59,100000000.00
Nov 18 2027,JTO,0,991759752.26,748902609.26,242857143.00,246634725.07,160201420.46,242066463.73,100000000.00
Nov 18 2027,JTO,0,991759752.26,748902609.26,242857143.00,246634725.07,160201420.46,242066463.73,100000000.00
