Date,Symbol,Price,Available Supply,Unlocked Supply,OKT Staking rewards
Jun 18 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 17 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 17 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 16 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 16 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 15 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 15 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 14 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 14 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 13 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 12 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 12 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 11 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 11 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 10 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 10 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 09 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 09 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 08 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 07 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 07 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 06 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 06 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 05 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 05 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 04 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 04 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 03 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 02 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 02 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 01 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 01 2029,OKT,0,21021666.00,21021666.00,21021666.00
May 31 2029,OKT,0,21021666.00,21021666.00,21021666.00
May 31 2029,OKT,0,21021666.00,21021666.00,21021666.00
May 30 2029,OKT,0,21021666.00,21021666.00,21021666.00
May 30 2029,OKT,0,21021666.00,21021666.00,21021666.00
May 29 2029,OKT,0,21021666.00,21021666.00,21021666.00
May 28 2029,OKT,0,21021666.00,21021666.00,21021666.00
May 28 2029,OKT,0,21021666.00,21021666.00,21021666.00
May 27 2029,OKT,0,21021666.00,21021666.00,21021666.00
May 27 2029,OKT,0,21021666.00,21021666.00,21021666.00
May 26 2029,OKT,0,21021666.00,21021666.00,21021666.00
May 26 2029,OKT,0,21021666.00,21021666.00,21021666.00
May 25 2029,OKT,0,21021666.00,21021666.00,21021666.00
May 25 2029,OKT,0,21021666.00,21021666.00,21021666.00
May 24 2029,OKT,0,21021666.00,21021666.00,21021666.00
May 23 2029,OKT,0,21021666.00,21021666.00,21021666.00
May 23 2029,OKT,0,21021666.00,21021666.00,21021666.00
May 22 2029,OKT,0,21021666.00,21021666.00,21021666.00
May 22 2029,OKT,0,21021666.00,21021666.00,21021666.00
May 21 2029,OKT,0,21021666.00,21021666.00,21021666.00
May 21 2029,OKT,0,21021666.00,21021666.00,21021666.00
May 20 2029,OKT,0,21021666.00,21021666.00,21021666.00
