Date,Symbol,Price,Available Supply,Unlocked Supply,Community Pool,Staking Rewards,Developer Vesting,Liquidity Mining Incentives,Airdrop,Strategic Reserve
Nov 02 2048,OSMO,0,998175823.11,998175823.11,92641793.41,323951299.55,224543955.77,257038774.38,50000000.00,50000000.00
Nov 01 2048,OSMO,0,998174415.38,998174415.38,92641723.03,323950595.69,224543603.84,257038492.83,50000000.00,50000000.00
Oct 31 2048,OSMO,0,998173007.64,998173007.64,92641652.64,323949891.82,224543251.90,257038211.28,50000000.00,50000000.00
Oct 30 2048,OSMO,0,998171599.91,998171599.91,92641582.25,323949187.95,224542899.97,257037929.73,50000000.00,50000000.00
Oct 29 2048,OSMO,0,998170192.18,998170192.18,92641511.87,323948484.08,224542548.04,257037648.19,50000000.00,50000000.00
Oct 27 2048,OSMO,0,998167376.71,998167376.71,92641371.09,323947076.35,224541844.17,257037085.09,50000000.00,50000000.00
Oct 26 2048,OSMO,0,998165968.97,998165968.97,92641300.71,323946372.48,224541492.24,257036803.55,50000000.00,50000000.00
Oct 25 2048,OSMO,0,998164561.24,998164561.24,92641230.32,323945668.62,224541140.30,257036522.00,50000000.00,50000000.00
Oct 24 2048,OSMO,0,998163153.50,998163153.50,92641159.93,323944964.75,224540788.37,257036240.45,50000000.00,50000000.00
Oct 23 2048,OSMO,0,998161745.77,998161745.77,92641089.55,323944260.88,224540436.43,257035958.91,50000000.00,50000000.00
Oct 22 2048,OSMO,0,998160338.03,998160338.03,92641019.16,323943557.01,224540084.50,257035677.36,50000000.00,50000000.00
Oct 21 2048,OSMO,0,998158930.30,998158930.30,92640948.77,323942853.15,224539732.57,257035395.81,50000000.00,50000000.00
Oct 20 2048,OSMO,0,998157522.56,998157522.56,92640878.39,323942149.28,224539380.63,257035114.26,50000000.00,50000000.00
Oct 19 2048,OSMO,0,998156114.83,998156114.83,92640808.00,323941445.41,224539028.70,257034832.72,50000000.00,50000000.00
Oct 17 2048,OSMO,0,998153299.36,998153299.36,92640667.23,323940037.68,224538324.83,257034269.62,50000000.00,50000000.00
Oct 16 2048,OSMO,0,998151891.62,998151891.62,92640596.84,323939333.81,224537972.90,257033988.08,50000000.00,50000000.00
Oct 15 2048,OSMO,0,998150483.89,998150483.89,92640526.45,323938629.94,224537620.96,257033706.53,50000000.00,50000000.00
Oct 14 2048,OSMO,0,998149076.15,998149076.15,92640456.07,323937926.08,224537269.03,257033424.98,50000000.00,50000000.00
Oct 13 2048,OSMO,0,998147668.42,998147668.42,92640385.68,323937222.21,224536917.10,257033143.44,50000000.00,50000000.00
Oct 12 2048,OSMO,0,998146260.69,998146260.69,92640315.29,323936518.34,224536565.16,257032861.89,50000000.00,50000000.00
Oct 11 2048,OSMO,0,998144852.95,998144852.95,92640244.91,323935814.47,224536213.23,257032580.34,50000000.00,50000000.00
Oct 10 2048,OSMO,0,998143445.22,998143445.22,92640174.52,323935110.61,224535861.30,257032298.79,50000000.00,50000000.00
Oct 08 2048,OSMO,0,998140629.75,998140629.75,92640033.75,323933702.87,224535157.43,257031735.70,50000000.00,50000000.00
Oct 07 2048,OSMO,0,998139222.01,998139222.01,92639963.36,323932999.00,224534805.50,257031454.15,50000000.00,50000000.00
Oct 06 2048,OSMO,0,998137814.28,998137814.28,92639892.97,323932295.14,224534453.56,257031172.61,50000000.00,50000000.00
Oct 05 2048,OSMO,0,998136406.54,998136406.54,92639822.59,323931591.27,224534101.63,257030891.06,50000000.00,50000000.00
Oct 04 2048,OSMO,0,998134998.81,998134998.81,92639752.20,323930887.40,224533749.69,257030609.51,50000000.00,50000000.00
Oct 03 2048,OSMO,0,998133591.07,998133591.07,92639681.81,323930183.54,224533397.76,257030327.97,50000000.00,50000000.00
Oct 02 2048,OSMO,0,998132183.34,998132183.34,92639611.42,323929479.67,224533045.83,257030046.42,50000000.00,50000000.00
Oct 01 2048,OSMO,0,998130775.60,998130775.60,92639541.04,323928775.80,224532693.89,257029764.87,50000000.00,50000000.00
Sep 30 2048,OSMO,0,998129367.87,998129367.87,92639470.65,323928071.93,224532341.96,257029483.32,50000000.00,50000000.00
Sep 28 2048,OSMO,0,998126552.40,998126552.40,92639329.88,323926664.20,224531638.09,257028920.23,50000000.00,50000000.00
