Date,Symbol,Price,Available Supply,Unlocked Supply,Community Incentives,Staking Rewards,Sky Mavis,Ecosystem Fund
Apr 27 2031,RON,0,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Apr 26 2031,RON,0,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Apr 26 2031,RON,0,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Apr 25 2031,RON,0,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Apr 25 2031,RON,0,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Apr 24 2031,RON,0,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Apr 23 2031,RON,0,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Apr 23 2031,RON,0,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Apr 22 2031,RON,0,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Apr 22 2031,RON,0,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Apr 21 2031,RON,0,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Apr 20 2031,RON,0,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Apr 20 2031,RON,0,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Apr 19 2031,RON,0,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Apr 18 2031,RON,0,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Apr 18 2031,RON,0,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Apr 17 2031,RON,0,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Apr 17 2031,RON,0,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Apr 16 2031,RON,0,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Apr 15 2031,RON,0,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Apr 15 2031,RON,0,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Apr 14 2031,RON,0,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Apr 14 2031,RON,0,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Apr 13 2031,RON,0,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Apr 12 2031,RON,0,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
Apr 12 2031,RON,0,1000000000.00,1000000000.00,300000000.00,250000000.00,300000000.00,150000000.00
