Date,Symbol,Price,Available Supply,Unlocked Supply,Private Sale Investors,Team,Foundation,Ecosystem Reserve,Binance Launchpool
Nov 15 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 15 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 14 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 14 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 13 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 13 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 12 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 12 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 11 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 11 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 10 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 10 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 09 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 09 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 08 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 08 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 07 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 07 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 06 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 06 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 05 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 05 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 05 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 04 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 04 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 03 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 03 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 02 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 02 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 01 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 01 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 31 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 31 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 30 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 30 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 29 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 29 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 28 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 28 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 27 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 27 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 26 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 26 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 25 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 25 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 25 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 24 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 24 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 23 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 23 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 22 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 22 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 21 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 21 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 20 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 20 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 19 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 19 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 18 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 18 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 17 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 17 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 16 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 16 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 15 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
