Date,Symbol,Price,Available Supply,Unlocked Supply,AGIX-ADA Utility,Campaign Supporters,SingularityNET Foundation,Founders,Reward Pool,Token Sale
Oct 20 2097,AGIX,0,1999999057.10,1999999057.10,999999057.10,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Sep 27 2097,AGIX,0,1999999042.80,1999999042.80,999999042.80,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Sep 05 2097,AGIX,0,1999999042.80,1999999042.80,999999042.80,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Aug 13 2097,AGIX,0,1999999028.20,1999999028.20,999999028.20,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jul 21 2097,AGIX,0,1999999013.40,1999999013.40,999999013.40,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jun 29 2097,AGIX,0,1999999013.40,1999999013.40,999999013.40,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jun 06 2097,AGIX,0,1999998998.40,1999998998.40,999998998.40,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
May 14 2097,AGIX,0,1999998983.10,1999998983.10,999998983.10,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Apr 21 2097,AGIX,0,1999998967.60,1999998967.60,999998967.60,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Mar 30 2097,AGIX,0,1999998967.60,1999998967.60,999998967.60,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Mar 07 2097,AGIX,0,1999998951.90,1999998951.90,999998951.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Feb 12 2097,AGIX,0,1999998935.90,1999998935.90,999998935.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jan 21 2097,AGIX,0,1999998919.70,1999998919.70,999998919.70,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Dec 29 2096,AGIX,0,1999998919.70,1999998919.70,999998919.70,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Dec 06 2096,AGIX,0,1999998903.30,1999998903.30,999998903.30,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Nov 14 2096,AGIX,0,1999998886.60,1999998886.60,999998886.60,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Oct 22 2096,AGIX,0,1999998869.60,1999998869.60,999998869.60,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Sep 29 2096,AGIX,0,1999998869.60,1999998869.60,999998869.60,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Sep 07 2096,AGIX,0,1999998852.40,1999998852.40,999998852.40,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Aug 15 2096,AGIX,0,1999998834.90,1999998834.90,999998834.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jul 23 2096,AGIX,0,1999998817.20,1999998817.20,999998817.20,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jul 01 2096,AGIX,0,1999998817.20,1999998817.20,999998817.20,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jun 08 2096,AGIX,0,1999998799.20,1999998799.20,999998799.20,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
May 16 2096,AGIX,0,1999998780.90,1999998780.90,999998780.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Apr 23 2096,AGIX,0,1999998762.30,1999998762.30,999998762.30,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Apr 01 2096,AGIX,0,1999998762.30,1999998762.30,999998762.30,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Mar 09 2096,AGIX,0,1999998743.50,1999998743.50,999998743.50,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Feb 15 2096,AGIX,0,1999998724.30,1999998724.30,999998724.30,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jan 24 2096,AGIX,0,1999998704.90,1999998704.90,999998704.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jan 01 2096,AGIX,0,1999998704.90,1999998704.90,999998704.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Dec 09 2095,AGIX,0,1999998685.20,1999998685.20,999998685.20,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Nov 17 2095,AGIX,0,1999998665.20,1999998665.20,999998665.20,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Oct 25 2095,AGIX,0,1999998644.80,1999998644.80,999998644.80,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Oct 02 2095,AGIX,0,1999998644.80,1999998644.80,999998644.80,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Sep 10 2095,AGIX,0,1999998624.20,1999998624.20,999998624.20,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Aug 18 2095,AGIX,0,1999998603.30,1999998603.30,999998603.30,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jul 26 2095,AGIX,0,1999998582.00,1999998582.00,999998582.00,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jul 04 2095,AGIX,0,1999998582.00,1999998582.00,999998582.00,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jun 11 2095,AGIX,0,1999998560.40,1999998560.40,999998560.40,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
May 19 2095,AGIX,0,1999998538.50,1999998538.50,999998538.50,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Apr 26 2095,AGIX,0,1999998516.20,1999998516.20,999998516.20,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Apr 04 2095,AGIX,0,1999998516.20,1999998516.20,999998516.20,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Mar 12 2095,AGIX,0,1999998493.60,1999998493.60,999998493.60,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Feb 17 2095,AGIX,0,1999998470.70,1999998470.70,999998470.70,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jan 26 2095,AGIX,0,1999998447.40,1999998447.40,999998447.40,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jan 03 2095,AGIX,0,1999998447.40,1999998447.40,999998447.40,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Dec 11 2094,AGIX,0,1999998423.70,1999998423.70,999998423.70,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Nov 19 2094,AGIX,0,1999998399.70,1999998399.70,999998399.70,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Oct 27 2094,AGIX,0,1999998375.40,1999998375.40,999998375.40,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Oct 04 2094,AGIX,0,1999998375.40,1999998375.40,999998375.40,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Sep 12 2094,AGIX,0,1999998350.60,1999998350.60,999998350.60,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Aug 20 2094,AGIX,0,1999998325.50,1999998325.50,999998325.50,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jul 28 2094,AGIX,0,1999998325.50,1999998325.50,999998325.50,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jul 05 2094,AGIX,0,1999998300.00,1999998300.00,999998300.00,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jun 13 2094,AGIX,0,1999998274.10,1999998274.10,999998274.10,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
May 21 2094,AGIX,0,1999998247.80,1999998247.80,999998247.80,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Apr 28 2094,AGIX,0,1999998247.80,1999998247.80,999998247.80,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Apr 06 2094,AGIX,0,1999998221.20,1999998221.20,999998221.20,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Mar 14 2094,AGIX,0,1999998194.10,1999998194.10,999998194.10,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Feb 19 2094,AGIX,0,1999998166.60,1999998166.60,999998166.60,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jan 28 2094,AGIX,0,1999998166.60,1999998166.60,999998166.60,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jan 05 2094,AGIX,0,1999998138.60,1999998138.60,999998138.60,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Dec 13 2093,AGIX,0,1999998110.30,1999998110.30,999998110.30,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Nov 21 2093,AGIX,0,1999998081.50,1999998081.50,999998081.50,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Oct 29 2093,AGIX,0,1999998081.50,1999998081.50,999998081.50,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
