Date,Symbol,Price,Available Supply,Unlocked Supply,New Issuance,Graph Foundation,Edge & Node,Curator Program Grants,Early Team & Advisors,Testnet Indexer Rewards,Backers,Early Backers,Strategic GRT Sale,Public GRT Sale,Bug Bounties,Educational Programs
Dec 17 2028,GRT,0,10335000000.00,10335000000.00,300000000.00,2030000000.00,800000000.00,315000000.00,2300000000.00,315000000.00,1700000000.00,1700000000.00,210000000.00,420000000.00,35000000.00,210000000.00
Dec 16 2028,GRT,0,10334320036.50,10334320036.50,299890510.95,2029429525.55,800000000.00,315000000.00,2300000000.00,315000000.00,1700000000.00,1700000000.00,210000000.00,420000000.00,35000000.00,210000000.00
Dec 16 2028,GRT,0,10334320036.50,10334320036.50,299890510.95,2029429525.55,800000000.00,315000000.00,2300000000.00,315000000.00,1700000000.00,1700000000.00,210000000.00,420000000.00,35000000.00,210000000.00
Dec 15 2028,GRT,0,10333640072.99,10333640072.99,299781021.90,2028859051.09,800000000.00,315000000.00,2300000000.00,315000000.00,1700000000.00,1700000000.00,210000000.00,420000000.00,35000000.00,210000000.00
Dec 15 2028,GRT,0,10333640072.99,10333640072.99,299781021.90,2028859051.09,800000000.00,315000000.00,2300000000.00,315000000.00,1700000000.00,1700000000.00,210000000.00,420000000.00,35000000.00,210000000.00
Dec 14 2028,GRT,0,10332960109.49,10332960109.49,299671532.85,2028288576.64,800000000.00,315000000.00,2300000000.00,315000000.00,1700000000.00,1700000000.00,210000000.00,420000000.00,35000000.00,210000000.00
Dec 14 2028,GRT,0,10332960109.49,10332960109.49,299671532.85,2028288576.64,800000000.00,315000000.00,2300000000.00,315000000.00,1700000000.00,1700000000.00,210000000.00,420000000.00,35000000.00,210000000.00
Dec 13 2028,GRT,0,10332280145.99,10332280145.99,299562043.80,2027718102.19,800000000.00,315000000.00,2300000000.00,315000000.00,1700000000.00,1700000000.00,210000000.00,420000000.00,35000000.00,210000000.00
Dec 13 2028,GRT,0,10332280145.99,10332280145.99,299562043.80,2027718102.19,800000000.00,315000000.00,2300000000.00,315000000.00,1700000000.00,1700000000.00,210000000.00,420000000.00,35000000.00,210000000.00
Dec 12 2028,GRT,0,10331600182.48,10331600182.48,299452554.74,2027147627.74,800000000.00,315000000.00,2300000000.00,315000000.00,1700000000.00,1700000000.00,210000000.00,420000000.00,35000000.00,210000000.00
Dec 12 2028,GRT,0,10331600182.48,10331600182.48,299452554.74,2027147627.74,800000000.00,315000000.00,2300000000.00,315000000.00,1700000000.00,1700000000.00,210000000.00,420000000.00,35000000.00,210000000.00
Dec 11 2028,GRT,0,10330920218.98,10330920218.98,299343065.69,2026577153.28,800000000.00,315000000.00,2300000000.00,315000000.00,1700000000.00,1700000000.00,210000000.00,420000000.00,35000000.00,210000000.00
Dec 11 2028,GRT,0,10330920218.98,10330920218.98,299343065.69,2026577153.28,800000000.00,315000000.00,2300000000.00,315000000.00,1700000000.00,1700000000.00,210000000.00,420000000.00,35000000.00,210000000.00
Dec 10 2028,GRT,0,10330240255.47,10330240255.47,299233576.64,2026006678.83,800000000.00,315000000.00,2300000000.00,315000000.00,1700000000.00,1700000000.00,210000000.00,420000000.00,35000000.00,210000000.00
Dec 10 2028,GRT,0,10330240255.47,10330240255.47,299233576.64,2026006678.83,800000000.00,315000000.00,2300000000.00,315000000.00,1700000000.00,1700000000.00,210000000.00,420000000.00,35000000.00,210000000.00
