Date,Symbol,Price,Unlocked Supply,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2020-10-01,AAVE,0.0,0,0,0,0.0,0.0,no unlock,
2020-10-02,AAVE,0.0,13000057,1,0,0.0,0.0,no unlock,0.0
2020-10-03,AAVE,56.16,13000457,1,0,0.0,0.0,no unlock,0.0
2020-10-04,AAVE,56.16,13000857,1,0,0.0,0.0,no unlock,0.0
2020-10-05,AAVE,52.83,13001257,1,0,0.0,0.0,no unlock,0.0
2020-10-06,AAVE,52.73,13001657,1,0,0.0,0.0,no unlock,0.0
2020-10-07,AAVE,41.51,13002057,1,0,0.0,0.0,no unlock,0.0
2020-10-08,AAVE,40.23,13002457,1,0,0.0,0.0,no unlock,0.0
2020-10-09,AAVE,45.82,13002857,1,0,0.0,0.0,no unlock,0.0
2020-10-10,AAVE,49.15,13003257,1,0,0.0,0.0,no unlock,0.0
2020-10-11,AAVE,51.07,13003657,1,0,0.0,0.0,no unlock,0.0
2020-10-12,AAVE,50.07,13004057,1,0,0.0,0.0,no unlock,0.0
2020-10-13,AAVE,51.36,13004457,1,0,0.0,0.0,no unlock,0.0
2020-10-14,AAVE,51.1,13004857,1,0,0.0,0.0,no unlock,0.0
2020-10-15,AAVE,52.87,13005257,1,0,0.0,0.0,no unlock,0.0
2020-10-16,AAVE,44.37,13005657,1,0,0.0,0.0,no unlock,0.0
2020-10-17,AAVE,39.44,13006057,1,0,0.0,0.0,no unlock,0.0
2020-10-18,AAVE,41.19,13006457,1,0,0.0,0.0,no unlock,0.0
2020-10-19,AAVE,40.82,13006857,1,0,0.0,0.0,no unlock,0.0
2020-10-20,AAVE,36.02,13007257,1,0,0.0,0.0,no unlock,0.0
2020-10-21,AAVE,32.12,13007657,1,0,0.0,0.0,no unlock,0.0
2020-10-22,AAVE,35.04,13008057,1,0,0.0,0.0,no unlock,0.0
2020-10-23,AAVE,38.12,13008457,1,0,0.0,0.0,no unlock,0.0
2020-10-24,AAVE,41.56,13008857,1,0,0.0,0.0,no unlock,0.0
2020-10-25,AAVE,39.41,13009257,1,0,0.0,0.0,no unlock,0.0
2020-10-26,AAVE,37.91,13009657,1,0,0.0,0.0,no unlock,0.0
2020-10-27,AAVE,36.01,13010057,1,0,0.0,0.0,no unlock,0.0
2020-10-28,AAVE,34.88,13010457,1,0,0.0,0.0,no unlock,0.0
2020-10-29,AAVE,32.41,13010857,1,0,0.0,0.0,no unlock,0.0
2020-10-30,AAVE,29.18,13011257,1,0,0.0,0.0,no unlock,0.0
2020-10-31,AAVE,31.1,13011657,1,0,0.0,0.0,no unlock,0.0
2020-11-01,AAVE,29.67,13012057,1,0,0.0,0.0,no unlock,0.0
2020-11-02,AAVE,30.56,13012457,1,0,0.0,0.0,no unlock,0.0
2020-11-03,AAVE,29.77,13012857,1,0,0.0,0.0,no unlock,0.0
2020-11-04,AAVE,28.07,13013257,1,0,0.0,0.0,no unlock,0.0
2020-11-05,AAVE,27.66,13013657,1,0,0.0,0.0,no unlock,0.0
2020-11-06,AAVE,31.11,13014057,1,0,0.0,0.0,no unlock,0.0
2020-11-07,AAVE,38.25,13014457,1,0,0.0,0.0,no unlock,0.0
2020-11-08,AAVE,44.78,13014857,1,0,0.0,0.0,no unlock,0.0
2020-11-09,AAVE,53.66,13015257,1,0,0.0,0.0,no unlock,0.0
2020-11-10,AAVE,55.02,13015657,1,0,0.0,0.0,no unlock,0.0
2020-11-11,AAVE,66.91,13016057,1,0,0.0,0.0,no unlock,0.0
2020-11-12,AAVE,54.47,13016457,1,0,0.0,0.0,no unlock,0.0
2020-11-13,AAVE,51.71,13016857,1,0,0.0,0.0,no unlock,0.0
2020-11-14,AAVE,63.81,13017257,1,0,0.0,0.0,no unlock,0.0
2020-11-15,AAVE,67.01,13017657,1,0,0.0,0.0,no unlock,0.0
2020-11-16,AAVE,64.1,13018057,1,0,0.0,0.0,no unlock,0.0
2020-11-17,AAVE,72.68,13018457,1,0,0.0,0.0,no unlock,0.0
2020-11-18,AAVE,79.59,13018857,1,0,0.0,0.0,no unlock,0.0
2020-11-19,AAVE,75.72,13019257,1,0,0.0,0.0,no unlock,0.0
2020-11-20,AAVE,75.83,13019657,1,0,0.0,0.0,no unlock,0.0
2020-11-21,AAVE,74.87,13020057,1,0,0.0,0.0,no unlock,0.0
2020-11-22,AAVE,70.21,13020457,1,0,0.0,0.0,no unlock,0.0
2020-11-23,AAVE,68.95,13020857,1,0,0.0,0.0,no unlock,0.0
2020-11-24,AAVE,72.11,13021257,1,0,0.0,0.0,no unlock,0.0
2020-11-25,AAVE,66.53,13021657,1,0,0.0,0.0,no unlock,0.0
2020-11-26,AAVE,61.9,13022057,1,0,0.0,0.0,no unlock,0.0
2020-11-27,AAVE,64.06,13022457,1,0,0.0,0.0,no unlock,0.0
2020-11-28,AAVE,60.95,13022857,1,0,0.0,0.0,no unlock,0.0
2020-11-29,AAVE,63.78,13023257,1,0,0.0,0.0,no unlock,0.0
2020-11-30,AAVE,68.62,13023657,1,0,0.0,0.0,no unlock,0.0
2020-12-01,AAVE,75.91,13024057,1,0,0.0,0.0,no unlock,0.0
2020-12-02,AAVE,74.81,13024457,1,0,0.0,0.0,no unlock,0.0
2020-12-03,AAVE,86.75,13024857,1,0,0.0,0.0,no unlock,0.0
2020-12-04,AAVE,91.35,13025257,1,0,0.0,0.0,no unlock,0.0
2020-12-05,AAVE,81.63,13025657,1,0,0.0,0.0,no unlock,0.0
2020-12-06,AAVE,91.9,13026057,1,0,0.0,0.0,no unlock,0.0
2020-12-07,AAVE,87.89,13026457,1,0,0.0,0.0,no unlock,0.0
2020-12-08,AAVE,90.85,13026857,1,0,0.0,0.0,no unlock,0.0
2020-12-09,AAVE,80.03,13027257,1,0,0.0,0.0,no unlock,0.0
2020-12-10,AAVE,84.4,13027657,1,0,0.0,0.0,no unlock,0.0
