Date,Symbol,Price,Unlocked Supply,Founder / Team,Private Investors,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2024-03-13,AEVO,0.0,122000000,0,0,0,0,0.0,0.0,no unlock,0.0
2024-03-14,AEVO,3.1,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-03-15,AEVO,3.06,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-03-16,AEVO,2.74,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-03-17,AEVO,2.86,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-03-18,AEVO,2.78,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-03-19,AEVO,2.3,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-03-20,AEVO,2.12,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-03-21,AEVO,2.54,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-03-22,AEVO,2.5,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-03-23,AEVO,2.35,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-03-24,AEVO,2.44,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-03-25,AEVO,2.45,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-03-26,AEVO,2.48,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-03-27,AEVO,2.45,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-03-28,AEVO,3.33,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-03-29,AEVO,3.18,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-03-30,AEVO,3.21,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-03-31,AEVO,2.95,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-04-01,AEVO,2.96,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-04-02,AEVO,3.02,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-04-03,AEVO,3.13,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-04-04,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-04-05,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-04-06,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-04-07,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-04-08,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-04-09,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-04-10,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-04-11,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-04-12,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-04-13,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-04-14,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-04-15,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-04-16,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-04-17,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-04-18,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-04-19,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-04-20,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-04-21,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-04-22,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-04-23,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-04-24,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-04-25,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-04-26,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-04-27,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-04-28,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-04-29,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-04-30,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-05-01,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-05-02,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-05-03,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-05-04,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-05-05,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-05-06,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-05-07,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-05-08,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-05-09,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-05-10,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-05-11,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-05-12,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-05-13,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-05-14,AEVO,0.0,122000000,0,0,1,0,0.0,0.0,no unlock,0.0
2024-05-15,AEVO,0.0,949595494,215041243,172967957,1,388009200,388009200.0,inf,first cliff unlock,40.860471901101924
2024-05-16,AEVO,0.0,953689012,216256093,173945119,1,390201213,2192013.0,0.5649384086769077,first linear unlock,40.914932235792605
2024-05-17,AEVO,0.0,959822899,218076473,175409337,1,393485810,3284597.0,0.8417700638977769,linear unlock,40.99566809772476
2024-05-18,AEVO,0.0,965956785,219896852,176873555,1,396770408,3284598.0,0.8347436976189815,linear unlock,41.075378749992424
2024-05-19,AEVO,0.0,972090672,221717232,178337774,1,400055005,3284597.0,0.8278331583639674,linear unlock,41.15408330962772
2024-05-20,AEVO,0.0,978224559,223537611,179801992,1,403339603,3284598.0,0.8210365972049268,linear unlock,41.23180094888622
2024-05-21,AEVO,0.0,984358446,225357990,181266210,1,406624200,3284597.0,0.8143502337904568,linear unlock,41.308549914143775
2024-05-22,AEVO,0.0,990492333,227178370,182730428,1,409908798,3284598.0,0.8077723854113946,linear unlock,41.38434840363373
2024-05-23,AEVO,0.0,996626220,228998749,184194646,1,413193395,3284597.0,0.8012994636919211,linear unlock,41.4592137662202
2024-05-24,AEVO,0.0,1000000000,230000000,185000000,1,415000000,1806605.0,0.437229883599664,last linear unlock,41.5
2024-05-25,AEVO,0.0,1000000000,230000000,185000000,1,415000000,0.0,0.0,no unlock,41.5
2024-05-26,AEVO,0.0,1000000000,230000000,185000000,1,415000000,0.0,0.0,no unlock,41.5
2024-05-27,AEVO,0.0,1000000000,230000000,185000000,1,415000000,0.0,0.0,no unlock,41.5
2024-05-28,AEVO,0.0,1000000000,230000000,185000000,1,415000000,0.0,0.0,no unlock,41.5
2024-05-29,AEVO,0.0,1000000000,230000000,185000000,1,415000000,0.0,0.0,no unlock,41.5
2024-05-30,AEVO,0.0,1000000000,230000000,185000000,1,415000000,0.0,0.0,no unlock,41.5
2024-05-31,AEVO,0.0,1000000000,230000000,185000000,1,415000000,0.0,0.0,no unlock,41.5
2024-06-01,AEVO,0.0,1000000000,230000000,185000000,1,415000000,0.0,0.0,no unlock,41.5
2024-06-02,AEVO,0.0,1000000000,230000000,185000000,1,415000000,0.0,0.0,no unlock,41.5
2024-06-03,AEVO,0.0,1000000000,230000000,185000000,1,415000000,0.0,0.0,no unlock,41.5
2024-06-04,AEVO,0.0,1000000000,230000000,185000000,1,415000000,0.0,0.0,no unlock,41.5
2024-06-05,AEVO,0.0,1000000000,230000000,185000000,1,415000000,0.0,0.0,no unlock,41.5
2024-06-06,AEVO,0.0,1000000000,230000000,185000000,1,415000000,0.0,0.0,no unlock,41.5
2024-06-07,AEVO,0.0,1000000000,230000000,185000000,1,415000000,0.0,0.0,no unlock,41.5
2024-06-08,AEVO,0.0,1000000000,230000000,185000000,1,415000000,0.0,0.0,no unlock,41.5
2024-06-09,AEVO,0.0,1000000000,230000000,185000000,1,415000000,0.0,0.0,no unlock,41.5
2024-06-10,AEVO,0.0,1000000000,230000000,185000000,1,415000000,0.0,0.0,no unlock,41.5
2024-06-11,AEVO,0.0,1000000000,230000000,185000000,1,415000000,0.0,0.0,no unlock,41.5
2024-06-12,AEVO,0.0,1000000000,230000000,185000000,1,415000000,0.0,0.0,no unlock,41.5
2024-06-13,AEVO,0.0,1000000000,230000000,185000000,1,415000000,0.0,0.0,no unlock,41.5
2024-06-14,AEVO,0.0,1000000000,230000000,185000000,1,415000000,0.0,0.0,no unlock,41.5
2024-06-15,AEVO,0.0,1000000000,230000000,185000000,1,415000000,0.0,0.0,no unlock,41.5
2024-06-16,AEVO,0.0,1000000000,230000000,185000000,1,415000000,0.0,0.0,no unlock,41.5
2024-06-17,AEVO,0.0,1000000000,230000000,185000000,1,415000000,0.0,0.0,no unlock,41.5
2024-06-18,AEVO,0.0,1000000000,230000000,185000000,1,415000000,0.0,0.0,no unlock,41.5
