Date,Symbol,Price,Unlocked Supply,Founder / Team,Public Investors,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,tokens_unlocked,unlock_usd_value,insider_owned_float_percentage,daily_supply_increase_percentage
2019-06-19,ALGO,0,2500000000,2000000000,0,2000000000,0.0,0.0,no unlock,0.0,0.0,80.0,
2019-06-20,ALGO,0,2501986111,2000000000,347222,2000000000,0.0,0.0,no unlock,0.0,0.0,79.93649489927165,0.07944443999999999
2019-06-21,ALGO,2,2506752778,2000000000,1180556,2000000000,0.0,0.0,no unlock,0.0,4000000000.0,79.78449321179929,0.19051532616601322
2019-06-22,ALGO,3,2511519444,2000000000,2013889,2000000000,0.0,0.0,no unlock,0.0,2000000000.0,79.63306853060541,0.19015301555995723
2019-06-23,ALGO,2,2516286111,2000000000,2847222,2000000000,0.0,0.0,no unlock,0.0,-2000000000.0,79.48221751322141,0.18979215993678766
2019-06-24,ALGO,2,2521052778,2000000000,3680556,2000000000,0.0,0.0,no unlock,0.0,0.0,79.33193693733928,0.1894326316535473
2019-06-25,ALGO,1,2525819444,2000000000,4513889,2000000000,0.0,0.0,no unlock,0.0,-2000000000.0,79.1822236047368,0.18907442325667964
2019-06-26,ALGO,2,2530586111,2000000000,5347222,2000000000,0.0,0.0,no unlock,0.0,2000000000.0,79.03307424735961,0.18871764612166
2019-06-27,ALGO,2,2535352778,2000000000,6180556,2000000000,0.0,0.0,no unlock,0.0,0.0,78.88448571554171,0.18836217346171943
2019-06-28,ALGO,1,2540119444,2000000000,7013889,2000000000,0.0,0.0,no unlock,0.0,-2000000000.0,78.73645488302479,0.18800799799387918
2019-06-29,ALGO,1,2544886111,2000000000,7847222,2000000000,0.0,0.0,no unlock,0.0,0.0,78.58897855409766,0.18765523059395156
2019-06-30,ALGO,2,2549652778,2000000000,8680556,2000000000,0.0,0.0,no unlock,0.0,2000000000.0,78.4420536497068,0.1873037453187625
2019-07-01,ALGO,1,2554419444,2000000000,9513889,2000000000,0.0,0.0,no unlock,0.0,-2000000000.0,78.29567711355082,0.18695353505111667
2019-07-02,ALGO,1,2559186111,2000000000,10347222,2000000000,0.0,0.0,no unlock,0.0,0.0,78.14984582025969,0.18660471016990898
2019-07-03,ALGO,1,2563952778,2000000000,11180556,2000000000,0.0,0.0,no unlock,0.0,0.0,78.0045567594303,0.1862571455632599
2019-07-04,ALGO,1,2568719444,2000000000,12013889,2000000000,0.0,0.0,no unlock,0.0,0.0,77.859806942778,0.18591083427512328
2019-07-05,ALGO,1,2573486111,2000000000,12847222,2000000000,0.0,0.0,no unlock,0.0,0.0,77.71559331333808,0.18556588619025535
2019-07-06,ALGO,1,2578252778,2000000000,13680556,2000000000,0.0,0.0,no unlock,0.0,0.0,77.57191292746083,0.18522217701605462
2019-07-07,ALGO,1,2583019444,2000000000,14513889,2000000000,0.0,0.0,no unlock,0.0,0.0,77.42876286300228,0.18487969995314402
2019-07-08,ALGO,1,2587786111,2000000000,15347222,2000000000,0.0,0.0,no unlock,0.0,0.0,77.28614012953098,0.18453856439494926
2019-07-09,ALGO,1,2592552778,2000000000,16180556,2000000000,0.0,0.0,no unlock,0.0,0.0,77.14404184831604,0.1841986468564055
2019-07-10,ALGO,1,2597319444,2000000000,17013889,2000000000,0.0,0.0,no unlock,0.0,0.0,77.00246516153983,0.1838599406904726
2019-07-11,ALGO,1,2602086111,2000000000,17847222,2000000000,0.0,0.0,no unlock,0.0,0.0,76.86140714349327,0.18352255480208077
2019-07-12,ALGO,1,2606852778,2000000000,18680556,2000000000,0.0,0.0,no unlock,0.0,0.0,76.72086497858992,0.1831863665022268
2019-07-13,ALGO,1,2611619444,2000000000,19513889,2000000000,0.0,0.0,no unlock,0.0,0.0,76.58083587158345,0.1828513692920176
