Date,Symbol,Price,Unlocked Supply,Founder / Team,Private Investors,Public Investors,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,tokens_unlocked,unlock_usd_value,insider_owned_float_percentage,daily_supply_increase_percentage
2020-06-21,BAL,0,0,0,0,0,0,0.0,0.0,no unlock,0.0,0.0,,
2020-06-22,BAL,0,3845,3845,0,0,3845,3845.0,inf,first linear unlock,3845.0,0.0,100.0,inf
2020-06-23,BAL,15,7942690,7690,0,2500000,7690,3845.0,100.0,linear unlock,3845.0,115350.0,0.09681858413207617,206471.91157347205
2020-06-24,BAL,15,17946535,11535,10000000,2500000,10011535,10003845.0,130089.01170351105,large cliff unlock,10003845.0,150057675.0,55.785336835216384,125.95033924275026
2020-06-25,BAL,14,17950379,15379,10000000,2500000,10015379,3844.0,0.038395710547883016,small cliff unlock,3844.0,-9957719.0,55.794805223889696,0.021419176459411247
2020-06-26,BAL,17,17954224,19224,10000000,2500000,10019224,3845.0,0.03839095854485387,linear unlock,3845.0,30111502.0,55.80427201977651,0.021420160543685455
2020-06-27,BAL,12,17958069,23069,10000000,2500000,10023069,3845.0,0.03837622554401419,linear unlock,3845.0,-50049980.0,55.813734761794265,0.021415573293504638
2020-06-28,BAL,12,17961914,26914,10000000,2500000,10026914,3845.0,0.03836150384677587,linear unlock,3845.0,46140.0,55.82319345254631,0.02141098800767499
2020-06-29,BAL,12,17965759,30759,10000000,2500000,10030759,3845.0,0.038346793440135224,linear unlock,3845.0,46140.0,55.8326480946338,0.021406404684935026
2020-06-30,BAL,11,17969604,34604,10000000,2500000,10034604,3845.0,0.03833209431110846,linear unlock,3845.0,-9988464.0,55.84209869065562,0.02140182332402433
2020-07-01,BAL,10,17973448,38448,10000000,2500000,10038448,3844.0,0.038307440931400975,linear unlock,3844.0,-9996164.0,55.851542786893205,0.021391678970777542
2020-07-02,BAL,11,17977293,42293,10000000,2500000,10042293,3845.0,0.03830273364966377,linear unlock,3845.0,10080743.0,55.860985299622136,0.0213926676728917
2020-07-03,BAL,12,17981138,46138,10000000,2500000,10046138,3845.0,0.038288068272853616,linear unlock,3845.0,10088433.0,55.870423774068136,0.02138809218940805
2020-07-04,BAL,11,17984983,49983,10000000,2500000,10049983,3845.0,0.03827341412192427,linear unlock,3845.0,-10003843.0,55.87985821282122,0.021383518662723127
2020-07-05,BAL,11,17988828,53828,10000000,2500000,10053828,3845.0,0.038258771183991055,linear unlock,3845.0,42295.0,55.8892886184692,0.021378947091581904
2020-07-06,BAL,11,17992673,57673,10000000,2500000,10057673,3845.0,0.038244139446189054,linear unlock,3845.0,42295.0,55.89871499359768,0.02137437747473043
2020-07-07,BAL,11,17996517,61517,10000000,2500000,10061517,3844.0,0.03821957623796279,linear unlock,3844.0,42284.0,55.90813489076803,0.021364251993019605
2020-07-08,BAL,11,18145362,65362,10000000,2500000,10065362,3845.0,0.03821491331774324,linear unlock,3845.0,42295.0,55.470714775489185,0.8270767060092795
2020-07-09,BAL,10,18149207,69207,10000000,2500000,10069207,3845.0,0.0382003151004405,linear unlock,3845.0,-10026912.0,55.480148526599535,0.021189987832703476
2020-07-10,BAL,10,18153052,73052,10000000,2500000,10073052,3845.0,0.03818572803200888,linear unlock,3845.0,38450.0,55.4895782813821,0.021185498628121878
2020-07-11,BAL,10,18156897,76897,10000000,2500000,10076897,3845.0,0.03817115209968141,linear unlock,3845.0,38450.0,55.499004042375745,0.021181011325258143
2020-07-12,BAL,10,18160742,80742,10000000,2500000,10080742,3845.0,0.03815658729071062,linear unlock,3845.0,38450.0,55.508425812117146,0.021176525922904116
2020-07-13,BAL,10,18164586,84586,10000000,2500000,10084586,3844.0,0.03813211368766307,linear unlock,3844.0,38440.0,55.517841144301336,0.02116653603690862
2020-07-14,BAL,9,18168431,88431,10000000,2500000,10088431,3845.0,0.03812749477271551,linear unlock,3845.0,-10049981.0,55.52725494017617,0.02116756198021799
2020-07-15,BAL,9,18317276,92276,10000000,2500000,10092276,3845.0,0.03811296325464287,linear unlock,3845.0,34605.0,55.097035170513344,0.819250710201668
