Date,Symbol,Price,Unlocked Supply,Founder / Team,Private Investors,Public Investors,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,tokens_unlocked,unlock_usd_value,insider_owned_float_percentage,daily_supply_increase_percentage
2021-10-31,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,no unlock,0.0,0.0,0.0,
2021-11-01,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-11-02,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-11-03,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-11-04,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-11-05,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-11-06,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-11-07,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-11-08,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-11-09,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-11-10,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-11-11,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-11-12,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-11-13,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-11-14,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-11-15,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-11-16,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-11-17,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-11-18,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-11-19,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-11-20,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-11-21,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-11-22,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-11-23,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-11-24,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-11-25,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-11-26,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-11-27,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-11-28,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-11-29,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-11-30,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-12-01,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-12-02,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-12-03,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-12-04,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-12-05,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-12-06,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-12-07,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-12-08,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-12-09,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-12-10,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-12-11,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-12-12,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-12-13,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-12-14,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-12-15,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-12-16,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-12-17,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-12-18,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-12-19,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
2021-12-20,BEAM,0,4101688300,0,0,4101688300,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0
