Date,Symbol,Price,Unlocked Supply,Founder / Team,Private Investors,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,tokens_unlocked,unlock_usd_value,insider_owned_float_percentage,daily_supply_increase_percentage
2023-02-14,BLUR,1,360000000,0,0,0,0.0,0.0,no unlock,0.0,0.0,0.0,
2023-02-15,BLUR,1,360373973,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.10388138888888888
2023-02-16,BLUR,1,361656164,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.35579456233372325
2023-02-17,BLUR,1,362938356,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.35453342916063224
2023-02-18,BLUR,1,364220548,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.35328093016435
2023-02-19,BLUR,1,365502740,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.35203724969410566
2023-02-20,BLUR,1,366784932,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3508022949431241
2023-02-21,BLUR,1,368067123,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3495757017630157
2023-02-22,BLUR,1,369349315,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.34835819878430163
2023-02-23,BLUR,1,370631507,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.34714887720855797
2023-02-24,BLUR,1,371913699,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.34594792287855874
2023-02-25,BLUR,1,373195890,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.34475498037516494
2023-02-26,BLUR,1,374478082,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3435707719074827
2023-02-27,BLUR,1,375760274,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3423944048079161
2023-02-28,BLUR,1,377042466,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.34122606585069715
2023-03-01,BLUR,1,378324658,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3400656731329569
2023-03-02,BLUR,1,379606849,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.33891288153890303
2023-03-03,BLUR,1,380889041,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.33776840522706164
2023-03-04,BLUR,1,382171233,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.33663137081436795
2023-03-05,BLUR,1,383453425,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3355019659472905
2023-03-06,BLUR,1,384735616,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.33437985330291414
2023-03-07,BLUR,1,386017808,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3332657405962644
2023-03-08,BLUR,1,387300000,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.33215876921408766
2023-03-09,BLUR,1,388582192,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3310591272915053
2023-03-10,BLUR,1,389864384,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.32996674227418016
2023-03-11,BLUR,1,391146575,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.32888128606279665
2023-03-12,BLUR,0,392428767,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3278034583327235
2023-03-13,BLUR,1,393710959,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.32673241816647963
2023-03-14,BLUR,1,394993151,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3256683540779976
2023-03-15,BLUR,1,396275342,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3246109449629419
2023-03-16,BLUR,1,397557534,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.32356088408851846
2023-03-17,BLUR,1,398839726,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.32251734411854965
2023-03-18,BLUR,1,400121918,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3214805137038932
2023-03-19,BLUR,1,401404110,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3204503283421729
2023-03-20,BLUR,1,402686301,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3194264752296632
2023-03-21,BLUR,1,403968493,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.31840963966638636
2023-03-22,BLUR,1,405250685,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.31739901062036535
2023-03-23,BLUR,1,406532877,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.31639477672937183
2023-03-24,BLUR,1,407815068,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3153966315004825
2023-03-25,BLUR,1,409097260,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3144052539029774
2023-03-26,BLUR,1,410379452,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.31341984544213275
2023-03-27,BLUR,1,411661644,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.31244059461339696
2023-03-28,BLUR,0,412943836,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.31146744387971204
2023-03-29,BLUR,1,414226027,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3105000942549485
2023-03-30,BLUR,1,415508219,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.30953921685852925
2023-03-31,BLUR,1,416790411,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.30858402827405923
2023-04-01,BLUR,1,418072603,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.30763471667298026
2023-04-02,BLUR,1,419354795,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.30669122798271475
2023-04-03,BLUR,1,420636986,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.30575327033043703
2023-04-04,BLUR,1,421919178,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3048215070654771
2023-04-05,BLUR,1,423201370,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3038951692307288
2023-04-06,BLUR,1,424483562,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3029744445297991
2023-04-07,BLUR,1,425765753,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3020590465173301
2023-04-08,BLUR,1,427047945,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.30114963238952663
2023-04-09,BLUR,1,428330137,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.30024544433763756
2023-04-10,BLUR,1,429612329,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.29934666959938894
