Date,Symbol,Price,Unlocked Supply,Founder / Team,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2022-12-25,BONK,0.0,57900000000000,0,0,0,0.0,0.0,no unlock,0.0
2022-12-26,BONK,0.0,57900000000000,0,1,0,0.0,0.0,no unlock,0.0
2022-12-27,BONK,0.0,57900000000000,0,1,0,0.0,0.0,no unlock,0.0
2022-12-28,BONK,0.0,57900000000000,0,1,0,0.0,0.0,no unlock,0.0
2022-12-29,BONK,0.079041,57900000000000,0,1,0,0.0,0.0,no unlock,0.0
2022-12-30,BONK,0.079041,57900000000000,0,1,0,0.0,0.0,no unlock,0.0
2022-12-31,BONK,0.061449,57900000000000,0,1,0,0.0,0.0,no unlock,0.0
2023-01-01,BONK,0.061966,57900000000000,0,1,0,0.0,0.0,no unlock,0.0
2023-01-02,BONK,0.063669,57919160583942,19160583942,1,19160583942,19160583942.0,inf,first linear unlock,0.03308159812542629
2023-01-03,BONK,0.068145,57938321167883,38321167883,1,38321167883,19160583941.0,99.99999999478095,linear unlock,0.06614131564489067
2023-01-04,BONK,0.051264,57957481751825,57481751825,1,57481751825,19160583942.0,50.00000000130477,linear unlock,0.09917917426284653
2023-01-05,BONK,0.05339,57976642335766,76642335766,1,76642335766,19160583941.0,33.333333332173545,linear unlock,0.13219519564816032
2023-01-06,BONK,0.052795,57995802919708,95802919708,1,95802919708,19160583942.0,25.000000000652385,linear unlock,0.16518940144795283
2023-01-07,BONK,0.051991,58014963503650,114963503650,1,114963503650,19160583942.0,20.000000000417522,linear unlock,0.19816181327558208
2023-01-08,BONK,0.052002,58034124087591,134124087591,1,134124087591,19160583941.0,16.666666666086773,linear unlock,0.2311124527158647
2023-01-09,BONK,0.051631,58053284671533,153284671533,1,153284671533,19160583942.0,14.285714286033818,linear unlock,0.2640413413302773
2023-01-10,BONK,0.051609,58072445255474,172445255474,1,172445255474,19160583941.0,12.499999999592262,linear unlock,0.2969485006449682
2023-01-11,BONK,0.051508,58091605839416,191605839416,1,191605839416,19160583942.0,11.111111111368842,linear unlock,0.3298339521645529
