Date,Symbol,Price,Unlocked Supply,Founder / Team,Private Investors,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2023-10-31,TIA,0.0,267000000,0,0,0,0,0.0,0.0,no unlock,0.0
2023-11-01,TIA,2.42,267000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-11-02,TIA,2.51,267000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-11-03,TIA,2.37,267000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-11-04,TIA,2.41,267000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-11-05,TIA,2.43,267000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-11-06,TIA,2.31,267000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-11-07,TIA,2.35,267000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-11-08,TIA,2.32,267000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-11-09,TIA,2.37,267000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-11-10,TIA,2.39,267000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-11-11,TIA,3.07,267000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-11-12,TIA,3.98,267000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-11-13,TIA,4.69,267000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-11-14,TIA,5.0,267000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-11-15,TIA,5.99,267000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-11-16,TIA,5.96,267000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-11-17,TIA,5.86,267000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-11-18,TIA,6.72,267000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-11-19,TIA,7.2,267000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-11-20,TIA,6.71,267000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-11-21,TIA,6.13,267000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-11-22,TIA,5.38,267000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-11-23,TIA,6.07,267000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-11-24,TIA,5.72,267000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-11-25,TIA,5.56,267000000,0,0,1,0,0.0,0.0,no unlock,0.0
