Date,Symbol,Price,Unlocked Supply,Founder / Team,Private Investors,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2020-04-17,COMP,0.0,3544014,372707,2396307,0,2769014,2769014.0,inf,token generation event unlock,78.13214056152148
2020-04-18,COMP,0.0,3545538,374231,2396307,1,2770538,1524.0,0.05503764155760859,linear unlock,78.14154015554197
2020-04-19,COMP,0.0,3547061,375754,2396307,1,2772061,1523.0,0.05497127272753523,linear unlock,78.1509255126991
2020-04-20,COMP,0.0,3548585,377278,2396307,1,2773585,1524.0,0.05497714516383297,linear unlock,78.16030896822255
2020-04-21,COMP,0.0,3550109,378802,2396307,1,2775109,1524.0,0.05494693690656677,linear unlock,78.16968436743772
2020-04-22,COMP,0.0,3551632,380325,2396307,1,2776632,1523.0,0.054880727207471856,linear unlock,78.179045576794
2020-04-23,COMP,0.0,3553156,381849,2396307,1,2778156,1524.0,0.05488663964111917,linear unlock,78.18840489975672
2020-04-24,COMP,0.0,3554679,383372,2396307,1,2779679,1523.0,0.05482053563586782,linear unlock,78.19775006407048
2020-04-25,COMP,0.0,3556203,384896,2396307,1,2781203,1524.0,0.05482647456774685,linear unlock,78.20709335209492
2020-04-26,COMP,0.0,3557727,386420,2396307,1,2782727,1524.0,0.05479643161610282,linear unlock,78.21642863547427
2020-04-27,COMP,0.0,3559250,387943,2396307,1,2784250,1523.0,0.05473048559919819,linear unlock,78.22574980684132
2020-04-28,COMP,0.0,3560774,389467,2396307,1,2785774,1524.0,0.05473646403878962,linear unlock,78.23506911699535
2020-04-29,COMP,0.0,3562298,390991,2396307,1,2787298,1524.0,0.05470651962434857,linear unlock,78.24438045329167
2020-04-30,COMP,0.0,3563821,392514,2396307,1,2788821,1523.0,0.054640730915747074,linear unlock,78.25367772399343
2020-05-01,COMP,0.0,3565345,394038,2396307,1,2790345,1524.0,0.05464674857224612,linear unlock,78.26297314846109
2020-05-02,COMP,0.0,3566869,395562,2396307,1,2791869,1524.0,0.054616902211016914,linear unlock,78.27226062970072
2020-05-03,COMP,0.0,3568392,397085,2396307,1,2793392,1523.0,0.054551270134809336,linear unlock,78.281534091546
2020-05-04,COMP,0.0,3569916,398609,2396307,1,2794916,1524.0,0.054557326719629755,linear unlock,78.29080572203941
2020-05-05,COMP,0.0,3571440,400133,2396307,1,2796440,1524.0,0.054527577930785755,linear unlock,78.3000694397778
2020-05-06,COMP,0.0,3572963,401656,2396307,1,2797963,1523.0,0.05446210181516499,linear unlock,78.30931918410575
2020-05-07,COMP,0.0,3574487,403180,2396307,1,2799487,1524.0,0.05446819704191942,linear unlock,78.31856711186808
2020-05-08,COMP,0.0,3576010,404703,2396307,1,2801010,1523.0,0.054402824517491954,linear unlock,78.32780109675308
2020-05-09,COMP,0.0,3577534,406227,2396307,1,2802534,1524.0,0.05440894534471494,linear unlock,78.33703327487594
