Date,Symbol,Price,Unlocked Supply,Founder / Team,Private Investors,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2022-02-01,COW,0.0,84408456,0,0,0,0,0.0,0.0,no unlock,0.0
2022-02-02,COW,0.0,84688188,108625,68764,1,177389,177389.0,inf,first linear unlock,0.20946132416955243
2022-02-03,COW,0.0,84967919,217249,137528,1,354777,177388.0,99.99943626718681,linear unlock,0.4175422961694519
2022-02-04,COW,0.0,85247651,325874,206292,1,532166,177389.0,50.00014093360055,linear unlock,0.6242588432143427
2022-02-05,COW,0.0,85527383,434499,275056,1,709555,177389.0,33.33339597043028,linear unlock,0.8296231862957856
2022-02-06,COW,0.0,85807114,543124,343820,1,886943,177388.0,24.999894299948558,linear unlock,1.0336473966482544
2022-02-07,COW,0.0,86086846,651748,412584,1,1064332,177389.0,20.00004509872675,linear unlock,1.2363468397947812
2022-02-08,COW,0.0,86366578,760373,481348,1,1241721,177389.0,16.66669798521514,linear unlock,1.437733239818764
2022-02-09,COW,0.0,86646309,868998,550112,1,1419110,177389.0,14.285737295253925,linear unlock,1.6378193328465958
2022-02-10,COW,0.0,86926041,977622,618876,1,1596498,177388.0,12.499947149974279,linear unlock,1.8366164864220609
2022-02-11,COW,0.0,87205773,1086247,687640,1,1773887,177389.0,11.111131990143425,linear unlock,2.0341394141417677
2022-02-12,COW,0.0,87485504,1194872,756404,1,1951276,177389.0,10.000016912012997,linear unlock,2.2303992213384287
2022-02-13,COW,0.0,87765236,1303496,825168,1,2128664,177388.0,9.090871819260832,linear unlock,2.425406797743927
2022-02-14,COW,0.0,88044968,1412121,893932,1,2306053,177389.0,8.33334899260757,linear unlock,2.619176373600363
2022-02-15,COW,0.0,88324699,1520746,962696,1,2483442,177389.0,7.692321035119313,linear unlock,2.8117186111214485
2022-02-16,COW,0.0,88604431,1629371,1031460,1,2660830,177388.0,7.142828380932592,linear unlock,3.003043944833865
2022-02-17,COW,0.0,88884163,1737995,1100224,1,2838219,177389.0,6.666679194086056,linear unlock,3.1931661436694863
2022-02-18,COW,0.0,89163895,1846620,1168988,1,3015608,177389.0,6.250011010425904,linear unlock,3.3820954098068503
2022-02-19,COW,0.0,89443626,1955245,1237752,1,3192997,177389.0,5.8823626943555,linear unlock,3.569842975730881
2022-02-20,COW,0.0,89723358,2063869,1306516,1,3370385,177388.0,5.555532936610964,linear unlock,3.7564187020285176
2022-02-21,COW,0.0,90003090,2172494,1375280,1,3547774,177389.0,5.263167264273963,linear unlock,3.9418357747495114
2022-02-22,COW,0.0,90282821,2281119,1444044,1,3725163,177389.0,5.000008456006499,linear unlock,4.126103901870767
2022-02-23,COW,0.0,90562553,2389744,1512808,1,3902551,177388.0,4.761885587288395,linear unlock,4.309232536763844
2022-02-24,COW,0.0,90842285,2498368,1581572,1,4079940,177389.0,4.545462698629691,linear unlock,4.491234451004837
2022-02-25,COW,0.0,91122016,2606993,1650336,1,4257329,177389.0,4.3478335465717635,linear unlock,4.672118975067453
2022-02-26,COW,0.0,91401748,2715618,1719100,1,4434717,177388.0,4.1666500286916985,linear unlock,4.851895173820965
2022-02-27,COW,0.0,91681480,2824242,1787864,1,4612106,177389.0,4.000007215793025,linear unlock,5.030575422648063
2022-02-28,COW,0.0,91961211,2932867,1856628,1,4789495,177389.0,3.8461605175596567,linear unlock,5.208168691906416
2022-03-01,COW,0.0,92240943,3041492,1925392,1,4966884,177389.0,3.703709890082357,linear unlock,5.3846847597817815
2022-03-02,COW,0.0,92520675,3150117,1994156,1,5144272,177388.0,3.571414190466296,linear unlock,5.560132370413424
2022-03-03,COW,0.0,92800406,3258741,2062920,1,5321661,177389.0,3.4482818948920273,linear unlock,5.7345234028394225
2022-03-04,COW,0.0,93080138,3367366,2131684,1,5499050,177389.0,3.3333389706709995,linear unlock,5.907866187306254
2022-03-05,COW,0.0,93359870,3475991,2200448,1,5676438,177388.0,3.2257935461579725,linear unlock,6.080169134768504
2022-03-06,COW,0.0,93639601,3584615,2269212,1,5853827,177389.0,3.125005505212952,linear unlock,6.251443766831087
2022-03-07,COW,0.0,93919333,3693240,2337976,1,6031216,177389.0,3.0303082069217284,linear unlock,6.421698075730585
2022-03-08,COW,0.0,94199065,3801865,2406740,1,6208604,177388.0,2.9411647667734004,linear unlock,6.590940154236138
2022-03-09,COW,0.0,94478796,3910490,2475504,1,6385993,177389.0,2.857147919242393,linear unlock,6.759181181775433
2022-03-10,COW,0.0,94758528,4019114,2544268,1,6563382,177389.0,2.7777825625552675,linear unlock,6.926428827598503
2022-03-11,COW,0.0,95038260,4127739,2613032,1,6740771,177389.0,2.70270723233845,linear unlock,7.092691932701629
2022-03-12,COW,0.0,95317991,4236364,2681796,1,6918159,177388.0,2.631568406640724,linear unlock,7.257978192175704
2022-03-13,COW,0.0,95597723,4344988,2750560,1,7095548,177389.0,2.564107011706438,linear unlock,7.42229812314672
2022-03-14,COW,0.0,95877455,4453613,2819324,1,7272937,177389.0,2.5000042280032493,linear unlock,7.585659214671478
2022-03-15,COW,0.0,96157186,4562238,2888088,1,7450325,177388.0,2.4390146649146005,linear unlock,7.748068875476452
2022-03-16,COW,0.0,96436918,4670862,2956852,1,7627714,177389.0,2.3809565354531514,linear unlock,7.9095372998129205
2022-03-17,COW,0.0,96716650,4779487,3025616,1,7805103,177389.0,2.3255853588637434,linear unlock,8.0700716991335
2022-03-18,COW,0.0,96996381,4888112,3094380,1,7982491,177388.0,2.272718245998804,linear unlock,8.229679208340773
2022-03-19,COW,0.0,97276113,4996737,3163144,1,8159880,177389.0,2.2222261196410997,linear unlock,8.388369712099825
2022-03-20,COW,0.0,97555845,5105361,3231908,1,8337269,177389.0,2.1739167732858817,linear unlock,8.546150156354035
2022-03-21,COW,0.0,97835577,5213986,3300672,1,8514658,177389.0,2.127663147248817,linear unlock,8.703028347244276
2022-03-22,COW,0.0,98115308,5322611,3369436,1,8692046,177388.0,2.0833250143458493,linear unlock,8.859011072971407
2022-03-23,COW,0.0,98395040,5431235,3438200,1,8869435,177389.0,2.0408198483993294,linear unlock,9.014107824947274
2022-03-24,COW,0.0,98674772,5539860,3506964,1,9046824,177389.0,2.0000033824025993,linear unlock,9.168325212851771
2022-03-25,COW,0.0,98954503,5648485,3575728,1,9224212,177388.0,1.9607765111822668,linear unlock,9.321669777877617
2022-03-26,COW,0.0,99234235,5757110,3644492,1,9401601,177389.0,1.9230802587798284,linear unlock,9.474150730340188
2022-03-27,COW,0.0,99513967,5865734,3713256,1,9578990,177389.0,1.8867956638449133,linear unlock,9.625774440285353
2022-03-28,COW,1.55,99793698,5974359,3782020,1,9756378,177388.0,1.8518445055272008,linear unlock,9.776547212430188
2022-03-29,COW,1.55,100073430,6082984,3850783,1,9933767,177389.0,1.8181849862725696,linear unlock,9.926477987213989
2022-03-30,COW,1.3,100353162,6191608,3919547,1,10111156,177389.0,1.785717341669077,linear unlock,10.075572905216479
2022-03-31,COW,1.09,100632893,6300233,3988311,1,10288545,177389.0,1.7543889145810825,linear unlock,10.223839038394733
2022-04-01,COW,0.8,100912625,6408858,4057075,1,10465933,177388.0,1.7241310603199964,linear unlock,10.37128208685484
2022-04-02,COW,0.8,101192357,6517482,4125839,1,10643322,177389.0,1.6949181692640303,linear unlock,10.517910952504051
2022-04-03,COW,0.64,101472088,6626107,4194603,1,10820711,177389.0,1.6666694853354997,linear unlock,10.66373148840694
2022-04-04,COW,0.76,101751820,6734732,4263367,1,10998099,177388.0,1.63933774776907,linear unlock,10.808749170285111
2022-04-05,COW,0.68,102031552,6843357,4332131,1,11175488,177389.0,1.6129060122117467,linear unlock,10.952972664769424
2022-04-06,COW,0.58,102311283,6951981,4400895,1,11352877,177389.0,1.5873042859515396,linear unlock,11.096407617134465
2022-04-07,COW,0.54,102591015,7060606,4469659,1,11530265,177388.0,1.5624938066359744,linear unlock,11.239059287989305
2022-04-08,COW,0.58,102870747,7169231,4538423,1,11707654,177389.0,1.5384642070238628,linear unlock,11.380936117825605
2022-04-09,COW,0.58,103150478,7277855,4607187,1,11885043,177389.0,1.5151541034608642,linear unlock,11.522043552721103
2022-04-10,COW,0.57,103430210,7386480,4675951,1,12062432,177389.0,1.4925398250557445,linear unlock,11.662387613831587
2022-04-11,COW,0.56,103709942,7495105,4744715,1,12239820,177388.0,1.4705823833867002,linear unlock,11.801973623705237
2022-04-12,COW,0.45,103989673,7603730,4813479,1,12417209,177389.0,1.4492778488572544,linear unlock,11.940809737905417
2022-04-13,COW,0.46,104269405,7712354,4882243,1,12594598,177389.0,1.4285738445732854,linear unlock,12.078900805082757
2022-04-14,COW,0.43,104549137,7820979,4951007,1,12771986,177388.0,1.4084451127380166,linear unlock,12.216251961984154
2022-04-15,COW,0.44,104828868,7929604,5019771,1,12949375,177389.0,1.3888912812776337,linear unlock,12.352871157589911
2022-04-16,COW,0.42,105108600,8038228,5088535,1,13126764,177389.0,1.3698653409913606,linear unlock,12.48876305078747
2022-04-17,COW,0.4,105388332,8146853,5157299,1,13304152,177388.0,1.3513459981454683,linear unlock,12.623932600052918
2022-04-18,COW,0.37,105668064,8255478,5226063,1,13481541,177389.0,1.3333356383781545,linear unlock,12.7583874348261
2022-04-19,COW,0.42,105947795,8364103,5294827,1,13658930,177389.0,1.3157917184689791,linear unlock,12.892132394072005
2022-04-20,COW,0.4,106227527,8472727,5363591,1,13836319,177389.0,1.2987034855585322,linear unlock,13.02517284432311
2022-04-21,COW,0.36,106507259,8581352,5432355,1,14013707,177388.0,1.282046185838878,linear unlock,13.157513517458938
2022-04-22,COW,0.35,106786990,8689977,5501119,1,14191096,177389.0,1.2658249526695542,linear unlock,13.28916191007912
2022-04-23,COW,0.33,107066722,8798601,5569883,1,14368485,177389.0,1.2500021140016246,linear unlock,13.420122267309164
2022-04-24,COW,0.33,107346454,8907226,5638647,1,14545873,177388.0,1.2345630036848005,linear unlock,13.550399158969888
2022-04-25,COW,0.33,107626185,9015851,5707411,1,14723262,177389.0,1.219514291098238,linear unlock,13.679999899652673
2022-04-26,COW,0.34,107905917,9124476,5776175,1,14900651,177389.0,1.2048213228834752,linear unlock,13.808928568764214
2022-04-27,COW,0.33,108185649,9233100,5844939,1,15078039,177388.0,1.1904714767160172,linear unlock,13.937189580477535
2022-04-28,COW,0.34,108465380,9341725,5913703,1,15255428,177389.0,1.1764726168966666,linear unlock,14.064790074030995
2022-04-29,COW,0.38,108745112,9450350,5982467,1,15432817,177389.0,1.1627926794318717,linear unlock,14.191733969615111
2022-04-30,COW,0.35,109024844,9558974,6051231,1,15610206,177389.0,1.14942722381792,linear unlock,14.318026449090816
2022-05-01,COW,0.33,109304575,9667599,6119995,1,15787594,177388.0,1.136359122999402,linear unlock,14.443671731032302
2022-05-02,COW,0.3,109584307,9776224,6188759,1,15964983,177389.0,1.1235974271950495,linear unlock,14.56867633428571
2022-05-03,COW,0.3,109864039,9884848,6257523,1,16142372,177389.0,1.1111129902236665,linear unlock,14.693044372781525
2022-05-04,COW,0.3,110143770,9993473,6326287,1,16319760,177388.0,1.098896742064921,linear unlock,14.81677992318585
2022-05-05,COW,0.31,110423502,10102098,6395051,1,16497149,177389.0,1.0869583866429409,linear unlock,14.93988933623931
2022-05-06,COW,0.28,110703234,10210723,6463815,1,16674538,177389.0,1.0752706422182403,linear unlock,15.06237658784205
2022-05-07,COW,0.29,110982965,10319347,6532579,1,16851926,177388.0,1.063825576456751,linear unlock,15.184245618235195
2022-05-08,COW,0.28,111262697,10427972,6601343,1,17029315,177389.0,1.0526333903911043,linear unlock,15.305502616029521
2022-05-09,COW,0.26,111542429,10536597,6670107,1,17206704,177389.0,1.0416684405685137,linear unlock,15.426151424405507
2022-05-10,COW,0.23,111822160,10645221,6738871,1,17384093,177389.0,1.0309295725665995,linear unlock,15.546196746691354
2022-05-11,COW,0.25,112101892,10753846,6807635,1,17561481,177388.0,1.020404113116514,linear unlock,15.665641932252134
2022-05-12,COW,0.23,112381624,10862471,6876399,1,17738870,177389.0,1.010102735640576,linear unlock,15.784493379451431
2022-05-13,COW,0.2,112661355,10971096,6945163,1,17916259,177389.0,1.0000016912012997,linear unlock,15.902754764488675
2022-05-14,COW,0.21,112941087,11079720,7013927,1,18093647,177388.0,0.9900950862565672,linear unlock,16.020429305767173
2022-05-15,COW,0.21,113220819,11188345,7082691,1,18271036,177389.0,0.9803938365770041,linear unlock,16.137523258862842
2022-05-16,COW,0.22,113500550,11296970,7151455,1,18448425,177389.0,0.9708754336645168,linear unlock,16.254040178659928
2022-05-17,COW,0.2,113780282,11405594,7220219,1,18625813,177388.0,0.9615346567525412,linear unlock,16.369983157538666
2022-05-18,COW,0.22,114060014,11514219,7288983,1,18803202,177389.0,0.952382588615058,linear unlock,16.4853583132122
2022-05-19,COW,0.2,114339746,11622844,7357747,1,18980591,177389.0,0.9433978319224566,linear unlock,16.60016893862962
2022-05-20,COW,0.2,114619477,11731469,7426511,1,19157980,177389.0,0.9345810148904214,linear unlock,16.714419312871232
2022-05-21,COW,0.19,114899209,11840093,7495275,1,19335368,177388.0,0.9259222527636004,linear unlock,16.82811236759689
2022-05-22,COW,0.19,115178941,11948718,7564039,1,19512757,177389.0,0.9174327584559032,linear unlock,16.941254044000978
2022-05-23,COW,0.2,115458672,12057343,7632803,1,19690146,177389.0,0.9090924465466362,linear unlock,17.053847631297888
2022-05-24,COW,0.19,115738404,12165967,7701567,1,19867534,177388.0,0.9008973320969789,linear unlock,17.165895945826247
2022-05-25,COW,0.19,116018136,12274592,7770331,1,20044923,177389.0,0.8928586708345385,linear unlock,17.277404801607915
2022-05-26,COW,0.17,116297867,12383217,7839095,1,20222312,177389.0,0.8849572532655775,linear unlock,17.388377380988423
2022-05-27,COW,0.16,116577599,12491841,7907859,1,20399700,177388.0,0.87718951225755,linear unlock,17.498816389244727
2022-05-28,COW,0.15,116857331,12600466,7976623,1,20577089,177389.0,0.8695667093143526,linear unlock,17.608727517488827
2022-05-29,COW,0.15,117137062,12709091,8045387,1,20754478,177389.0,0.862070431828331,linear unlock,17.71811384512956
2022-05-30,COW,0.16,117416794,12817716,8114151,1,20931867,177389.0,0.8547022960538926,linear unlock,17.826978822126584
2022-05-31,COW,0.17,117696526,12926340,8182915,1,21109255,177388.0,0.8474542667407545,linear unlock,17.935325465766084
2022-06-01,COW,0.16,117976257,13034965,8251679,1,21286644,177389.0,0.8403375675740333,linear unlock,18.043159311284136
2022-06-02,COW,0.17,118255989,13143590,8320443,1,21464033,177389.0,0.8333347426677499,linear unlock,18.150482847849677
