Date,Symbol,Price,Unlocked Supply,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,tokens_unlocked,unlock_usd_value,insider_owned_float_percentage,daily_supply_increase_percentage
2013-12-08,DOGE,0,0,0,0.0,0.0,no unlock,0.0,0.0,,
2013-12-09,DOGE,0,615426353,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,inf
2013-12-11,DOGE,0,2086870377,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,239.09343771634036
2013-12-12,DOGE,0,2822592388,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,35.25480159709986
2013-12-14,DOGE,0,4294036411,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,52.130942790596094
2013-12-15,DOGE,0,5029758423,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,17.133576467011473
2013-12-16,DOGE,0,5765480434,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,14.627382651932189
2013-12-18,DOGE,0,7236924457,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,25.52162026815058
2013-12-19,DOGE,0,7972646469,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,10.166224842769559
2013-12-20,DOGE,0,8708368480,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,9.228077701183718
2013-12-22,DOGE,0,10179812503,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,16.896896661864726
2013-12-23,DOGE,0,10915534515,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,7.227264861540251
2013-12-25,DOGE,0,12386978538,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,13.48027456628861
2013-12-26,DOGE,0,13122700549,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,5.939479177613798
2013-12-27,DOGE,0,13858422561,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,5.60648327874909
2013-12-29,DOGE,0,15329866584,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,10.61768766627811
2013-12-30,DOGE,0,16065588595,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,4.799272106959388
2014-01-01,DOGE,0,17537032619,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,9.158979861204394
2014-01-02,DOGE,0,18272754630,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,4.19524800451647
2014-01-03,DOGE,0,19008476642,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,4.026333341072178
2014-01-05,DOGE,0,20479920665,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,7.740988668964585
2014-01-06,DOGE,0,21215642676,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,3.592406548026049
2014-01-08,DOGE,0,22687086699,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,6.935656135765132
2014-01-09,DOGE,0,23422808711,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,3.242910920036415
2014-01-10,DOGE,0,24158530722,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,3.1410494790681724
2014-01-12,DOGE,0,25629974745,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,6.090784410411298
2014-01-13,DOGE,0,26365696757,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,2.870553011931967
2014-01-14,DOGE,0,27101418768,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,2.79045161514523
2014-01-16,DOGE,0,28572862791,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,5.429398496057363
2014-01-17,DOGE,0,29308584803,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,2.574897788091926
2014-01-19,DOGE,0,30780028826,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,5.020522256159514
2014-01-20,DOGE,0,31515750838,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,2.390257709500691
2014-01-21,DOGE,0,32251472849,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,2.334458140571748
2014-01-23,DOGE,0,33722916872,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,4.56240876157575
2014-01-24,DOGE,0,34458638884,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,2.1816677803777615
2014-01-26,DOGE,0,35930082907,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,4.270174535777232
2014-01-27,DOGE,0,36665804918,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,2.0476490769707203
2014-01-28,DOGE,0,37401526930,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,2.006561736870036
2014-01-30,DOGE,0,38872970953,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,3.9341816866298727
2014-01-31,DOGE,0,39608692964,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,1.8926312884331293
2014-02-01,DOGE,0,40344414976,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,1.8574761168430665
2014-02-03,DOGE,0,41815858999,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,3.6472062462061463
2014-02-04,DOGE,0,42551581010,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,1.7594329725896443
2014-02-06,DOGE,0,44023025033,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,3.4580243273550693
2014-02-07,DOGE,0,44758747045,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,1.6712209382442418
2014-02-08,DOGE,0,45494469056,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,1.6437502378257203
2014-02-10,DOGE,0,46965913080,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,3.234336073224136
2014-02-11,DOGE,0,47701635091,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,1.566502092159474
2014-02-13,DOGE,0,49173079114,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,3.0846825694610653
2014-02-14,DOGE,0,50000000000,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,1.681653662734674
2014-02-15,DOGE,0,50309615485,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.6192309699999999
2014-02-17,DOGE,0,51017130209,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,1.4063210723821735
2014-02-18,DOGE,0,51370887571,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.6934089795932763
2014-02-19,DOGE,0,51724644932,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.6886339281389092
2014-02-21,DOGE,0,52432159656,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,1.3678483920578612
2014-02-22,DOGE,0,52785917018,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.674695386039698
2014-02-24,DOGE,0,53493431741,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,1.3403475073829587
2014-02-25,DOGE,0,53847189103,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.6613099038266841
2014-02-26,DOGE,0,54200946465,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.6569653270541675
2014-02-28,DOGE,0,54908461188,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,1.305354923012044
2014-03-01,DOGE,0,55262218550,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.6442674850944686
