Date,Symbol,Price,Unlocked Supply,Founder / Team,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,tokens_unlocked,unlock_usd_value,insider_owned_float_percentage,daily_supply_increase_percentage
2022-01-01,EUL,0,3759791,0,0,0.0,0.0,no unlock,0.0,0.0,0.0,
2022-01-02,EUL,0,3782777,16911,16911,16911.0,inf,first linear unlock,16911.0,0.0,0.44705252252511846,0.6113637699542341
2022-01-03,EUL,0,3805762,33821,33821,16910.0,99.99408668913725,linear unlock,16910.0,0.0,0.8886787980961499,0.6076223895831026
2022-01-04,EUL,0,3828748,50732,50732,16911.0,50.00147837142603,linear unlock,16911.0,0.0,1.3250284427180896,0.6039789140781794
2022-01-05,EUL,0,3851734,67642,67642,16910.0,33.33201923835055,linear unlock,16910.0,0.0,1.75614411587093,0.6003529090971775
2022-01-06,EUL,0,3874720,84553,84553,16911.0,25.000739185713016,linear unlock,16911.0,0.0,2.1821705826485527,0.5967701819492208
2022-01-07,EUL,0,3897705,101464,101464,16911.0,20.000473076058803,linear unlock,16911.0,0.0,2.603172892766384,0.5932041541066193
2022-01-08,EUL,0,3920691,118374,118374,16910.0,16.666009619175274,linear unlock,16910.0,0.0,3.0192126847027727,0.5897316497785235
2022-01-09,EUL,0,3943677,135285,135285,16911.0,14.286076334330176,linear unlock,16911.0,0.0,3.4304279990475894,0.5862742052357608
2022-01-10,EUL,0,3966662,152195,152195,16910.0,12.49953801234431,linear unlock,16910.0,0.0,3.836853253440802,0.5828317075663144
2022-01-11,EUL,0,3989648,169106,169106,16911.0,11.111403134137127,linear unlock,16911.0,0.0,4.238619547388642,0.5794796733374308
2022-01-12,EUL,0,4012634,186017,186017,16911.0,10.000236538029402,linear unlock,16911.0,0.0,4.635782879774234,0.5761410530452812
2022-01-13,EUL,0,4035620,202927,202927,16910.0,9.090566991188979,linear unlock,16910.0,0.0,5.028397123614215,0.5728406827036805
2022-01-14,EUL,0,4058605,219838,219838,16911.0,8.333538661686223,linear unlock,16911.0,0.0,5.416590183080147,0.5695531293828457
2022-01-15,EUL,0,4081591,236749,236749,16911.0,7.692482646312285,linear unlock,16911.0,0.0,5.800409693180919,0.5663522318629185
2022-01-16,EUL,0,4104577,253659,253659,16910.0,7.142585607542165,linear unlock,16910.0,0.0,6.17990599274907,0.5631627470758339
2022-01-17,EUL,0,4127562,270570,270570,16911.0,6.666824358686267,linear unlock,16911.0,0.0,6.555201351306171,0.5599846220450975
2022-01-18,EUL,0,4150548,287480,287480,16910.0,6.249769006172155,linear unlock,16910.0,0.0,6.926314308375665,0.5568904840193799
2022-01-19,EUL,0,4173534,304391,304391,16911.0,5.882496173646863,linear unlock,16911.0,0.0,7.293363370227725,0.5538063889394846
2022-01-20,EUL,0,4196520,321302,321302,16911.0,5.5556833152097145,linear unlock,16911.0,0.0,7.656391486279107,0.5507562655533655
2022-01-21,EUL,0,4219505,338212,338212,16910.0,5.262961326104413,linear unlock,16910.0,0.0,8.015442569685307,0.547715726363749
2022-01-22,EUL,0,4242491,355123,355123,16911.0,5.000118269014701,linear unlock,16911.0,0.0,8.370624710812587,0.5447558422137194
2022-01-23,EUL,0,4265477,372033,372033,16910.0,4.761730442691687,linear unlock,16910.0,0.0,8.721955363960467,0.5418043314646984
2022-01-24,EUL,0,4288462,388944,388944,16911.0,4.5455645063744345,linear unlock,16911.0,0.0,9.069545212246254,0.5388611871544495
2022-01-25,EUL,0,4311448,405855,405855,16911.0,4.347926693817105,linear unlock,16911.0,0.0,9.413426765207419,0.5359963548703475
2022-01-26,EUL,0,4334434,422765,422765,16910.0,4.166512670781437,linear unlock,16910.0,0.0,9.753637960573398,0.5331387506007262
2022-01-27,EUL,0,4357420,439676,439676,16911.0,4.0000946152117605,linear unlock,16911.0,0.0,10.09028278201321,0.5303114547366508
2022-01-28,EUL,0,4380405,456586,456586,16910.0,3.846013882950172,linear unlock,16910.0,0.0,10.423374094404512,0.5274910382749425
2022-01-29,EUL,0,4403391,473497,473497,16911.0,3.7037929327662256,linear unlock,16911.0,0.0,10.753008306552836,0.5247459995137437
2022-01-30,EUL,0,4426377,490408,490408,16911.0,3.571511540727819,linear unlock,16911.0,0.0,11.079218963951783,0.5220067897672498
