Date,Symbol,Price,Unlocked Supply,Founder / Team,Private Investors,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2018-07-14,FTM,0.0,1483125000,13125000,840000000,0,853125000,853125000.0,inf,token generation event unlock,57.52212389380531
2018-07-15,FTM,0.0,1483125000,13125000,840000000,1,853125000,0.0,0.0,no unlock,57.52212389380531
2018-07-16,FTM,0.0,1483125000,13125000,840000000,1,853125000,0.0,0.0,no unlock,57.52212389380531
2018-07-17,FTM,0.0,1483125000,13125000,840000000,1,853125000,0.0,0.0,no unlock,57.52212389380531
2018-07-18,FTM,0.0,1483125000,13125000,840000000,1,853125000,0.0,0.0,no unlock,57.52212389380531
2018-07-19,FTM,0.0,1483125000,13125000,840000000,1,853125000,0.0,0.0,no unlock,57.52212389380531
2018-07-20,FTM,0.0,1483125000,13125000,840000000,1,853125000,0.0,0.0,no unlock,57.52212389380531
2018-07-21,FTM,0.0,1483125000,13125000,840000000,1,853125000,0.0,0.0,no unlock,57.52212389380531
2018-07-22,FTM,0.0,1483125000,13125000,840000000,1,853125000,0.0,0.0,no unlock,57.52212389380531
2018-07-23,FTM,0.0,1483125000,13125000,840000000,1,853125000,0.0,0.0,no unlock,57.52212389380531
2018-07-24,FTM,0.0,1483125000,13125000,840000000,1,853125000,0.0,0.0,no unlock,57.52212389380531
2018-07-25,FTM,0.0,1483125000,13125000,840000000,1,853125000,0.0,0.0,no unlock,57.52212389380531
2018-07-26,FTM,0.0,1483125000,13125000,840000000,1,853125000,0.0,0.0,no unlock,57.52212389380531
2018-07-27,FTM,0.0,1483125000,13125000,840000000,1,853125000,0.0,0.0,no unlock,57.52212389380531
2018-07-28,FTM,0.0,1483125000,13125000,840000000,1,853125000,0.0,0.0,no unlock,57.52212389380531
2018-07-29,FTM,0.0,1483125000,13125000,840000000,1,853125000,0.0,0.0,no unlock,57.52212389380531
2018-07-30,FTM,0.0,1483125000,13125000,840000000,1,853125000,0.0,0.0,no unlock,57.52212389380531
2018-07-31,FTM,0.0,1483125000,13125000,840000000,1,853125000,0.0,0.0,no unlock,57.52212389380531
2018-08-01,FTM,0.0,1483125000,13125000,840000000,1,853125000,0.0,0.0,no unlock,57.52212389380531
2018-08-02,FTM,0.0,1483125000,13125000,840000000,1,853125000,0.0,0.0,no unlock,57.52212389380531
2018-08-03,FTM,0.0,1483125000,13125000,840000000,1,853125000,0.0,0.0,no unlock,57.52212389380531
2018-08-04,FTM,0.0,1483125000,13125000,840000000,1,853125000,0.0,0.0,no unlock,57.52212389380531
2018-08-05,FTM,0.0,1483125000,13125000,840000000,1,853125000,0.0,0.0,no unlock,57.52212389380531
2018-08-06,FTM,0.0,1483125000,13125000,840000000,1,853125000,0.0,0.0,no unlock,57.52212389380531
2018-08-07,FTM,0.0,1483125000,13125000,840000000,1,853125000,0.0,0.0,no unlock,57.52212389380531
2018-08-08,FTM,0.0,1483125000,13125000,840000000,1,853125000,0.0,0.0,no unlock,57.52212389380531
2018-08-09,FTM,0.0,1483125000,13125000,840000000,1,853125000,0.0,0.0,no unlock,57.52212389380531
2018-08-10,FTM,0.0,1483125000,13125000,840000000,1,853125000,0.0,0.0,no unlock,57.52212389380531
2018-08-11,FTM,0.0,1483125000,13125000,840000000,1,853125000,0.0,0.0,no unlock,57.52212389380531
2018-08-12,FTM,0.0,1483125000,13125000,840000000,1,853125000,0.0,0.0,no unlock,57.52212389380531
2018-08-13,FTM,0.0,1483125000,13125000,840000000,1,853125000,0.0,0.0,no unlock,57.52212389380531
2018-08-14,FTM,0.0,1496250000,26250000,840000000,1,866250000,13125000.0,1.5384615384615385,small cliff unlock,57.89473684210527
2018-08-15,FTM,0.0,1496250000,26250000,840000000,1,866250000,0.0,0.0,no unlock,57.89473684210527
2018-08-16,FTM,0.0,1496250000,26250000,840000000,1,866250000,0.0,0.0,no unlock,57.89473684210527
2018-08-17,FTM,0.0,1496250000,26250000,840000000,1,866250000,0.0,0.0,no unlock,57.89473684210527
2018-08-18,FTM,0.0,1496250000,26250000,840000000,1,866250000,0.0,0.0,no unlock,57.89473684210527
2018-08-19,FTM,0.0,1496250000,26250000,840000000,1,866250000,0.0,0.0,no unlock,57.89473684210527
2018-08-20,FTM,0.0,1496250000,26250000,840000000,1,866250000,0.0,0.0,no unlock,57.89473684210527
2018-08-21,FTM,0.0,1496250000,26250000,840000000,1,866250000,0.0,0.0,no unlock,57.89473684210527
