Date,Symbol,Price,Unlocked Supply,Founder / Team,Private Investors,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,tokens_unlocked,unlock_usd_value,insider_owned_float_percentage,daily_supply_increase_percentage
2019-05-01,FTT,0,0,0,0,0,0.0,0.0,no unlock,0.0,0.0,,
2019-05-02,FTT,0,7720,7720,0,7720,7720.0,inf,large cliff unlock,7720.0,0.0,100.0,inf
2019-05-03,FTT,0,26249,26249,0,26249,18529.0,240.01295336787564,large cliff unlock,18529.0,0.0,100.0,240.01295336787564
2019-05-04,FTT,0,44778,44778,0,44778,18529.0,70.58935578498229,linear unlock,18529.0,0.0,100.0,70.58935578498229
2019-05-05,FTT,0,63307,63307,0,63307,18529.0,41.37969538612711,linear unlock,18529.0,0.0,100.0,41.37969538612711
2019-05-06,FTT,0,81836,81836,0,81836,18529.0,29.26848531757941,linear unlock,18529.0,0.0,100.0,29.26848531757941
2019-05-07,FTT,0,100365,100365,0,100365,18529.0,22.641624712840315,linear unlock,18529.0,0.0,100.0,22.641624712840315
2019-05-08,FTT,0,118893,118893,0,118893,18528.0,18.460618741593184,linear unlock,18528.0,0.0,100.0,18.460618741593184
2019-05-09,FTT,0,137422,137422,0,137422,18529.0,15.584601280142648,linear unlock,18529.0,0.0,100.0,15.584601280142648
2019-05-10,FTT,0,155951,155951,0,155951,18529.0,13.483285063526946,linear unlock,18529.0,0.0,100.0,13.483285063526946
2019-05-11,FTT,0,174480,174480,0,174480,18529.0,11.881296048117678,linear unlock,18529.0,0.0,100.0,11.881296048117678
2019-05-12,FTT,0,193009,193009,0,193009,18529.0,10.619555249885373,linear unlock,18529.0,0.0,100.0,10.619555249885373
2019-05-13,FTT,0,211538,211538,0,211538,18529.0,9.600070463035403,linear unlock,18529.0,0.0,100.0,9.600070463035403
2019-05-14,FTT,0,230067,230067,0,230067,18529.0,8.759182747307813,linear unlock,18529.0,0.0,100.0,8.759182747307813
2019-05-15,FTT,0,248595,248595,0,248595,18528.0,8.053306210799462,linear unlock,18528.0,0.0,100.0,8.053306210799462
2019-05-16,FTT,0,267124,267124,0,267124,18529.0,7.453488605965526,linear unlock,18529.0,0.0,100.0,7.453488605965526
2019-05-17,FTT,0,285653,285653,0,285653,18529.0,6.936478938620266,linear unlock,18529.0,0.0,100.0,6.936478938620266
2019-05-18,FTT,0,304182,304182,0,304182,18529.0,6.486541363122391,linear unlock,18529.0,0.0,100.0,6.486541363122391
2019-05-19,FTT,0,322711,322711,0,322711,18529.0,6.091418953126746,linear unlock,18529.0,0.0,100.0,6.091418953126746
