Date,Symbol,Price,Unlocked Supply,Founder / Team,Private Investors,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2022-06-09,HOP,0.0,693000000,28000000,0,0,28000000,28000000.0,inf,token generation event unlock,4.040404040404041
2022-06-10,HOP,0.13,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-06-11,HOP,0.13,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-06-12,HOP,0.11,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-06-13,HOP,0.08,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-06-14,HOP,0.07,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-06-15,HOP,0.08,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-06-16,HOP,0.07,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-06-17,HOP,0.07,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-06-18,HOP,0.11,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-06-19,HOP,0.09,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-06-20,HOP,0.11,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-06-21,HOP,0.11,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-06-22,HOP,0.13,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-06-23,HOP,0.12,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-06-24,HOP,0.13,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-06-25,HOP,0.13,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-06-26,HOP,0.11,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-06-27,HOP,0.1,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-06-28,HOP,0.11,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-06-29,HOP,0.09,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-06-30,HOP,0.09,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-07-01,HOP,0.1,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-07-02,HOP,0.09,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-07-03,HOP,0.09,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-07-04,HOP,0.09,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-07-05,HOP,0.1,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-07-06,HOP,0.09,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-07-07,HOP,0.1,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-07-08,HOP,0.1,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-07-09,HOP,0.11,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-07-10,HOP,0.12,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-07-11,HOP,0.1,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-07-12,HOP,0.09,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-07-13,HOP,0.09,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-07-14,HOP,0.09,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-07-15,HOP,0.1,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-07-16,HOP,0.1,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-07-17,HOP,0.11,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-07-18,HOP,0.1,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-07-19,HOP,0.11,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-07-20,HOP,0.11,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-07-21,HOP,0.11,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-07-22,HOP,0.11,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-07-23,HOP,0.12,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-07-24,HOP,0.12,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-07-25,HOP,0.16,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-07-26,HOP,0.12,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-07-27,HOP,0.12,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-07-28,HOP,0.14,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-07-29,HOP,0.15,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-07-30,HOP,0.17,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-07-31,HOP,0.18,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-08-01,HOP,0.17,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-08-02,HOP,0.18,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-08-03,HOP,0.17,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-08-04,HOP,0.19,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-08-05,HOP,0.18,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-08-06,HOP,0.18,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-08-07,HOP,0.16,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-08-08,HOP,0.17,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-08-09,HOP,0.17,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-08-10,HOP,0.17,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-08-11,HOP,0.18,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-08-12,HOP,0.17,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-08-13,HOP,0.2,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-08-14,HOP,0.19,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-08-15,HOP,0.2,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-08-16,HOP,0.19,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-08-17,HOP,0.17,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-08-18,HOP,0.17,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-08-19,HOP,0.17,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-08-20,HOP,0.15,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-08-21,HOP,0.13,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-08-22,HOP,0.13,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-08-23,HOP,0.13,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-08-24,HOP,0.14,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-08-25,HOP,0.13,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-08-26,HOP,0.14,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-08-27,HOP,0.13,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-08-28,HOP,0.12,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-08-29,HOP,0.12,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-08-30,HOP,0.13,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-08-31,HOP,0.12,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-09-01,HOP,0.13,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-09-02,HOP,0.13,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-09-03,HOP,0.13,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-09-04,HOP,0.13,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-09-05,HOP,0.13,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-09-06,HOP,0.13,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-09-07,HOP,0.13,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-09-08,HOP,0.12,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-09-09,HOP,0.13,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-09-10,HOP,0.14,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-09-11,HOP,0.14,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-09-12,HOP,0.15,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-09-13,HOP,0.16,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-09-14,HOP,0.15,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-09-15,HOP,0.16,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-09-16,HOP,0.14,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-09-17,HOP,0.14,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-09-18,HOP,0.14,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-09-19,HOP,0.14,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-09-20,HOP,0.14,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-09-21,HOP,0.13,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-09-22,HOP,0.13,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-09-23,HOP,0.13,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-09-24,HOP,0.13,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-09-25,HOP,0.13,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-09-26,HOP,0.13,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
2022-09-27,HOP,0.12,693000000,28000000,0,1,28000000,0.0,0.0,no unlock,4.040404040404041
